,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.120588353789644,0.164919204033425,0,0,0,0.153326701111048,0.00240547930265348,0.0293747316470865,0,0.119144376230472,0,0.0691467149890047,0,0,0,0,0.00165113164384665
ETH,0,0,0,0,0.188095747673085,0,0,0,0,0.318419581327229,0,0.219557066967254,0.12205929280171,0,0.0121294076449983,0,0,0,0,0
XRP,0,0,0,0,0.00205558276068328,0.190589032745818,0,0,0.203746515221438,0.257568209043667,0.019200198355991,0,0,0.00555825914514671,0,0,0,0,0,0.0119757500220144
BCH,0.496871978056645,0,0,0,0.0460799324303384,0.00491496920580134,0,0.273778427390959,0.0979587764839193,0.197442835189772,0,0,0,-0.0424770209017187,0.00368842720788082,0,0.0371388033618746,0,0,-0.048075761388761
EOS,0,0,0,0.384912209446501,0,0.314661394842708,0.471009630417486,0.04920134957563,0,0,0.127116077099924,0,0,0,0,0,0,0,0,-3.46944695195361e-18
LTC,0,0,0,0.0865620889823562,0.239045912126482,0,0.121099396593582,0,0,0.0457967295703356,0.0985638911210225,0,0.143096145248595,0,0.0794309530511175,0,0,0,0,0
XLM,0,0,0,0,0.16177179162158,0.0266414159736601,0,0.375326987885949,0.158455981594687,0,0,0.155928807366374,0.0492803746045388,0.019470682597326,-0.060319669988917,0,0,0,0,0.0222196757236594
ADA,0,0.226269501703979,0,0.224274748001018,0.191134245710098,0,0,0,0,0.0788839566929157,0,0.0518493437268908,0,0,0,0,0,0,0,0
MIOTA,0,0,6.93889390390723e-18,0,0.127047952161827,0,1.14875288139537,0,0,-0.0750457273711116,0.0277343020860029,-6.93889390390723e-18,0,0.10331297558593,0,0,0,0,0,-0.0170298171525495
TRX,0,0.864480426696056,0.0445864117439833,0.31587517462102,0,0,0,0,0,0,0,0,0,0,0,0,0.287281529913385,0,0,0
XMR,0,0,0,0,0.0908515025682368,0.446218104487502,0,0,0.519409136561139,0,0,0,0.00386313738934191,-0.198917318433964,-0.0587974177662753,0,-0.531176819396945,0,0,0
NEO,0,0.580316514086625,0,0,0,0,0.169720382824754,0,0.0758908891614126,0.00779692616189318,0.0407540486977376,0,0.107551667069226,0,-0.0256335272520666,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0.0969638327928285,0,0,0.415252492284713,0,0,0.112349415000186,0,0,0,0,0
BNB,0,-0.592226318587098,0,0,0,-0.040350870430851,0,1.86150995232173,0.120380231755477,0,-0.846177046700195,0.0041473745575831,0,0,0.113269090883637,-1.5825243561673,-1.42300684327324,0,0,-0.0947180513701511
ETC,0.877622639586696,0,0,0,0,0.279661361956582,0,0,0,0.00633684572953344,0,0,0,0.293711969371824,0,0,0,0,0,-0.0569458526183631
BV010082.Index,-0.0766371944953178,0,-0.0737879925407342,0,0.0507305524889147,0,0,0.295973996493038,-0.0688120651987525,0,-0.101065492179954,0,0,-0.109720680829778,0.031081360672143,0,-0.556381980480925,0,0,-0.0208260786447325
CVIX.Index,0,0,0,0,0.0900506490768299,0.0500042441422681,0,0.195154794383585,0,0.0450053194952111,-0.290636617069312,0,-0.0106219111341743,-0.185153071517419,0,-1.00657546340529,0,0,0,-0.00876173563734712
DXY.Curncy,0,0,0,0,0.0402984503532069,0.0101793016160011,0,-0.0407001496013302,0,-0.0153880072076869,-0.016886246039575,0,-0.00739622026992137,0,0.00683483968737029,0,0.090678883021211,0,0,-0.0151370700477587
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0453869426292277
VIX.Index,0.177440565991432,0,0,0,0,0,0,0,0,-0.135792445034523,-0.34697890929129,-1.38777878078145e-17,0.244383208832339,-0.124128257569663,0,0,1.03587894033044,0,-6.42966466591655,0
