,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.636459479862433,0.01286433541898,0,0.806259432569883,0,0,-0.382540191140673,-0.150970976852419,0.209354341374895,-0.347978167041213,0,0.269274028700318,0.074508903297362,0.170773533720177,0.604083672290908,-0.0843351417443625,0,0,-0.108639884085034
ETH,0,0,-0.0128278353476881,0,0,0,0,0.00832086892496204,0,0.08986412499498,0.15056796817161,0.181638634572215,0.139745307232317,0,0.043959545764612,0,-0.153935380548115,0,0,-0.0523309432830185
BCH,0,-0.613579704283688,0,0,0,-1.76656446083277,0.252160964639244,0,-0.172326677288184,0.231333905240843,0.719079317308688,0,-0.0990157327170456,0.180315243794432,0.502341882369423,0,0.716476479902521,0,0,-0.715593324230375
XRP,0,0,0,0,0,0,0,0,0,0.0538526492816027,0.0366035316961164,0,0.0625401626956333,0.0528009487341382,0,0,0,0,0,0
LTC,0,0.487613326150237,0,0.0626775256612647,0,0,-0.290169448963932,0.167340670179195,0,0.0323337555434199,0.0718215017917773,0,0.0887270597976891,-0.0692631210235004,0.0327204680942024,0,0,0,0,0.00639611770582553
DASH,0,0,-0.0479789516457474,-0.109468843259494,0,0,0.00866114275841334,0.120805589474526,0.0297559304846594,0.0989758433858209,0.159326973802401,0.129433390884268,0.0443084986678347,0,0.10072310878402,0,0,0,0,-0.07422283560264
NEO,0,0,0.156266754513049,0,-0.418908728446857,0,0,0,-0.0205828482782944,0.293877607005705,0.284323458909619,0.225151416012958,0.172902269160501,0.0397525477203495,0,0,0,0,0,0.234021510118445
XEM,0,0,0,0,0.300618475111984,0,0,0,0,0.029834083869686,0.0787876203719006,0,0.12711448027546,-0.00091570683614331,-0.0643306744848193,0,0,0,0,0
XMR,0,0,0,0,0,0.261898857220126,0,0,0,0.104364087644757,0,0.0674766659822682,0.174870176458378,0.0132364516290802,0,0,0,0,0,-0.0607975467462478
ETC,0,0,0.198643472536758,0,0,0,0,0.21236477270081,0.265312096189639,0,0,0,0.121596543232516,0.00778830490707583,0,0,0,0,0,0
MIOTA,-0.310585512388397,0,0.147867474825019,0.0229229640376275,0.0636286829363678,0.529393790710464,0,0.28250510499685,0.126174523964549,0.100089488512446,0,0.228197211896833,0,0.0909476686265236,0,0,0,0,0,0.412643444602744
ZEC,0,0,0,0,0,0,0.104838429599671,0,0,0,0.210921244917401,0,0.0895834823393058,-0.0280615218430642,0,0,0,0,0,0
ADA,0.637787055738276,1.10840896605877,0.144981698983004,0,0,0,0.527871283247214,0,0.819832154174425,-0.345512181864194,0,-0.371578977262884,0,-0.129412350933497,0,0,0,0,0,0.311911591133982
XLM,0,0,0,0,0,0,0,0,0,0,0.742558236737256,0,-0.285364595509824,0,-0.285407775046603,0,0,0,0,0
EOS,0.654216530968942,3.3572109885126,0.820503329474113,0.0678100967560302,0,0,0,-0.518317891950374,-0.0498095105639096,-0.254257544499637,-0.240187433048272,-0.444834345760501,-0.68048863996422,-0.164641486239307,0,0,0,0,0,0.927580139954149
BV010082.Index,0.133394236174363,0,0.0433817653572721,0,0,0,0,0,-0.00912008988116963,-0.0164917054927055,0.025283081170916,0.0150328131860576,-0.049963850918203,0.0385677446964123,-0.0411310121301579,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.0132130290292368,0.00896305971563959,0.0165028876126421,0,0.0282028892597554,0,0,0.0181606911582161,-0.00798748856329193,-0.0187578324235962,0.00279350880785529,0,-0.00594807281017349,0.00544516834678352,-0.00612026082307147,0,0,0,0,-0.0109108638105224
SPX.Index,0,0,0.0117097841722365,0,0,0,-0.00442389085637136,0,-0.0039246540227836,-0.00569572483461044,0,0,0.00167414537662403,0.0039473717955769,-0.00493361923601996,0,0,0,0,-0.041017286182358
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
