,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.244451325013791,0,-0.0161369108376042,0,0.238371549910218,0,0.119249956155826,0.0587036969649357,0,0,0.0255028568645201,0,0,0,0,0,0.0647536598529612
ETH,0,0,-8.67361737988404e-19,0.532127906488253,0.254133360836329,-0.0251299946282262,0.182993750095897,0,0,0.0358440867869322,0,0,0,0,0,0,0,0,0,-0.0612174747433854
XRP,0,0,0,0.285340062838928,0.117370700076494,0.109702528732259,0.151143301843428,0,0.0506938980081182,0,0,0,0.171866246510337,-0.0414982291206116,0,0,0,0,0,0
BCH,0,0,0.335613534501389,0,0,0,0,0,0,0.0382117208264459,0,0.256138034805533,0.0764105625904371,0.0224455754470876,0,0,0,0,0,0
LTC,0,0.478532162927393,0.0643985531423053,0,0,0.0439013768546451,0,0.0353675607926954,0.0351879978289933,-0.100821139845963,0,0,0.303197770464623,0.0699022586049473,0,0,0,0,0,0.116842493002873
EOS,-0.620526865096023,0,0.52504623902779,0,0,0,0,0,0,0,0,0,0,0.359534684780904,0.206113341790523,0,0,0,0,0
ADA,0,0.188854159292703,0,0,0,0,0,0.255718534745216,0.147906746821691,0.353914649897529,0,0,0,-0.111568715625454,0,0,0,0,0,0.128820107452301
XLM,0.39439644762917,0,0.353359724409243,0,0,0,0,0,0,0,0.083119094391774,0,0.13414955914714,-0.0410109258324039,0,0,0,0,0,0
NEO,0,0,0,0,0,0.162526391613228,0.20571325208212,0,0,0.228549912493985,0,0,0.292280365360972,0,0,0,0,0,0,0.09740527388689
MIOTA,0,0.157772477285027,0,0,0,0,0.331102350454735,0,0,0,0,0,0.226524452500188,0.0335611682722042,0,0,0,0,0,0
XMR,0,0,0,0.136671282359942,0,0,0.229137991279649,0.275967540477124,0,0.0263123819651337,0,0,0,0.140274506982219,0,0,0,0,0,0.109320465791171
DASH,0.701369724860796,0,0.119808482843442,0,0,0.0551602638810255,0,0,0,0.0800985056298578,-0.0558968583276008,0,0.105570304545595,0.0927034271363015,0,0,0.409251581762152,0,0,0.140012401694569
XEM,0,0,0,0.213885822598234,0.372915705725049,0,0,0.0263341487381503,1.73472347597681e-18,0,0,0,0,0,0.570097862316675,0,0,0,0,0.0468041547503434
TRX,0,0,0,0,0,0,0,0,0,0.462138107366646,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.128811978615072,0.24184629199025,0,0,0,0,0.0936276422886623,0.326500005971246,0.0304521466826788,0,0,0,0,0,0
BV010082.Index,0,-0.0594590108803407,0.0647912429623625,0,0,0.0187886469362589,0,-0.0801317069491854,-0.020426772512465,0,-0.0209718983063757,0.146045401284548,0,-0.0469172074847132,0,0,0,0,0,-0.109810898747146
CVIX.Index,0,0,0,-0.0368472733464293,-0.0854438232167585,-0.0237484720411139,0,0,0.039672257484007,0,0,0.148735220913132,0,-0.0403583839753225,-0.0443408309811021,0,0,0,0,0.0191064514923881
DXY.Curncy,0,0,0.0267716998504969,-0.0645627732974808,0,-0.00799071817792558,0.0104980690127536,-0.0258192867631139,-0.00875405843586612,0,0,0.0124082007448264,0.0250764255598546,0.00193728276022757,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0.0322479256282118,0,0,0,-0.0324533497533331,0,0,0,0,0,0,0,0,0,-0.125166018408694
VIX.Index,0,0,0.184854347852904,0,0,0.0582308782998525,0,0,0.14665199630052,-0.626213983530439,0,0.640880160863928,-0.240523499709942,-0.00421548283450946,0,0,0,0,-5.01840034051038,0
