,BTC,ETH,DASH,XMR,XRP,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.131610150740358,0.0827528767290354,0,0.202037695970818,0,0.100640650097474,-0.210399846583569,0.421759425450894,0.100908557155969,-0.0864145063611974,0,0,0,0,0,-0.161557067911722
ETH,0,0,0,1.02252694834234,0,0.702281683999746,0,0.0864424697565879,0,0,0,-0.340994557006831,0,0,0,0,0,0
DASH,0.112225369929721,0,0,0.471407613234698,0.246228524323918,-0.253247296304372,0,-0.220039538298445,0.113748723818354,0,0,0.97628889247258,0.151644019121891,1.72517750178968,0,0,0,0
XMR,0,0.540118249070644,0.10549598833356,0,0.0740793145685217,0,0,0.0314390618792793,0.131773341269444,0,0,0,-0.147617358210534,0,0,0,0,-0.209403643693962
XRP,0,0,0,0,0,0,0,0,0.10459119079694,0,0,0,0,0,0,0,0,0
ETC,0,0.431697163329245,0,0,0,0,0,0,0.0731745920842002,0,0,0,0,0,0,0,0,0
LTC,0.295047985569168,0.0597031430362118,-0.0233414904927852,0,0,0.0299333667871565,0,-0.0642310791905238,0.120155929116124,0,0,-0.0289725793214151,-0.0780635335736681,0,0,0,0,0.0420998392048755
XEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0.110069861814135,0,0.241094563483116,0,0,0,0,0,0.320803611931417,0,0,0,0,0,0
DOGE,0.218973543512704,0,-0.00432631122347655,0.0560980781349839,0,0.158006990617469,0,0.0224968445808449,0.075750817606924,0,0,0,0,0,0.291117606556653,0,0,0
XLM,0,0,-0.0763221381033015,0,0,0.083544439850814,0.360469221479594,0,0.0469607629811762,0,0,0,0.408570218285469,0,0.0491643836620551,0,0,0
NEO,-0.38816696957819,-0.462894874444332,0.139549016272655,0.46740037498489,-0.220470079409687,0.514862815742987,-0.0876220927281748,0.113962174374532,0.118814878084895,-0.726413125593637,0,0,0.229214407852658,0,0.654994351296109,0,0,0
DGB,0,0.10948644922309,0.209771478026886,-0.222029144183845,0,0.145512202599516,-1.70945259151735,0.0271578797176806,-0.0897246866297568,1.15428931989133,0.962931398519645,0,0,0,-0.490716057903164,0,0,0
BV010082.Index,0.221283067481526,0,0.0854135305297021,-0.178032992170141,0,-0.0940779944945467,0,0.0589970430754457,-0.0451955949809976,0.194320034854907,0,-0.220504455863431,-0.13074179091546,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0413909883752692,-0.00552940002338339,0,-0.00927973111949894,0.00911851047826264,0,0,0,0,0.0112731131976971,0,0,-0.0123302536947869,0.0431721276244448,0.00374180895140881,0,0,0
SPX.Index,0,0,0.000192887126511319,0.00831470976055345,0,0,0,0,0.00304947553099622,0,0,0,-2.16840434497101e-19,0,0,0,0,-0.0244976585631999
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
