,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.341004759964866,-1.0842021724855e-19,0,0,0.227831771689048,0,0,0.0495334546999902,0.0189014099671215,0.0204479724793139,0,0,0,0,0,0,0.0720175220867945
ETH,0,0,0,0.474476421002477,-0.021593368157109,0.105030299261461,0.0715002414789725,0.077210238909841,0.164712980516008,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0.0724261170885138,6.93889390390723e-18,0.0622221568594613,0.171425761937212,0.145634846322767,0.178568409856166,0,0,0,0.185546885653492,0,0,0,0,0,0
BCH,0.616973786527337,0.261114814564454,0,0,0,0,0,0,0.0192547291332277,0.0459012507150982,0,-2.77555756156289e-17,0.00496400506576909,0.0518984853442722,0,0,0,0,0,0.010632051884313
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0.0981447584878006,0,0.3770222864418,0,0,0,0,0
LTC,0,0.480057194126578,0,0,0.0910663047152166,0,0,0,0,0,0,0,0,0.17153510563689,0,0,0,0,0,0.148356502911606
ADA,0,0.245660646256701,0,-0.191206564755503,-6.93889390390723e-18,0,0,0.132758436570814,0.00470965864361862,0,0.188951621103413,0,-0.155476529791126,0.314268649398334,0.371132011781817,0,0,0,0,-1.73472347597681e-18
XLM,0.539087805025819,0,0.484746648490496,-8.67361737988404e-19,-0.00402616400129958,0.0126428785386664,0.393100670366303,0,-0.179521262775311,0,0,0,-0.0332153135714534,0,0,0,0,0,0,0
NEO,0,0,0.188421577071304,0,0.227580538761562,0,0.200248337580607,0,0,0,0,0,0,0.258230546378006,0,0,0,0,0,0.127686777157501
MIOTA,0,0,0,0.126710602125915,0.152596366741883,0,0,0,0,0,0,0.0884864728918272,0.0223637134406581,0.30443539054912,0,0,0,0,0,0.113221643460354
XMR,0,0,0,0.258847632505586,-3.46944695195361e-18,0,0,0.423365987286958,0,0,0,0,0,0.0762438793581147,0,0,0,0,0,0.0885907971805593
DASH,0,0,0,0,0.153956171615137,0,0.0510951618582133,0,0,0,0,0,0,0.305899635511836,0,0,0,0,0,0.299693783758128
TRX,0,0,0,0.717019778553611,0,0,-0.378408501947312,0,0,0,0,0.407673093002518,0,0,0,0,0,0,0,-8.67361737988404e-19
XEM,0,0,0.468330393717592,0.0839222400613596,-0.132978307007267,0.0425621101200876,0.338706029562372,0.011908671009872,0,0.163519530359509,0,0,0.0651837758186019,0,0.184284849655016,0,0,0,0,0
ETC,0,0,0,0,0.147007608926778,0,0,0,0,0,0.108956102264991,0.123115531981371,0.00532017654308021,0.416171469983261,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0438268874803945,0,0,0,0,0,-0.0735125654264595,0.0262896864305861,-0.0256623439649408,0,0,0,0,0,0,-0.0314418232711861
CVIX.Index,0,0,0,-0.0913172461198566,-0.0159223773644188,0,0,0,0.0312507034927333,0,0,0.0386212582001427,-0.0369756857230678,0,0,0,0,0,0,0.0326045591580825
DXY.Curncy,0,0,0,-0.0617661951783242,-0.00453576486095669,0.0341874223958204,0,-0.0238770650318768,0,0,0,0.0248570625347018,-0.00322419304784379,0.00645564025019303,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.024421156570385,0,0,0,0,0,0,0,-1.6940658945086e-21,-0.00812401622987503,0,0,0,0,0,-0.134844927709479
VIX.Index,0,0,0,0,-0.148233105215485,0,0,-0.205656175787629,0,0,0,0.979599233880113,-0.105554654743618,0,0,0,0,0,-3.29767176830342,0
