,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.098857032434244,0,0.192134661940714,0.0759231507886434,0,0.369785269595887,0.130917561467762,0,0,-0.232100896326154,0.109826617372234,0,0,0.0172471217025346,0,0,0.0243300188611142
ETH,0,0,0,0,0,0,0.245764067020711,0.0731737386241927,0,0.0255971445825177,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0.0752064217822694,0,0,0,0,0
LTC,0.252949342534427,0,-0.0152988965693939,0,0,0.0908214685714821,0.108288163315773,0.00480150997705467,0,0,0.121746265007603,0,0.0414316885985688,0,0,0,0,0.00534396823940067
DASH,0,0,0,0,0,0.313582346723641,0,0.0073497146111511,0,0.493765323361888,0,0,0,0,0,0,0,0
XMR,0,0.493190529021039,0,0.795637371960826,0.168615169765265,0,0,0,0,-0.391320451940605,0,-0.359094115269459,0,0,0.102872618160528,0,0,0.0832126283335434
ETC,0,0.308040300723533,0,0,0,0,0,0,0,0.0602128276046404,0.18000494761334,0,0,0,0,0,0,0
XEM,1.66136221457631,0.180596819077999,0,0,0,0.330578196385434,-1.21006984,0,0,0.314379789987901,0.657601433486789,0.276680532839483,0.322433787159433,0,-0.134649434375599,0,0,-0.396914908849092
DOGE,0.207491182339056,-0.137573111049297,0.537611616424447,0,0.204362540395083,0,0.0402036583264065,-0.184455942907295,0,0.0887300253050538,0,0,0,0,0,0,0,0
ZEC,0,0.341701030659682,0,0,0.433323898155767,-0.108954273671229,8.67361737988404e-19,0.0982109396283428,0,0,0.297181839334052,-0.0272894082873937,0,0,-0.029413313447043,0,0,0
XLM,0,0,0.136288685407925,0,0,0,0.188291021832029,0.00459858527631224,0,0,0,-0.169230934365594,0,0,-0.273202785351587,0,0,-0.00603629331280405
NEO,0,0.136999239134237,0,0,0,-0.437722140318306,0.350588806306078,0.188398097350476,-0.457778726707414,-0.236810888575226,-0.0421438417645102,0,0,0,0,0,0,0.0895248090135848
DGB,0.0846109931222891,-0.476420995952321,0.871349378129678,0,0.14637122083866,0,0.487414232480723,0.1785789160611,0,0,-0.534708420597722,-0.204743620020635,0,1.09130567548065,0,0,0,0.363988124022641
BV010082.Index,0,0,0,0,0,0.113665232416406,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00985508571104617,0,-0.0361606616730179,0.0116066238738414,0.0103292789627932,-0.00533737933579046,0.000454593085711044,-0.0298678852919972,-0.0104642165808147,0.0432356534526866,0.0323573565452405,0.0137443559745357,0.0237835681151863,0.0434774324379063,0,0,-0.0437680919716904
SPX.Index,-0.0219982295481068,0.0240306154140397,0,0,0,0.0102995245202546,0,0.0117473679922178,0,-0.00927018344699355,0,0.0431827573112591,0,0.0844747968150349,-0.0133561289538855,0,0,-0.0210018269496977
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
