,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,EOS,XLM,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.047477300432544,-0.124736208454679,0.15974775944123,0.0886379772783885,0,0,-0.111168178084364,0,0,0,0.321305783416491,0,0,0,0,0,0,0
ETH,0,0,0,0.0970604268974138,0.269998540024786,0,0,0.107941123385468,-1.0842021724855e-19,0,0,0.175108465150836,0,0.0787825388972643,0,0,0,0,0,0
BCH,0,0,0,0.0397134283717079,0,0,0,0,0,0,0.875176332806993,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.131773282637033,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.750106189032734,-0.147119299473706,-0.0919896451094452,0,-0.0981617350676203,0,0,0.232333207677274,0,0,0,0.119934365103735,0.0564828970882461,0,0,0,0,0,0
ADA,0,0,0,0.0459813223693861,0.152223977432303,0,0,0,0.0609788240895136,0,0,0,0.0868433159910093,0.304270761277005,0,0,0,0,0,0
MIOTA,0.18136537356744,0,0,-0.0667833847510068,0.242170416605349,-0.304283267414269,0,0,0.17919631933514,0,0,0,0.603738799300857,0.132427404671223,0,0,0,0,0,0
DASH,0,0.0592394957841849,0.102110836860855,0,0.173606027388048,0.0472342361990468,0,0,0,0.121405683210973,0.193251077580949,0,0,0.0733083260485306,0,0,0,0,0,0
XEM,0,0,0,0.122848620953616,0,0.157728052861326,0.197192050862575,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.153177612396922,0,0.184115547820918,-0.0816497644771397,-0.120529273904422,-0.154120051424707,-0.030270531969476,0.531721128757159,-0.0089689914235791,0,0,0.123238690264005,0.380944106455025,0,0,0,0,0,0,0.0839848648482245
BTG,0,0,0.573008209592917,0.0638067022029902,0,0.0431949661912291,0,0.014399079706277,0,0,0,0,0,0.0559888656219611,0,0,0,0,0,0
EOS,0,0.42542811126475,0.376444338339224,-1.38777878078145e-17,0,0.0237222272499159,0.053542397139849,0,0,0,0,0,0.269728077549604,0,0,0,0,0,0,0
XLM,0,-0.355694675216734,-0.0994322723549015,0.142815788184467,0.24817043744516,0.344362194308122,0.1693401703917,-0.430597939804643,-0.0268781536286932,0.871478171501598,0,-0.0261683917988181,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0597757564568028,0.0836360746853065,0.0736521674327404,0,0,0,0,0.370315037761801,0,0,0,0,0,0,0,0,0
ETC,0,0,0.0309229827852418,0,2.16840434497101e-19,0.0634989463325637,0,0.371567188023809,0.0999411881019365,0,0,0.0232071384500567,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100008991092732,0,0,0,0,0,0
CVIX.Index,0,0,-0.0203298383390113,0.00630530713468995,-0.0193346388021681,0,0,0,0.0109979169486498,0,0,-0.0164760090002766,0.00801494843166831,-0.00951143613018337,0,0,0,0,0,0
DXY.Curncy,0.00655419435064091,0,0,-0.00467678764835148,0.00283882731117055,0,0,0,0.000979674657092235,0,-0.00333713574164007,0,0,0,0,0,0,0,0,-0.0207691672740577
SPX.Index,-0.00590459929212399,0,0,-0.0026170902940269,0.00860792189142665,0.0116990279765203,0.000953345709542106,0,0,0,-0.00891721301909471,0.00501839793380094,-0.016692132161377,-0.00343058480748326,0,0,0,0,0,0
VIX.Index,0,0,-3.46944695195361e-18,0,-0.101104631544758,0,0,0,0,0.0782832451464265,0.0339421384240063,0.0179966606216519,0,0,0,0,0,0,0,0
