,BTC,ETH,BCH,MIOTA,XRP,DASH,LTC,XMR,BTG,ADA,ETC,XLM,NEO,XEM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.077253311900567,0,0,0,0.292225210372734,-0.0034600483680755,-5.42101086242752e-20,0,0,0.048690555954042,0,0,0,0,0,0,0,0
ETH,0,0,0.1556329292837,1.73472347597681e-18,0,0.209417714107754,0,-0.0791460249154332,-0.0539036672975703,-0.273461014087652,0.94382110078738,-0.143891062466537,-0.195838745213725,0,0.0460560469599013,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.177993343928482,0,0,0,0.387375947682544,0,0,0,0,0,0,0
MIOTA,0.221806982325838,-0.565942557964116,-0.307263509837589,0,0,-0.415383831187986,-0.435853159674283,0.648880549217975,0.128012518902339,0.110923191160301,0,0.207794748207468,0,0.790167791727265,0,0,0,0,0,0
XRP,0,0,0.0703759090185818,0,0,0.01299983035504,0.288241154541696,0.14890542332737,0.018332712974618,0.209489211899323,0,-0.0776491377027757,0,0,0,0,0,0,0,-0.145647408453738
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.0746937903734605,0.386705378000628,-0.0536733727889556,0,0.351462356825982,0,0,-0.181916698661003,-0.0375932857903716,-0.0623518930351499,0.0215694510949492,0.146205870501052,0.0447617594680411,0.178786467903602,0.0203782477632924,0,0,0,0,0
XMR,0,0,0,0.0654679891813013,0.323057704136036,0.363986763675571,0,0,0.0107338600197064,-0.070065716213719,0.0585847532755353,0.436842105093961,0.0974029266576042,0,-0.27111560401755,0,0,0,0,-0.417250424323001
BTG,0,0.757937044880942,0.404542598508953,0.126703037145393,0,0,0,-0.269199769967784,0,-0.0420669410459945,0,0,0,0,0,0,0,0,0,0
ADA,-0.162146357677466,-1.31093411270027,0,0.148538179383486,1.14149143312686,0.722221547758668,-0.933288787789112,-0.861572475582073,-0.283846934859915,0,2.23566483251337,0.0467919036504136,-0.482026928502781,0,0.133286429020679,0,0,0,0,0
ETC,0,0.606697458344156,-0.0190667056540576,0,0,-0.150686050937202,0.102291525711608,0.22600571485058,0.0426214569176644,0.312046077946072,0,0,0.150889664006379,0,-0.0110716382272536,0,0,0,0,0
XLM,0,0,0.136029877825512,0.122774639371484,0,0,0.146702917181274,0.652092407901184,-0.136226140776117,0.130856801112307,0.201871380988547,0,-0.306819977566661,0,0.583471885379941,0,0,0,0,0
NEO,0,0,0.644395290447383,0,0,0.0805166310152506,0.752823746415495,0,-0.0718310861653717,0,6.93889390390723e-18,-0.086217352094052,0,0,0,0,0,0,0,0
XEM,0,0,0,0.150791879559498,0.0693716522604682,0,0.340431076886007,0.095922145938728,0.0620076001340826,0,0.0377519489725997,0,-2.16840434497101e-19,0,0,0,0,0,0,0
EOS,0,0,-0.477076525549153,-0.462436379990548,-0.323680829773158,-0.26700120987804,-0.368552345043354,0,0.253969025503682,0.00513245311316947,-0.886112683166383,1.01423706528605,0.851964175591091,1.14435495925169,0,-3.47353387102839,0,0,0,0.375194851729403
BV010082.Index,0,0,0,0,0,0,0,0,-0.0025873863866905,-0.0144571863255347,0,0.0252349538091579,0,0,0,0,0,0,0,0
CVIX.Index,0.0758074661716056,0,-0.00955787972235972,0,0,0,0,0.015910395586172,5.42101086242752e-20,-0.0125161964832375,0,0,0,0.0208296169061292,0.00230424136667685,0,0,0,0,0.111337216854115
DXY.Curncy,0,-0.00173289301428301,-0.00694213725684649,0,0,0,-0.00921265218157698,0,0,0,0,0,0,-0.00440175505172738,-0.00287547873410416,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
