,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,MIOTA,XEM,DASH,XMR,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0477502359363858,0,0,0,0.0857004412910346,0,0.0175988553688355,0.0160766231016409,0.124067110452689,0,0.313224734649946,0.067280199920579,0,0,0,0,0,-0.00616770676618827
ETH,0.547037482852279,0,0,0,0,0.057309410607277,0.157248355172786,0,0,0,6.93889390390723e-18,0,0,0.147659587978488,0,0,0,0,0,0.0326744596664456
XRP,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.208877585104454,0.468238804092171,0,0,0,0,0
BCH,0,0.149032291081782,0,0,0,0.13812284858495,0,0,0,0.0828188271315262,0.0319690968105041,0.450591438802299,0,0.00478398166468461,0,0,0,0,0,-0.0313592972981835
ADA,0,0,0.322717112632018,0,0,0,0.462879237300728,0.0222357204295402,0,0,0.0855824887779495,0.0515734424535057,0,-0.0508270402673352,0,0,0,0,0,0.021885932362911
LTC,0,0.181600584478475,0,0.136645052519769,0,0,0,0,0,0.0387442422755784,0.0689258658918823,0,0,0.256158076708104,0,0,0.272791949577943,0,0,0.0503376146952748
XLM,0,0,-0.249307097079255,-0.155583424765403,0.900882123515232,-0.0274234722437232,0,0,0.7632841642233,-0.200354797242611,-0.125462266104823,0.0639166228145569,0,0,0,0,0,0,0,-0.0631449990895833
NEO,0,0.169660257486515,0,0,0,0,0,0,0.41470690013811,0,0.0563259335875189,0,0.216254791676046,0,0,0,0,0,0,0
EOS,0,0,0,0.150171651503126,0,0,0.377714306293512,0,0,0,0.0401590716454367,0,0,0.239289983143693,0.139003666567984,0,0,0,0,0.0590845443809463
MIOTA,0.095361117894606,0,0,-0.0971724812589211,0,0.333255912917696,0,0,0,0,0.0601221456483866,0,0.456025967531499,0,0.156352010766798,0,0.193129016216112,0,0,-0.0837178224542302
XEM,0.219564608075034,0,0,0,0.275629388122395,0,0.0444780242924752,0,0.18688278362508,0.304952809178134,0,0,0,0,0,0,0,0,0,0.115097511384304
DASH,0,0.108948516220955,0.00940719845403655,0.0863887174591629,0,0.171805671488262,0,0,0,0,0,0,0.578776589319951,0.00254045022723836,0,0,0,0,0,0
XMR,0.231075012174169,0,0,0.151364316879865,0,0,0,0.0701400589183003,0,0,0,0.467519689912896,0,0,0.0281835180511923,0,0,0,0,0.0536792687024936
ETC,0,0.272366587585906,0,0.344718637190901,0,0,0,0.0347685852599497,0.39426860291299,0,0,0,0,0,0.0694413245538582,0,0,0,0,-4.33680868994202e-19
TRX,0,0,0.296436019753245,0,0,0,0.0450438184656694,0.171209013077261,0,0.255566161911008,0.113261305781172,0,0.251946446852703,0,0,0,0,0,0,0.018870951422159
BV010082.Index,0,0,-0.0167840667976438,0.12816367446019,-0.0716624283282825,0,-0.0402000071859749,-0.060354412408999,0,0,0.0305010510913237,0,0,0,0,0,0.107457503254709,0,0,-0.0418655198170534
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0.0352349703371902,0,0,-0.0146882771710117,0,0,0,0,0,0.0246428976659631
DXY.Curncy,0,0,0,0.0040964404422539,0,0.0192368877242331,0,0,-0.0276046635735737,0.00299420468637437,-0.0054573807879862,0,0.0130937602573849,0,0,0,0,0,0,0.00653419648872405
SPX.Index,0,0,-0.0127621542142837,-0.0149557216350974,0,0,0.00526632030254635,0.0292208360680871,0,0,0.0467230205005277,0,0,0,-0.0549232320353847,0,0.0176996879855589,0,0,-0.0629687241111178
VIX.Index,0,0,-0.196237683780776,-0.381083286574071,0,0.961209142396282,0,0.18027261643332,0.0409494964895306,0,0,0,0,-0.31288860245384,0,0,0,0,-4.65657332854945,0
