,BTC,ETH,XRP,ETC,XEM,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0977197548171205,-0.29816224219221,0.11575676540112,-0.129459911654205,0.194448625033155,0.0128075823240463,0.0807524791864518,0.229074694020078,0.0721573253833629,-0.00324263416538662,0.142523197207108,0,-2.34729277537244,0,0,1.15857538746849
ETH,0,0,-0.159381843849028,0,0,-0.432012387443308,0.25263745618269,0,0.96133332282428,0,0,0.0196112867929533,0.104142530460045,0.0748054092184518,0,0,0,0,0
XRP,0,0,0,-0.385144625586509,0,0.294712058525846,0.118394012103486,-0.305362194757692,0,1.14044303870184,-0.392157323319528,-0.0319176725821272,0,0.0871886000140351,0,0,0,0,-0.26712261425393
ETC,0,-0.0920880675397334,-0.379902129266134,0,-0.136173319258841,0.219795364722054,0.45192350681943,0,0,0,-0.0946852391723581,-0.15975198291928,0.135841817587726,0.377917227644556,0,0,0,0,-0.240587741117745
XEM,0,0,0.285220384221235,-0.0893026517613513,0,0,0.139135018644503,0,0,0,0.638177105695717,-0.034375773691582,0.057519771691994,0.0517658982263059,0,0,0,0,0
LTC,0,-0.086670810112192,0.152485265838388,0.231829724119759,0.341283528227497,0,0,0.053640827807393,0.506927094569707,0,0.230768329891502,0.0266698767918481,-0.0239334831816842,0,0,0,0,0,-0.0996839936386862
DASH,0,0.344483846559241,0.35967237540978,0,0,0,0,0.182637428081749,0,0,0,0.0501008427612155,-0.0808164764005822,0.157142679749734,0,0,0,0,0
XMR,0,0,0,0,0.265365489306488,0,0.329192976913745,0,0.40052810263076,0.254555076720838,0.165870349790438,0.0910123363315949,0,-0.261546961342471,0,0,0,0,0
ZEC,0,0.241128625301628,0,-0.0758280889935438,-0.184982028664247,0.50435714423397,0,0.146327195342102,0,0,0,-0.0858730201341509,0.0337389919440198,0,0,0,0,0,0
XLM,0,0,0.725575521962779,0,0,0,0.0852787534449906,0.149511142761373,0,0,0.19254523116097,0,0.0386438528954877,0,0,0,0,0,0
DOGE,0,0.0512887972312106,-0.163633832804663,0,0.620740603752777,0.21205236367224,0.117139113276379,0,0.0929026694950037,0,0,0.117859808423647,-0.035777466541751,0.038917575269735,0,0,0,0,0
DGB,1.39140444560025,-0.0713223029912747,0,-0.978219680651036,-1.64936873767475,0,0,0,0,-0.00747662715636918,2.17650946003578,0,0.143491634867789,0.122262205267615,0,0,0,0,-0.644381179982887
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.334678746132723,1.49027630113631,0.307429030385778,0,0,-0.273890676944398,0,0,0.220087288152274,0.105364829494796,-0.198371410468781,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170145268348449,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.00877550473294073,0.000662769717680467,-0.00434929093266396,0.00324603374981782,0,-0.00357610224888368,0,0,0,0,0,-0.00700588714854593,0,0.00144231833312628,0,0,0,0,0
SPX.Index,0,-0.00205089275782061,-0.00169214283932598,0.00103869357526145,-0.00289085675267861,0,0,0,0,0,0,0.00121580278679976,-0.000256096685997484,0,0,0,0,0,-0.0164952905246468
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
