,BTC,ETH,BCH,XRP,LTC,DASH,ETC,NEO,XMR,XEM,MIOTA,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.100346397627475,0,0,0,0,0,0,0,-0.243256218412649,0.125740598066611,0,0,0.252508115736484,0,0,0,0,0
ETH,0,0,-0.0280039014240679,0.0160556698926561,0,0,0.111392890955058,0,0,0,0.101417705454139,0.149581722052017,0.110975023341546,0,0.0567625105616151,0,0,0,0,-0.10140854539975
BCH,-1.09287704876304,0,0,-0.174484118717024,0,0.195194105991913,0.296714934003535,-0.981959721680144,-0.438926817537736,0,0.795332035411564,-0.0918790119912795,0,-0.366787837851454,0.529659444611513,0,0,0,0,-0.44223534519986
XRP,0,0,-0.0479336697707623,0,0.151963755155181,0,0.00697171774250486,0,0,0,0.110767875933825,0.00748187335295465,0,0.0588904015273031,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.104587101452985,0,0,0,0.0627009568760265,0.103407386702305,0,0,0,0,0,0,0,0
DASH,0,0,0.137000815023853,-0.203813656517498,0.544203506193345,0,0.0629887578391742,0.388161699983119,-0.0543750116025796,-0.251752382401081,0,0.0171156114286901,-0.147558631419717,0.195772021123048,-0.0868513206819117,0,0.136197413300913,0,0,0
ETC,0,0,0.267066679347246,0,0,0,0,0,0.593364452535796,0,0.0974246198725741,0.0215237858131252,0,-0.0728446023694667,-1.73472347597681e-18,0,0,0,0,0.0314160915866907
NEO,0,0,-0.24779454377186,0,-0.151434931654732,0,0,0,-0.17051658997257,0.27144184401649,0.415461690114552,-0.0368350110989281,0.278756352188679,-0.181977159696447,0.0795861724941365,0,0,0,0,0
XMR,0,0,-0.168458531222602,0,0,0,0.146472736040602,0,0,0,0.320939484857314,0.0956953792020656,0,0,0.108524553840805,0,0,0,0,-0.249164290259238
XEM,0,0,-0.108770990820461,0,0,0,0,0.0101275578023935,0,0,0.279442663404862,0.270706414247187,0,0,-0.00204883807803584,0,0,0,0,-0.293488078590719
MIOTA,0,0,0.223392643386401,0.246186455214797,0.176191824910034,0,0.0241516142975381,0.350323306896479,0.253491264702083,0.42540658592067,0,0,0,0.132834098804194,0,0,0,0,0,0.442179172223685
ADA,0,0.902085638580021,0,0,0.2820500421142,0.178674607970882,-0.176871846802725,0.108799238896541,0.35085104006981,0.101864649881365,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0.440000447501737,0,0.0567860141434642,0.398778588426515,0,0,0,0.000835460590545709,0,0.0705540886961825,0,0,0,0,0,0
XLM,0,0,-0.413861624425273,0,0,0,0,0,0,0,0.474968546046756,0,0,0,0,0,0,0,0,0
EOS,0.870656682206465,0,0,0,0,0,0.0285330454682904,0,0,0,0.540696156861879,0,0,0,0,0,0,0,0,0
BV010082.Index,0.0922576604201801,0,0.0224984241916852,0,0.0526789493598113,-0.0149177787300545,-0.0312233949137204,-0.0496453764188931,0.0184150606024468,0.0342255963628757,0.0532330631141042,-0.0490159650975145,0.0659326679490125,8.67361737988404e-19,8.67361737988404e-19,0,0,0,0,-0.0013641399440723
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0.0204224351333445,0,0,-0.0149698704716924,0,0,0.0211403233617301,0.00802619961492668,-0.0105933511030255,0,1.0842021724855e-19,0,0,0,0,0,-0.0251401537958994
SPX.Index,0,0,0,0,0.0117057828134144,0,0,0,0,-2.16840434497101e-19,0.0058571481388006,-0.00134657671281969,0,0.000151962099782084,0,0,0,0,0,-0.0409559210350862
VIX.Index,0,0,1.73472347597681e-18,0.218268468920732,0,0,4.33680868994202e-19,0,-0.133328715451199,-0.592705681833096,0.435339538869505,0.158605518696115,0,-0.0912179745415752,-0.0537256286662251,0,0.256961482597852,0,0,0
