,BTC,ETH,XRP,LTC,XMR,DASH,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0963769990847903,0,0,0,0.103915746782107,0.347528234285326,0.135612693704788,0,0,-0.232348934709179,0.0444927468330084,0,0,0,0,0,0.0909487966736665
ETH,0,0,0,0,0,0,0.151433857625852,0.0730550591085194,0,0,0,0,0,0,0,0,0,0
XRP,-0.0947624603263455,0.0519975255129539,0,-0.336093099965632,-0.116464447057735,-0.35194261278495,0.0867788814263788,0.138828246481794,0.393713017292986,0.442996754089189,0,-0.0929490746379377,0.0560312242048028,-0.0795775118802912,0.185771090198635,0,0,0
LTC,0.196777817149465,0,0,0,0.0850012504607772,0,0.111070566892834,0.0102281084481586,0,0.00893298899461951,0.196305319250082,0.00444850388951091,0.0724482174866058,0,0.0562015186291988,0,0,0.0328874228404361
XMR,0,0,0,0,0,0.23193267580782,0.177575305191941,0,0.448318114277361,0,-0.0702011754076519,-0.266908327342863,0,0,0.103291524672531,0,0,0
DASH,0,0,-0.864272794247189,0,0.479272165716135,0,0,0.0688785755289807,0.505257366404309,0,0,0,0,0,0.161252640568442,0,0,-0.0189275396767922
ETC,0,0.261264935856417,0,0,0,0,0,0,0.183823594937648,0,0.0780806791429381,0,0,0,0,0,0,0
XEM,0.634877583251039,-0.201435246663576,1.03881205291295,0,-0.558514055153161,0.849268905031331,0,0,0,0,0.0778012173342134,-0.126604160612402,0,0,-0.528940975280448,0,0,-8.67361737988404e-19
ZEC,0,0.192024858594631,0.552104882433523,0.221908824398883,0.38603549662144,0.282731232498955,-0.13194345446001,-0.0386067737017118,0,0,0.248749958202721,0.0923735845730093,-0.0785680837918955,0.127704982667636,-0.194152533894936,0,0,0.087093986422969
DOGE,0,0,0.19354232210518,0,0,0,0.10228535780611,0,0,0,0.147543059422608,-0.0397007555606173,0.24088461982793,0,0,0,0,0
XLM,0,0,0,0,0,0,0.0557753237092023,0.0115655573826323,0.313478444634287,0,0,0,0,0,-0.180212225918049,0,0,-0.112306540287998
NEO,0,0,0,0,0,0,0,0.136314631833564,0,0,0,0,0,0,0,0,0,0
DGB,0,-0.130154004216305,0.303289574720046,0,-0.0416560004525157,0,0.41407013592801,0,-0.142022345968227,0.373968442058668,-0.291349182416247,0.215848408147291,0,0,-0.129558877006193,0,0,0
BV010082.Index,0,0.0574789390784152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0.0146789091744653,-0.0342445440065623,0,0,0,0,0,0,0,0,0,0.206761185579549
DXY.Curncy,0,0.00545042719272918,-0.0387822149878001,0,0,0.0175846627784053,-0.00562617719694081,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0158729026768781
SPX.Index,-0.00624502933290627,0.043556366938983,0,-0.0238726543418502,0,0,-0.00271687424356298,0,0,0,0,0.00574749942750407,0,0.036606513310245,-0.00372082843920249,0,0,-0.0529795791358505
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
