,BTC,ETH,XRP,DASH,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0840582908155934,-0.0696398793174539,0,0.0656066293609987,0,-0.118107928040691,0.270100474547532,0,-0.215383641121451,0.227840117509205,0,0,0,0,0
ETH,0,0,-0.115868839446882,0,-0.0804104163405654,1.31185914768611,0.243085202903098,0,0,0,0,-0.149262354794219,0,0,0,0,0,0
XRP,0,-0.137414177046488,0,0,0.450301818524647,0,0,0.150434007547921,0.0149402514621608,0,0,0,-0.272389648546651,0,0,0,0,0
DASH,0,0,0,0,-0.00928480021485614,0,-0.262902408632271,0,0.124763485145554,0,0,0,0.120317577216203,0,0,0,0,0
LTC,0,0.0762765773431916,0,0,0,0,0,-0.0627702799154141,0,0,0,0,0,0,0,0,0,0
XMR,0,0.352341426132555,0.0137622887431315,0,0,0,0,0.16675108661374,0,0,0,0,0,0,0,0,0,0
ETC,0,0.406204227638784,0.10410663086501,0,0.369218075397,0,0,0,0.276044844211358,0,0,-0.163752417313617,0.238722430037953,0,0,0,0,0
XEM,0,-0.0384649760220374,0.244099942626764,0,-0.11068708101909,0,0,0,0,-0.407922767057775,0,0,0.396668120861346,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.122119367414432,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0,0,0.14375040726652,0,0.169647128791807,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.136490789501155,0,0.230294177377515,0,0.142132689460874,0,0,0,0,0,0.314805229931429,0,0,0,0,0
NEO,-0.137220335296263,-0.122874860367423,-0.0878580684216573,-0.062326512642004,-0.0388855765123369,-0.170442027996187,0,0,0.24383157939122,0,0,0,0.288864874788307,-1.10288661304276,0,0,0,0
DGB,0,0,-0.146441819128121,0,0,0,0,0.294239084478086,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.00770349898504966,0,-0.0394979238297018,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0.00630580776833302,-0.00281749322647522,-0.0028250181737895,0.00711490964670163,0,-0.00066125542502521,-0.00245848534208064,0,0,-0.00336882933903755,-0.00711044413415566,0,0,0,0,-0.0427856902646223
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
