,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.0959390163427646,0.0822586596563674,0.174643056372898,0,0,0.0311106145718005,0,0,0,0.0927530901187395,0,0,0,0,0
ETH,0,0,0,0,0.0510236212242271,0,0.178835845974729,0,0,0.0947191018988301,0,-0.0240549614007877,0,0,0,0,0,0,0.0998258736696379
XRP,0,-0.358915185820364,0,-0.378141894299628,-0.529130390782015,0,0.137106256485046,-0.0721105398927901,0.87664502094021,0.200644087633458,0,0.0477217752474135,0,0.263149211990141,0,0,0,0,0.605195090434426
XEM,0,0,0,0,0,0,0,0.0506059251940683,0,0,0.370044708424195,-0.0393044612979242,0,0.0437178655075445,0,0,0,0,0
ETC,0,0,-0.679775681324672,-0.290728869858199,0,0,0,0,0.403463720274432,0.102109342798242,0,0.0523696318173811,0.60823772545304,0.461024368192407,0,0,0,0,0.633105516088658
LTC,0,-0.156066393772436,0,0.0926797091305055,0,0,0,0.426000670892923,0,0,0,-0.0507640989902538,0,0.219896359716468,0,0,0,0,0
DASH,0.681047913288491,0.232187014936444,0.250637501544983,0.0600863347361618,0,-0.0747384851014654,0,0.153215580635856,0,0.166375157445222,0,-0.0869616184540336,0,0.0817512353767467,0,0,0,0,0
XMR,0,0.0813590973212177,0,0.0914937173132812,-0.0356071166832063,0.307697832803237,0.587993162056134,0,0.152069957206866,0,0,0,0,-0.209538703304213,0,0,0,0,0
XLM,0,0.219567629314637,0.766734049219368,0,0.0997637478727997,0,0,0.235343618844531,0,-0.301793604210119,0.138282927664392,0,0,0,0,0,0,0,-0.0907098296206152
ZEC,0,0.280857897481156,0,0,0,0,0,0.0947767106746094,0,0,0.0930350101411101,0,0,0.00650408386076539,0,0,0,0,0
DOGE,0,0,0,0.606303809387374,0,0,0,0,-0.107948798272462,0.171530155783399,0,0.127388622373854,0,0.0833140267782996,0,0,0,0,-0.475748594763294
DGB,0.81079755756709,0,0,-0.541039324365357,-0.437022457961773,0.429813128694407,0,0,0.190843908121586,-0.565253768864313,1.00166558921567,0,-3.53803193079056,-0.236863628471007,0,5.11774475612381,0,0,-1.19610626865707
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.627154621963799,0.958674222067711,1.24259225141505,0.593966892930881,0.222084494619876,-0.750399593088915,-0.182378254779836,0.128906669868278,-0.508754584454757,0,-0.965914767957808,0,0,0,0,0,-1.4430813831843
BV010082.Index,0,0,0,-0.0220335942579601,0,0,0,0,0.00203609063653595,0,0,0.00439345420760088,0,0.0294916348402106,0,0,0,0,-0.0398613190056709
CVIX.Index,0,0,-0.042719053986317,0.0474472427941334,0,0,-0.0025692586863249,-0.012001193288236,-0.00286609985449304,0,0,0.0282430006633559,0,0.012078468214185,0,0,0,0,0.106362348361244
DXY.Curncy,0,0.0035550157823962,0,-0.00778056076738823,0.00696397979837472,-0.00789827555336627,0,-2.71050543121376e-20,0.000229509131634365,0,0,-0.0028768051347353,0,0.00251276784798038,0,0,0,0,0
SPX.Index,0,0,0,-0.013156799840313,0,0,0,0.00392469059297582,0,0.00212588157800524,0,0.00352335833653969,0,0.00370238523513285,0,0,0,0,-0.0244195483543366
VIX.Index,0,0,0.204468524616269,0.615156497563714,0.184188879571878,0,0,-0.220667239152624,-0.0654667212976105,0,-0.149879547481424,0,0,-0.164969888778854,0,0,0,0,0
