,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,XEM,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.237085744407004,0,0,0,0,0,0.173334346242273,0,0,0,0.171809911400932,0.00711389077914713,0,0,0,0,0,0,0.0428772540808598
ETH,0,0,0.325477413570153,0,0,0,0,0,0,0.271959574210562,0,0,0,0,0,0,0,0,0,0
XRP,0,0.17887504070519,0,0.0666910646438862,0,0.152732787566392,0.0622685471099729,0.130798010209917,0.118390913735376,0.143750773972319,0,0.100544718511595,0,-0.024578358017193,0,0,0,0,0,0
BCH,0,0.0831404896410625,0.0852872970427757,0,0,0,0.0527175551564361,0,0,0,0.110245096692987,0.116224193087178,0.289755555460433,0.006231686976791,0,0,0,0,0,0
LTC,0,0.186555453360542,0,0,0,0.0493209684487404,0.0793095615792844,0.098489826971067,0.097467487397236,0,0,0.205943879442727,0,0.0943317272815079,0,0,0,0,0,0.118330166813066
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326689768800628,0,0,0,0,0,0
ADA,0,0,0.381937405187353,0,0,0,0,0.224861209019791,0,0.215439634862448,0,0.0357483570041403,0,-0.0923777260979112,0,0,0,0,0,0.119353883855334
XLM,0,0,0,0,0,0,0.0346870881949459,0,0,0,0.618456739561344,0.35101112204041,0,0,0,0,0,0,0,0
NEO,0,0,0.0991270050336509,-6.93889390390723e-18,0,0,0,0.0383289132242874,0,0.194267962177076,0.143423153689615,0.172907263568794,0.264093996978204,0,0,0,0,0,0,0
MIOTA,0,0.675418485505224,0,0,0,0,0.201056132341668,0,0.0922126962207253,0,0,0.275473851528137,0.0367698143490112,0.0232932510202528,0,0,0,0,0,-0.179835087895487
XMR,0,0,0,0.386866049130043,0.230323738969196,-0.0288012909080323,0,0.071001447776399,0,0.109383017128064,0,-0.272391442466501,0.431699738469338,0.0628704841297993,0,0,0,0,0,0
XEM,0.105070723818852,0.18267719386345,0.380765771374694,3.46944695195361e-18,0,-0.111459247420229,-0.0521239166715998,0.294674678799754,-1.73472347597681e-18,0.493455042452938,-0.190301999311248,0,0,0.0526096298158037,0,0,0,0,0,0.0226511243458469
DASH,0,0,0.225797034514125,0.113455380292674,0,0,0,0,0,0,0.437717191581879,0.144660767142085,0,0.0244561252955312,0,0,0,0,0,0.0434949138985342
TRX,0,0,0,0.208425333767669,0,0,0,0.21700868244983,0,0,0,0.114071052795405,0.38011399139035,0,0,0,0,0,0,-0.0385105770136908
ETC,0,0,0,0,0,0.0491176332023349,0,0.0734277386969868,0.316571804562071,0.0269410513005844,0.0949106552462772,0.176239717851878,0.0694122131681043,0.0276480797088209,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0.024940456406579,0,0,0,0,0,0,0.0396619457418576,-0.0366239279636153,0,0,0,0,0,-0.0799150605735498
CVIX.Index,0,0,0,-0.0236090455032603,-0.0335230079262297,-0.0281588166112781,0.0210514301444597,0,0.00838032049866669,0,-0.0966393020911048,0,0.132004678322732,-0.0353156204666257,0,0,0,0,0,0.00783238385475124
DXY.Curncy,0,0,0,0,0,-0.00884238337878313,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00957566839869555
SPX.Index,0,0,0,0,-0.0105812008878528,0.031348256517143,0.00961153441414902,0.010546023592191,0.0110670175707216,-0.048082056482545,0,0,0,0.00770766203044119,0,0,0,0,0,-0.1212231510077
VIX.Index,0,0,0,-0.245940780299233,0.131605679082266,0.0965175904822278,0.0999785647804214,0,0.0962057259380282,-0.0178305920281159,0.0103071474291801,0,0,0,0,0,0,0,-6.12281306008649,0
