,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.113140289179226,0,0.197407725816005,0,0.298180265500599,0.171665367982812,0,0.31595233581425,0,0,0,0,0,0,0,0
ETH,0.0802760346977926,0,0.123181047924813,0.045429963450636,0.102019146795178,0,0.105478093425207,0.0952145331230265,-0.0350093064279195,0,0.133894905117072,0,0.0878726676822204,0,-0.0359864397473142,0,0,0,0,0.00423907587417071
XRP,0.0562179559899092,0,0,0,0.172012619165627,0,0,0.135282375407266,0,0.0524916489745099,0,0.237167241590847,0.0404631852270587,0.0717682372147582,0,0,0,0,0,0
BCH,0,0,0.111972670396861,0,0.0744754127782134,0,0,0.260519247462984,-0.105973989178094,0,0,0.286586254645833,0,0.347667040091698,0.00686950961889465,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.19574015307527,0,0.387263267087058,0,0,0,0.0564054576906176,0,0,0,0,-0.0456727429754377
ADA,0.0452159616250571,0,0.232254606719534,0,0,0,0,0.157751764812712,0.144486982488922,-0.0360706513803775,0,0,0.179165716656838,0,0.0227130477373261,0,0,0,0,-0.11475505395199
NEO,0.0550660413192812,0,0,0.171795862774105,0,0,0,0.0434446554328336,0,0,0.302626210531848,0.148952286013023,0.131479871617053,0,0.184457921243712,0,0,0,0,0
XLM,0,0,0.414670725495909,0.150872971737145,0,0.238960343596112,0.0373797296008232,0,0,0,0,0.0481756302639362,0.357195940650294,-0.123195953218076,0,0,0,0,0,0
XMR,0.213372491635443,0,0,0,0.0698055427413992,0.187505098586438,-0.156210862219461,0,0,0,0.23051875430695,0.670225285558603,0,0,0,0,0,0,0,0
EOS,0.362958627233575,0,0.24247992708942,0,0,0,0.0484199096766429,0.00519802486416958,0,0,0.227928326315162,0,0,0,0.0090855503616972,0,0,0,0,0.0223479273413773
MIOTA,0,0.147566005138908,0,0,0,0.0427845021240094,0.0474669739644647,0,0.0209831005199925,0.596382746739989,0,0.233087053900935,0,0.27396680330586,0,-0.584153040564227,0,0,0,-0.129660297506208
DASH,0.25368128943345,0,0.0691384682737643,0.0427894355737755,0,0,0,0.21770501950348,0.27965239766619,0,0,0,0.0945703639899675,0,0,0,0,0,0,0
XEM,0,0.395664304834854,0,0,0,0,0,0.154511623439701,0,0.160114649734686,0,0.0613339708734856,0,0.257740538487269,-0.110597359017511,0,0,0,0,0.0553791963196785
TRX,0,0,0,0.321963414846086,-0.0276630768386602,-0.259252043443328,0,0,0.129879592596646,0,0.227653991309767,0,0.620671811318171,0,0.0848171922656586,0,0,0,0,0
ETC,0,0,0.179355583016347,0,0,0,0,0,0,0.423013181842664,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.0269033182950092,0.0536972886471705,0.0192244336405508,0,0,0.0336212224320504,0.0935676606923743,0,-0.133063976153037,0,0.0273466419716209,0,0,0,0,0,0,-0.0863135677711699
CVIX.Index,0,0,0,0.104718101432115,0.00977228984814047,0,-0.0236871803691134,0,-0.0440444128224419,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.0154747060626942,0,0.00619338121014954,-0.0510959606688753,-0.0176081972949457,0,0,0,0,0,0.0019019131757727,0.0281197683093044,0.0178410926301492,0,0.00466986518799307,0,0,0,0,0.0217343343554133
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0512819066823186
VIX.Index,0,0,0,0,-0.0987055344139404,0,-0.0195794504336107,-0.317642417211285,0.515135348559791,-0.248942500917838,-0.233662376001423,0,0,0.32669374341902,0,0,0,0,-1.84592276101843,0
