,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.141549537818237,0,0.013692760090314,0.0537878160964055,0,0,0,0,3.46944695195361e-18,0.0116825785437953,0.106181361851435,0,0,0.0455586443884264,0,0,0,0,-0.000729427165208719
ETH,0,0,0.038956210359239,0.289057962433591,0.0800165117965884,0,0,0,0,0.121252385793637,0.00631382932932726,0.0358219679796168,0,0.095961730359489,0,0,0,0,0,0
XRP,0,0,0,0.244523025568145,0.180735924431497,0,0,0,0,0.136832140526488,0,0.0338435862279112,0,0.104352164490699,0,0,0,0,0,0
BCH,0,0.222688330640367,0.310705170285627,0,0.145455444289161,0,0,0,0,-3.46944695195361e-18,0,0,0.0957342226829484,-0.0191573011916376,0.0317768536531974,0,0,0,0,-0.0170979657581476
EOS,0,0,0.13987046171774,0.07816121951861,0,0,0,0.412357574906271,0,0.206263076985425,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0,0,0,0.0447119360011084,0.0410138984557823,0.338365260938828,0,0,0,0,0,0,0
LTC,0,0,0,0.319175533250619,0,0.373881298754585,0,0.0589826836491049,0,0,0.000268594233393459,0.0479133639000891,0.044959072663039,0.0173741305251039,0,0,0,0,0,0.0966212949257751
ADA,0,0,0.150920605940425,0,0.131785566830638,0,0.133093025299418,0,0,0.0442825947642328,0.0823394957899214,0.119306678681315,0.0861641712475217,0.0301956879598304,0.178245203345492,0,0,0,0,0.0444040492788479
XMR,0,0,0,0,0,0,0,0,0,0,0.206603492477191,0,0.228877007079466,0.144760413769458,0,0,0,0,0,0
MIOTA,0,0,0.141056586603373,0,0,0,0,0,-0.0112794745667675,0,0,1.01291603410352,0,0,0,0,0,0,0,0.333691502974144
DASH,0,0,0,0,0.25076601975018,0,0,0,0.378997595889152,0.0609119038427356,0,0.275149497075667,0,0,0,0,0,0,0,0
TRX,0,0,0.0966523099375056,0.0684625351132855,0.18166996884103,0.242359296971148,0,0,0.132679946589045,0.356688489887048,0,0,0,-0.0151353481433523,0,0,0,0,0,-0.108905723284122
NEO,0,0,0.0614981830796229,0.380310336662286,0,0.535777445229429,0,0,0.186154581251791,0.334121525434286,0.106531529841119,0,0,0,0,0,0,0,0,0
ETC,0,0.554455487180663,0,0.0441101782423622,0,0,0,0,0,0.0873955743429726,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.26795785191419,0,0,0,0.0127513742457917,0,0.163635873757725,-0.10046111097552,0.0221467663115996,0.231353660019551,0,0,0.385865560302879,0.499237775287428,0,0,1.73472347597681e-18
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0735689041669945
CVIX.Index,0,0,3.3881317890172e-21,0,0,0,0,0.0266944769009495,0,-0.0432857090234898,0,0,0,1.73472347597681e-18,0.179978114448308,0,0,0,0,0.175020292032113
DXY.Curncy,0,0,0,0.00426428145486454,0,0,-0.0196968139193372,0,0.00640127963649202,0,0.00243300195486529,0,0,0,0,0,0.111387726465686,0,0,-0.00677044121888763
SPX.Index,0,0,0.00297849602942958,0,0.0109026816096621,0,0,0,0,0,0,0,-0.00811744511505396,0,0,0,0,0,0,-0.0530688676707017
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
