,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,DOGE,ZEC,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.0938059659440543,0.0813079944479369,0.176563027179823,0,-4.33680868994202e-19,0,0,0.0306054567991588,0,0.0914527024981552,0,0,0,0,0
ETH,0,0,-6.93889390390723e-18,0,0.0874209549637039,0,0.167901214564009,0,-0.00331618700260241,0,0.0835894648749611,0.118405161503927,0,0,0,0,0,0,0
XRP,0,-0.527258563976748,0,-0.267252477213405,-0.37217579920605,0,0.192921182912075,-0.155041288285228,0.0482008177817154,0.997764652267688,-0.0494354693243711,0.276253312622725,0,0.171650971170392,0,0,0,0,0.490520766223183
XEM,0,0,0,0,-0.243529938616487,0.200469173509713,0.0149620200974197,0,-0.0437542203147736,0,0.340904583347314,0.0575487479263836,0,0.111630222186609,0,0,0,0,0.18211909137549
ETC,0,0.214114031909936,-0.436704139495148,0,0,0,0,0,0,0.168997526875783,0,0,0,0.34454044543586,0,0,0,0,0.188099819118783
LTC,0,-0.146952734437442,0,0,0,0,-0.0786698201974011,0.542175864861151,-0.0597398488605059,0,0.049385754840257,-0.143465114557804,0,0.252069594079503,0,0,0,0,0.0989845157310957
DASH,1.03830453895915,0.214116851775143,0.0339441668189254,-1.73472347597681e-18,0,-0.314513257794627,0,0.284381874580433,-0.0464080524433398,0,0,0.113740407749909,0,0.115538752058926,0,0,0,0,0.103619074408457
XMR,0,0.0391156515733796,0,0.101308118116551,0,0.301344452910007,0.48494489679416,0,0,0.112458828787231,0,0,0,-0.15480377998385,0,0,0,0,0
DGB,0,0,0,0,-0.476459255818131,0,0,0.149519935399039,0,0,0.83311990307389,-0.401442050228962,0,-0.0270409367612321,0,0,0,0,-0.878719328607401
XLM,0,0.219567629314638,0.766734049219368,0,0.0997637478728,0,0,0.235343618844531,0,0,0.138282927664392,-0.30179360421012,0,0,0,0,0,0,-0.0907098296206155
DOGE,0,0,0,0.416443819181759,0,0,0,0,0.232689664835628,0,0,0.282363713492211,0,0.144029519713103,0,0,0,0,0
ZEC,0,0.369801456252268,0,0,0,0.078047640323242,0,0.120916018202575,0,0,0.0583376359013829,0,0,0,0,0,0,0,-0.0383926346818483
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0.244013945727658,0.245702481995674,0.870520416608202,0.828238017679807,0.24103556109703,-0.693748958908112,0,0,0,0.0699413026524459,0,0,0,0,0,0,-0.694417315775982
BV010082.Index,0,0,0,-0.0219729876173699,0,0,0,0,0.00440797864804707,0.00196218691131498,0,0,0,0.0294951767300991,0,0,0,0,-0.0399528833587491
CVIX.Index,0,0.0180320635689097,0,0.0525584248768878,0,0,-0.0335044968892357,-0.0142538697550915,0.00499813701546505,-0.00320754343320423,0,0,0,0.00996280560705025,0,0,0,0,0.0500726585084655
DXY.Curncy,0,0.00627388798992088,0,-0.0104787800127514,0.00638789101687509,0,0,-0.00351079938679362,-0.00315683301362924,0,-0.000786631253335791,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,-0.013725660047476,-0.00140799942010764,0,0,0,0.00285060064810187,0,0,0.00172828129801672,0,0.00264787075221091,0,0,0,0,-0.0264913711819175
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
