,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0989834706444362,0,0.968239711579079,0,0,-0.1665560407953,0,0,0.0506014701102113,-0.0197977325912288,-0.00235668337231301,-0.0539840932621212,0,0,0,0,0.0255122941074067
ETH,0,0,0.0522242223768894,0,0.0189628958250331,0.234032212215581,0.380626497862399,0,-0.227408384673453,0.153687407301593,0,0.0076066844955602,0,0,-0.0303503953860398,0,0,0.0620661330104527
XRP,0,0.239643310961302,0,0,0,0.137605003969277,0,0.096975154418294,-0.167332214275579,0.113384759702276,-0.00270030065166878,0,0,0,0,0,0,-0.0202062886415168
LTC,0.477029429635259,0,0,0,-0.00621666563182001,0,0,0,0,-0.148541568952108,0,-0.00752258322010413,0.015345655093142,0,0,0,0,5.42101086242752e-20
XMR,-0.675370820012214,0,0,0,0,6.93889390390723e-18,0.310434945502962,0.232791500018847,0,0.0836454046069499,-0.194738231569072,-0.0177936805643441,0,0,0,0,0,-0.0248356382599724
ETC,0,0,0.198154471053653,0,0.0436078250239877,0,0,0,0,0,1.0842021724855e-19,-0.0103303787658673,0.25375686232974,0,0,0,0,-0.0592187024997482
DASH,0,0,0,0,0.286550621841291,0,0,0,0,0,0,-0.0766875766936798,0,0,0,0,0,0
XEM,0,0,0,0,0,0.34736600271832,0.256284756841396,0,0.912071498410981,0.0825571059881774,0.0474737550030413,-0.00158857117064161,0,0,0,0,0,-0.206156154292335
DOGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.553336904412904,-0.218905936278151,0.245526704693381,0.111109410303379,0,0,0,0,0.169634377891817,-0.029954442852775,0.0414596956443144,0,0.224027408994062,0,0,-0.0276507491904206
NEO,0,0,0,0,-1.03856797989068,-1.32810550113696,0,0.371289404075348,0.219695555711898,1.79133671163675,0,0.0941191313043009,0,0,-0.718824015756631,0,0,0.212037334079248
ZEC,0,0,0,0,2.57474495667221,0,-6.10866925526591,-0.283422951001821,-0.122793001308449,-3.07651735206257,-0.215822876386036,0,0,0,0,0,0,-0.41149468984479
DGB,0,0,0,0,0,0.414565939011355,0,-0.0786524983293001,0,0,0.0485101674904955,-0.0339118315071118,0,-0.302857127693478,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,-0.0762343338002137,-0.0304762957218606,-0.00501242283429358,-0.00622065236208806,-0.0904654400441264,0,0,0,0,-0.10234575085912
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,2.64240671202905e-08,0,0,0,0,0,0.324947205171568
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,-0.00087965825811045,0.00024846253548551,0,0,0,0,0,-0.0236158595690248
SPX.Index,0,0,0,0,0,0,0,0,0,0,0.00133101170449916,0,0,0,0,0,0,-0.0416116419066146
VIX.Index,0,0.147041379656472,0,0,-0.273827007229725,0.188772551561098,0.233976336332455,0.0562683567728584,0,0,0.0173516822103288,-0.034367158671493,-0.818101089129756,-3.20318710520101,0.784947621564291,0,0,0
