,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.159045582583939,0.0419149470910985,0,0,0,0,0.0957386001966378,0,0,0,0,-0.0510802495596963
XRP,0,0,0.232069629335274,-0.0338504926223191,0.43794529464258,0.10783752501357,0,0,0,0,-0.468479537280495,0,0,-0.282498242228024
LTC,1.04705118559097,0.271112388415032,0,0.299090246882709,0.228526643440083,1.07210146825449,-0.332791274440807,0.433592954631036,0,0,0.220884168505429,0,0,0.475008396955336
DOGE,1.80347550634129,0.0652713382587947,0,0,0.138560310571029,0.463955325493008,0.197214072858416,-0.0133398605369791,0.100585988971102,-0.924734862940693,0,-0.204484802968425,0,-0.160872015556729
XLM,0,0.213324057538371,0.186512545744054,0.214518137948432,0,-0.38178214381244,0,-0.132559439455828,-1.73472347597681e-18,0,-0.216376697236898,0,0,0.10521082216135
DASH,0,0,0.222009041187012,0.0692832383415599,0,0,0,0,0,0,0,0,0,-0.0646384288420851
XMR,0,0,0,0.216438640490171,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.349885006606211,-0.119762341966102,-0.48858637568488,0,0,0,0,0,-0.792274835896998,0,0,0.210001933783356
DGB,0.540255880063553,0,0,0,0.0748818726474197,-0.137858116958777,0,-0.105882159515769,0,0,0,0,0,0.211921651279016
BV010082.Index,0.25767649299439,-0.0860543682202415,-0.0386382878718085,-0.149076709329189,0.133947514656762,0.17899510384874,0.0279650033693473,0.0413301248439684,0,0,0.191687157097314,0,0,-0.0690745107967532
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0.00679591618986798,0.0109743943210301,0.00597539645369741,0,0,0,-0.00650904800917452,0,0,0,0,0,-0.0893437049487715
VIX.Index,0,-0.17625240561051,0.226643651995856,0,0.0880171560849438,-0.0736520403121012,0,0.0711706128060201,0.439555494146428,-1.23882737211738,0.106292163902505,0,-4.5840110095019,0
