,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,ETC,DASH,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.103659953327093,0,0.393941886972762,0,-0.0210156476416347,-0.0451287859564135,0.0301981769835858,-0.0924561566020694,0.190044607838053,0,0.0545592460857808,0,0,0.0573850541934722
ETH,0,0,0,0,0,0,0.00446349734798403,0.211983966909992,0,0,0,0.108492066430267,0.0777084366018744,0.232091643234165,0,0,0,0,0,0
XRP,0,0,0,0.166762864798863,0,-1.73472347597681e-18,0,0,0,0,0.253453342751421,0.0688713297509983,0,0.091258059289686,0.380587800997051,0,0,0,0,0
BCH,0,0,0.201613140916937,0,0,0,0.0920864548448955,0.285938681702134,0.0415689043781428,0.157675039515828,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.191616115464326,0,0,0,0.119101834704322,0,0,0.0932988204443263,-8.67361737988404e-19,0.10832840055034,0,0.222200807572963,0.262304697584728,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.16276829376208,0.323451598614958,0,0.0654490078688556,0,-0.055671292888113,0,0.415109556978478,0,0,0,0,0.0245802582742785
LTC,0.163182664582383,0.28326196658487,0,0.328801601951205,0,0,0,0,-0.0836498344794165,0,0.176705123026677,0,0,0,0,0,0,0,0,0
ADA,0,0.120505428617352,0,0.0337273516394785,0.00481839784594853,0.35414922285001,0,0,0,0.169899261495016,8.67361737988404e-19,0,0.0600523007922254,0.247027209671968,0,0,0,0,0,0
XMR,0.611817854833471,0,0,0.012925614922721,0,0,0,0.229148656745223,0,0,0,0,0.315893416218906,0,0,0,0,0,0,0
TRX,0,0,0,0,0.0697979480117142,0.0631996694189195,0,0.0699998220516897,0,0,0,0.0187179883628372,0.211851600214067,0.548171044906989,0,0,0,0,0,0
MIOTA,0,0,0.318166133827484,0,0,0,0,0,0,0.0424108702861261,0,0.3410616833468,0,0.438297156145495,0,0,0,0,0,0
ETC,0,0.962350245202119,0,0,0,0,1.38777878078145e-17,0,-0.186259976378932,0,0.214147829573839,0,0,-0.280493745341688,0,0,0,0,0,0
DASH,0,0.345302311472007,0,0,0,0,0,0.0433019019223789,0.395274454807502,0.103908086792543,0.0419765121941801,0,0,0,0,0,0,0,0,-0.0125871460749572
NEO,0,0.359721897303738,0.385705069030155,0,0,0,0,0,0.160444652689434,0.425737304955049,0,-0.0490790205889655,0,0,0,0,-0.158508862007412,0,0,0
XEM,0,0,0.0862858816812824,0,0.175246039994265,0.317657046805322,0,0,0,0.119519467943508,0,0,0,0.0935785818185014,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0621941508418052,0,-0.047605141100921,0,0,-0.0201669725102792,0,-0.0286801050114919,-0.0288835697214706,0.0527851289367412,0.0372342333450837,0.143925752915279,0,0,0,0,-0.0272287258730239
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,-0.00131368591134424,0,0,0.000269617433816482,0.000327608717627135,0.00412770888624617,-0.00345301613326298,0,0,0.0973960258512169,0,0,0
SPX.Index,0,0,0,0,0,-0.000276058811784214,-0.00768275424942,0,0,0,0,0,0,0,0,0,0.0159756198431495,0,0,-0.0568310896173602
VIX.Index,0.264110112391294,0,-0.0049803035161925,0,0,0.068253160323319,0,0,0,0.0726878798430701,0.305498785069464,0,-0.540398493160077,0,-0.521095068582906,0,1.41769230732934,0,-6.10715048368336,0
