,BTC,XRP,LTC,ETH,DOGE,DASH,XLM,XMR,DGB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.539424609146653,0,0,0.168942538890363,0.0440258090456288,0.135878907593221,0.0805066610339012,0,0,0,0,0,0
XRP,0,0,0.187494494674574,0.0447993888997685,0,0.273677596062822,0.122152062273308,0.173810734755145,0,0.0371014708618029,0,-0.137729333380429,0,0,-0.0715618935979504
LTC,0.417683019365549,0.462757557998585,0,0,0.117215507264948,0,0.035967375499295,-0.0712842556015047,0,0.0225841860350545,0,0,0,0,0
ETH,0,0,0,0,0,0.238048538565074,0,0,0.291640566048659,-0.147887072598605,0,0,0,0,0
DOGE,0,0,0.384971191842865,-0.0348354542452114,0,0.107629404250002,-0.233699792533585,-0.0143533802281473,0.196498244162633,0.0426547489404004,0,0,0,0,-0.14469079745329
DASH,0.755207623846891,0.773855501442324,-0.861255001980206,0.00773902466905022,0.661526206447075,0,0,-0.212114013091056,-0.149199414287625,-0.0572524267634686,0,0,0,0,0.30967446665084
XLM,0,0,0.234814079944411,0,0,0,0,0,0,-0.203107913720001,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.420436013787492,0,0,0.31789798480058,0.539160275479064,0,0,0.0303439638893305,0,0,0,0.8365641063397,0,0,-0.267547189247548
XEM,0,0.243676804149487,0.0684101651734957,0,0.765732522025002,0,0,-0.380449389707698,0.188825865370842,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,-0.0340277289441224,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,-8.08959929387231e-08,0,0,0,0,-0.065808785695702
VIX.Index,0.0476943816303267,-0.700907988711314,0.540433017240457,0,-0.286801774382595,0.14678242736546,-0.129261689818686,0.00677210219750278,0,-0.035887826884325,0,0,0,-6.76413410811865,0
