,BTC,ETH,BCH,XRP,LTC,XEM,DASH,MIOTA,ETC,XMR,NEO,ZEC,EOS,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0138843701575072,0,0,0.133455519101712,-0.052459319315234,0.304844650155046,0.181605156249777,-0.0288011828292583,0,0,0,0,0,0,0,0,0,1.73472347597681e-18
ETH,0,0,-0.0431410250448001,0,0.0751855790884658,0.0780625046463722,0,0.136751464075138,0,0,-0.214671837824461,0,0,0,0,0,0,0,0,0.0148423247514359
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0.175709450632848,0,-3.46944695195361e-18,0,0,0,-0.0763354954485364,0,-0.179204241367725,0.317551944073515,0.0768423592512347,-0.331558505855934,0,0.751296520626758,0,0,0,0,0,0.0861885531168509
LTC,0,0,0.00454645300319193,0,0,0,0,0,0.660195385204719,0,0,0,0,0,0,0,0,0,0,0.206501545665392
XEM,0,0,-0.0995865463938116,0,0,0,0.255929862911194,0,0,0,0,0,0,0.137501927138492,0,0,0,0,0,0.139842488717809
DASH,0,0,0.0341753924061369,0,-0.279315657540479,1.0842021724855e-19,0,0.038583288305265,0,-0.110092303618056,0,0.921523504283275,0,0,0,0,0,0,0,-0.0538623105391008
MIOTA,-8.67361737988404e-19,0.411027785924787,8.67361737988404e-19,0,-0.0538019222942707,0,0.423817831503518,0,0,0.0762471132988979,0.528207340469341,0,0,0,0,0,0,0,0,0.134502287970323
ETC,0,0.0130848966574714,0,0,0.398936787838278,0,0.00714107584462804,0,0,0,0,0.0833758824276509,0,0.0824685868093369,0.149349306642871,0,0,0,0,-0.0133055688336298
XMR,0,0,-0.0898407169090218,0.728128387369801,0,0,0.160195323172206,0,0,0,0,0.649058707110991,0,0,-0.283631673689516,0,0,0,0,0.0119418749404449
NEO,0,0,0,0.054706895254702,0,0.255020751880572,0,0.0845513484495728,0,4.33680868994202e-19,0,0,0,-0.482823255306699,0.0571254049142774,0,0,0,0,-0.112312427626218
ZEC,0,0,0,-0.143815280775655,0.163184951021242,0,0.623826654052098,-0.0442767161345441,0,0.103025038095423,0,0,0.175024777649493,0.331306730239235,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0575811007737001
XLM,0,0,0.0102837505475821,0.376817988785352,0,0.0020096538320541,0.0866221182416934,0,0,0.15445339463222,-0.194267720836945,0,0,0,0.415044174908324,0,0,0,0,-0.0302036799967194
DOGE,0,0,-0.00697420132823637,0,-0.143941948126812,0,0.0848030154996468,0,0.764960519856695,-0.0957304775772948,0.0347126956323836,0,-0.130354098963147,0.109222043745628,0,0,0,0,0,-8.67361737988404e-19
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.043094288693086
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,-0.0054350552099263,0,0.000356043720737287,0,-0.00415885925510512,0,0.0116683512462454,-0.00449474467132052,0,0,0.0110718110064088,0,0,0,0,0,0,-0.0450783217863454
VIX.Index,0,0,0,0,0,0,-0.104425201032607,0,0,0,0,0,0,0,0,0,0,0,0,0
