,BTC,ETH,XRP,BCH,XEM,LTC,NEO,MIOTA,DASH,ETC,XMR,EOS,ZEC,XLM,DOGE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0422023349629384,0,0.120936851445883,0.0531332460452038,0,0,0,0,0,0,0,0.448712345421505,0,0,0,0,0
ETH,0,0,0.435788753427143,0.0135187925880528,0,0.203071449810821,0.0653108513669601,0.0525835820113707,0,0,0,-0.348776830895381,0.388969987318196,-0.120081198039232,0.473678978460066,0,0,0,0,0.0772140562608516
XRP,0,0.476459815439066,0,0,0,0,0,0,0,0,0,0,0,0.0562553394649636,0,0,0,0,0,0
BCH,0,0,0,0,1.07785390231004,0,-0.22387798304832,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.148984931421435,0,0,0.156423425780958,0,0,0,0,0,0,0.259771547767263,0,0,0,0,0,0
LTC,0,0.128329947092312,0,-0.0117004986978348,-0.110878391514494,0,0,0,0.0669533152249592,0.203621692355408,0,0,0,0.0334536183024058,0.267650670408147,0,0,0,0,0
NEO,0,0,0,0,0.617427847563166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,6.93889390390723e-18,0,0.0101420470472699,0,0,0.156948850658723,0,0,0,0.363364199085037,0,0.611374568456512,0,-0.637500284635463,0,0,0,0,0
DASH,0,0,0.117214085887406,0.0421112800291853,0,0.154322274882325,0.0522177416387042,0.107916586844356,0,0,0,0.0341109021405456,0,0.059142527620331,0,0,0,0,0,-0.0704078091096307
ETC,0,0.142296976909158,0,0.0338637589335045,0,0.312661647898277,0.02344739265688,0,0,0,0,-8.67361737988404e-19,0,0.115660922528705,0,0,0,0,0,0
XMR,0,0,0,0.118467962255764,0.0221239732584214,0,0,0,0,0,0,0,0,0.525161181124102,0,0,0,0,0,0
EOS,0,0,0,0.0662812237450908,0,0,0.0798710093522284,0,0,0,0,0,0,0.294952590220121,0.271473276935531,0,0,0,0,0
ZEC,0,0.584071631962818,0,0.0329806122324521,0,0,-0.0652709295456563,0,0,0,0.303658224483856,0,0,0.114057821163133,0,0,0,0,0,0
XLM,-0.210407728553966,0,0.48866660092445,-0.160892647609255,0.189836628755712,0,-0.0885800757625502,-8.67361737988404e-19,0,0,0.701877550881592,0.474783572263773,0,0,0,0,0,0,0,0
DOGE,0.0954592712468068,0.0378438991652306,0,0.0145518328516735,0.0101339742225172,0,0.017935808060295,0,0,0,0.131354982209304,0.290183340046317,0,0.182531516835206,0,0,0,0,0,0
BV010082.Index,-0.0616737323927552,0.0300342402647991,0,0.000583003081045938,0,0,0,0,0,0,0.0126114759932225,-0.0873882465335611,0,-0.0437893196410316,0.141610338537036,0,-0.063381215500145,0,0,-0.0159897463105779
CVIX.Index,-0.107182289755235,0,0,-0.00223210997787513,-0.0502203393895857,0,0.0135285424647362,0.063709090684858,0,0.165126386722534,0.0656448513815854,-0.0118340222639377,-0.213799948587239,0,0.00382410795101249,-0.558305117568664,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0.00797133708541974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209073948600919
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
