,BTC,ETH,BCH,XRP,BTG,LTC,DASH,MIOTA,XMR,NEO,ETC,XEM,EOS,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.172807902432064,0,0,0,-0.0880521472595065,0,0,0.0329853373115832,0,0,0,0,0.0936607753266769,0,0,0,0,0
ETH,0,0,0,0,8.67361737988404e-19,0,0,-0.0487653708866418,0.191627725205369,-0.0487901829619288,0.065306373219257,0.241427364301473,0.141438101018261,-0.0321833880046535,0,0,0,0,0,0
BCH,-0.815228246131246,0,0,0,0.257257371548424,-0.302080568091958,0,-0.0199841893659555,0,0.435813972515779,0,-0.291957739471211,0,-0.162458921041941,0,0,0,0,0,0
XRP,0,0,-0.033485432690012,0,0,0.258798569715618,-0.0792453538196015,0.0453130761247924,0.0339199058955985,0.0462337765399644,0,0,0.0673357503388098,-0.0524255441825192,0,0,0,0,0,0
BTG,0,0,0.441824005822263,0,0,0,-0.275818320257817,0,0,-0.236565403615281,1.60356884367788,0,-0.539846993948492,0,0,0,0,0,0,0
LTC,0,0,-0.182716116309373,0.257671297568169,0,0,0,-0.0283885088629442,0.209981939171579,0,0.218835161448312,0.0664487197772947,-0.129532068940674,0,0.0361727240291949,0,0,0,0,0.195366847747072
DASH,0,0,0.17253098371827,0,-0.0608233767644893,0,0,0,0.653961051945643,-0.223600712868353,-0.203104064773997,0,0,0,0,0,0,0,0,0
MIOTA,0,-0.278929819318216,0.0175919593183392,0,0.10783434795312,0,0.0887107349788447,0,0.514803111374467,0,0,0,0.259524523403985,0.329442908809776,0,0,0,0,0,0.611002052053586
XMR,0,0,-0.0427704789730195,0,0.0380493970991502,0,0.207748308820082,0.179407702930752,0,0.174647560977145,0,0.241157691914822,0,0,0,0,0,0,0,-0.129896987581467
NEO,0,0.0676097538755549,0,0,0,0.0102848882578923,0,0,0.146806757050073,0,0,0,0.0481790225970054,0,0.241017944807436,0,0,0,0,0
ETC,0,0,0.103347457023643,0,0.169678225925799,0.31665941957166,-0.281754546855131,0,0,0,0,0,0.325784870319131,0,0,0,0,0,0,0
XEM,0,0.221110305499903,-0.0179807191413709,0,0,0,0,0,0,0.0523514998917749,-0.0336440338890004,0,0,0.443102846896768,0,0,0,0,0,0
EOS,0,0,0.0812715412870096,0,0,0,0.0638321882163728,0,0,0.153425667717956,0,0,0,0,0.669370211518632,0,0,0,0,0
ADA,0,0,-0.0500236346166206,0,0,0,0,0.00987997642013624,0,0,0.0522972169119645,0.579886913849251,0,0,0.523650508333005,0,0,0,0,0.13092331596519
XLM,0,0,-0.147118281278142,0,0,0.159414625278657,-0.0661648670498075,0,0,0,0,0,0.304182842447228,0.397193579303202,0,0,0,0,0,-0.135497188091918
BV010082.Index,-0.0709076608708667,-0.0709199650130017,-0.0329478117552904,0,0.0109888211398011,0.00747048687216465,0,0.021872308903554,0,0.0441536287909153,0.0136625899122152,0,0.0112319729071248,-0.051180598759781,0.0476461479594622,0,0,0,0,-0.0241580514474762
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0.00125900995855787,0,0.000433818085046535,0,0.00222105547063131,0,0.00422299166864624,0.0100522942309896,5.42101086242752e-20,0,0,0,0.00204492676275716,0,0,0,0,-0.0307010252768586
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
