,BTC,ETH,BCH,XRP,BTG,DASH,LTC,XMR,NEO,MIOTA,ETC,XEM,EOS,ADA,ZEC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.175597380935844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,-4.33680868994202e-19,0,0,0.061349201812754,-0.021646660430045,-0.0687786200592024,0.0970636489673951,0.316849110795748,0.133580267515572,0,0.151108560506742,0,0,0,0,0
BCH,-0.333301115344107,0,0,0,0.291350935547118,2.77555756156289e-17,-0.652283122726167,0,0.344542726694549,-0.162882933932296,0,-0.419850812614239,0,0,0,0,0,0,0,0
XRP,0,0.080359859571892,0,0,-0.0309892807174459,-0.109458313213643,0.296998194735325,0.0937644075995837,0.0517733863913132,0.0488385724750766,1.0842021724855e-19,0,0.00991354905804972,-0.0489328887888784,0,0,0,0,0,0.0656232874687304
BTG,0,0,0.38471478940426,0,0,-0.229066777737261,0,0,-0.169889259277164,0,1.57387741982677,0,-0.419496484048658,0,0,0,0,0,0,0
DASH,-0.221958753149775,0,0.195697695091556,0,0.0139767634443534,0,0,0.439682262770023,-0.204521114859677,-1.73472347597681e-18,-0.651131700468349,0,0.189005320025024,-0.280516932894718,0.953011224570824,0,0,0,0,0.15046921493302
LTC,0,0,-0.162593221767038,0.708179323419627,0.0683689040341866,0,0,0,0,-0.101456353270002,0,0.127278141341489,0,0,0.070214616668947,0,0,0,0,0.0418098669217124
XMR,0,0,0,0,0.0447133249080584,0.188284268737097,0,0,0.147622494523206,0,0,0.351251589599992,0,0,0,0,0,0,0,0
NEO,0,0,0,0,-0.0156522950641169,0,0,0.131113369429207,0,0,0,0,0.141689604016334,0.159727289489933,0,0,0,0,0,0
MIOTA,-0.123448638975746,0,0,0,0.100508328663203,0.0485233862066289,0,0.507910375440436,0,0,0,0,0.195095796007954,0.278948956941107,6.93889390390723e-18,0,0,0,0,0.60685010176218
ETC,0,0.677971072899835,0.217117182309022,0,0.0363222229268205,-0.410777438733276,0.326066527201982,0.126945631259384,-0.063892524054276,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0153511521211571,0,0.0265977709415918,0.0363860849977199,0,0,0,0,0.516435018551351,0,0,0,0,0,0
EOS,0,0,0.00629094889305463,0,0,0,0,0,0.201911370081777,0,0,0,0,0.575982245768562,0,0,0,0,0,0
ADA,0,0,-0.0658815385119398,0,0,-0.0323211397927771,0,0.0748941449661641,0,0.100564150022486,0,0.931407583474274,0,0,0,0,0,0,0,0
ZEC,0,0.200917960283304,0,0,-0.0127943295473727,0.352823706729896,0.156165363351874,0,0.0134556824206643,0.212349394569971,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0.035719157460917,0,0,0,0.0195561514365959,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.00712438790440253,0,0.00137343577042065,0,-0.0120873291519029,0.00751692000213978,0.00466445124165689,0,0,0,0.0052151677746654,0,0,0,0,0,0,0
SPX.Index,0,0,0.000554035449886118,0,0.000527867342152552,0.00245611478144312,0,0.00145139690064104,0.0140912522042274,0,0,0,0.000302840219291383,0,0,0,0,0,0,-0.0251292064027456
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
