,BTC,ETH,BCH,XRP,DASH,BTG,LTC,MIOTA,ADA,XMR,ETC,NEO,XEM,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0406908045336108,0,-0.178504564517982,0.016735500013273,0.279546411062935,0,-0.0301609527014857,0,-0.23028968712197,0.00366119917815245,0.0690260190829236,0,0.261008930354456,0,0,0,0,0
ETH,0,0,0.00164411142858417,0,0.126241847567127,-0.0187067864553679,0,-0.073812830061343,-0.197692956989442,0.0411196863118032,0.234141093428603,-0.0123466493212511,0.572636492094917,0,0.166038912607444,0,0,0,0,0
BCH,-0.755595050077776,0,0,0,0,0.246098208987077,-0.249673742394525,-0.0141345909315093,0,0,0,0.551228361087794,0,0,0,0,0,0,0,0
XRP,0,0,0,0,-0.0237486631349627,0.0142208451773209,0,0.0266834049021134,0.111035899984624,0,0,0,0,0,0.181906001114558,0,0,0,0,0
DASH,-0.497788895202677,0,0,-5.55111512312578e-17,0,-0.0263614825682333,0,0,-0.107643887855467,0.788316574339972,-0.335082105750488,-0.237560065132519,0,-1.6940658945086e-21,0,0,0,0,0,0
BTG,0,0,0.403463605989584,0,0,0,0,0,-0.354144434668144,0,0.780243249650209,-0.275614957471865,0,0,0,0,0,0,0,0
LTC,0,0.22596777967999,-0.0211120797042401,0,0,0,0,0.0832034971738559,0,0,0.0815323324696024,0,0.406139620504945,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.414004259043492,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,-0.0363237520012169,0,0.236987213484316,0,0,0.0450655756778981,-0.00738566023917191,0,-0.35645305635779,1.11280439142971,0,0,0,0,0
XMR,0,0,0,0.40682010206426,0.280330007629621,0.010931538043417,0,0.0705250345533413,0.06619314152498,0,0,0.163496621285258,0.390804064649223,-0.0403102240794849,0,0,0,0,0,-0.200090399389232
ETC,0,0,0.108052332752216,0,-0.136287193835878,0.171993743693284,0,0,0.242188605694614,0,0,0,0,0.0872585323481568,0.280246835935343,0,0,0,0,0
NEO,0.272730827200329,0,0.110858561934815,0,0,-0.0378878201398414,0.489400200585683,-0.0391568574809456,0,0.211662729205253,0,0,0,0.192505241766602,0,0,0,0,0,-0.260159671493011
XEM,0.0049123471028642,0.196867778544702,-0.0150972291614914,0,0,0,0.378956525784383,0.0399420898067615,0.0999686496430132,0,0,0.0814951192590145,0,0,0.00239884700372132,0,0,0,0,0
EOS,-0.429238661608562,0,0,-0.803619099651975,0,0,-0.0435254313200031,0,-0.431636410534967,-0.0576459020419648,0,0.242687382888624,0,0,1.45095108601563,0,0,0,0,0.381147005706835
XLM,0.324409598935207,0,0,0.219006814658801,0,0,0.105056174823673,0.0210208356976205,0.319699359034897,0,0.072389269734819,0,0,0.48917182407596,0,0,0,0,0,0
BV010082.Index,0,-0.0862034318613381,-0.0281315418408285,0,0.0143868035724698,0,-0.0242142685259426,0.0110756527332483,-0.0425395872808075,0.0165426510601165,0.056835941457709,0.0472781218582051,-8.67361737988404e-19,0.00451638640849803,0.0211117586746876,0,0,0,0,-0.00479540183592222
CVIX.Index,0,0,-0.0222634392850785,0,0,-0.0062928066931432,0,0,-0.0199999151522252,0,0,-0.0374915383603929,0,0.0200411989973438,0.0291759298820716,0,0,0,0,0.0981205029230285
DXY.Curncy,0,0,-0.0158131597664353,0,0,0.0010712148849561,-0.0386092243525116,0,0,0.00541817179713112,0.00561123791719407,0,0,0.000808756833907253,0,0,0,0,0,-0.00341943444910887
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
