,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,DASH,XLM,XMR,EOS,NEO,BTG,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0478643299936509,0,-0.153929525013372,0.115165712771257,0.161370352470603,0,0.078906600192853,0,0.0901702926965858,0.270699183097633,0,0,0,0.000123023300841749,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0.188299285078132,0,0,0,0,0,0,0,0
ETH,-0.0994964490635461,0.0745358905608225,0,3.46944695195361e-18,-0.0345387097314456,0.31150477228252,0.116941001863449,0.0401603600228244,0.0761737012034976,-0.00663737514879605,0,0.0888842845374201,0.172232671792941,0,0.0648746038843933,0,0,0,0,0
BCH,0,0.0334020069701475,0,0,0,0,0,0,0.0986230120260398,0,0,0,0,1.07673751391654,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0.152580726194111,-0.270609917592368,0,0.783719908843846,0,0.126732737660123,0,0,6.93889390390723e-18,0,0,0,0,0
LTC,0.309976545634863,-0.0134335398541251,1.18510426516375,0,-0.0600495888541322,0,0.0649666481313822,0.100877734662125,0,0,0,-0.217030651149652,0,0,6.93889390390723e-18,0,0,0,0,0
MIOTA,0,0,0,0.116867882733156,-0.118208643674362,0.235408433776427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,-0.052424107485416,0.39313855387184,0.0556337494162687,0,-0.516780597320304,0.324130932595822,-0.884593531940991,-0.205905371415891,0.0837931102956678,1.41992469096791,0.0995277320177653,0,0,0,0,-0.849537981111888
DASH,0,0,0,0.200753648701796,0.0862971418287489,0.174120457344177,0.151329715942797,0,0,0,0.27941813751329,-0.140830163571816,0.0841854845854094,0,0.0460650380689101,0,0,0,0,0
XLM,0.599916932982586,0.0918847711260073,0,0,0.257605400541641,0,0.107779857978162,0.0500924512057873,-0.0579958149304462,0,0,-0.107796724880176,0.224193874065937,0,-0.0457593430097526,0,0,0,0,0.255470079748537
XMR,0.342451631817496,-0.0352422081855932,0,0.133077501788734,-0.0637769745193068,0,-0.132045056568223,0,0.346091059512504,0,0,0,0.18665359649239,0.227254831529087,0.00379827609917194,0,0,0,0,0
EOS,0,0,0.530464115852833,0,0,0,0.0799096384100264,0.0271427176812226,0,0,0,0,0,0.457040505243369,0.0940503419467572,0,0,0,0,0
NEO,-0.205734835375826,0.00115186055317547,0.120701407217024,0.175464233629645,0,0,0,0,0,0.183385425369394,0,0.250578733421064,0,0,5.42101086242752e-20,0,0,0,0,0
BTG,0,0.0230456522372334,0,0.463959306738601,0.00829121239230087,0,0,0,0,0,0.164417669863484,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.108841613149153,0.0520970139685484,0.332816751914357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,-0.0146460158819023,-0.0180594386818225,0,0.0149792792933266,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,-0.00524344672632992,0,-0.0083167564973791,-0.00205326682437515,0.000587977179775613,0,0.00153936513326846,0,-0.00223775869713657,0.00227164822614809,0,0.0032826166055994,0,0.00600199097070708,0,0,0,0,-0.0148369813494054
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
