,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0404750194192891,0,0.121464624504945,0,0,0.0867688838584212,0,0,0.0957783817737767,0,0,0.0257514962441588,0.017708879821545,0.0710430039271321,0,0,0,0,0
ETH,0,0,0,0,0.17689596556133,0,0.327275481213045,0.0364030752345607,0.154903684272138,0,0.0613011535232117,0,0,0,0.0354938183711725,0,0,0,0,0.0262042467987974
XRP,0,0,0,0,0,0,0.19220272769591,0,0,0,0.0116802761517802,0,0,0.372901264763295,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.258923761360373,0,0,0.256626068498276,0.230810394051938,0,-0.0165812086437115,0.319042082697551,-0.231380322846072,0,0,0,0,0.174069926401682
LTC,0,0,0,0,0,0,0.256165107006967,0,0.0494700271926904,0.613454366232959,0.0332184409222118,0,0,0,0.123166179347211,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0.0612841211207902,0,0,0.577445478443858,0,0,0,0,0,0,0,0
XEM,0,0.251213242802321,0.257995386211816,0,0.189872168446727,0,0,0,0.0243648723538118,0,-0.0531360946989338,0,0,0,0.132349283653271,0,0,0,0,0
XMR,0,0,0.0618466189870136,0,0,0.412631826264234,0.150858066053972,0,0,-4.33680868994202e-19,0,0.00460080432507179,0,0.1768258908824,0.114730150037173,0,0,0,0,0
MIOTA,0,0,0,0.3116802302281,0,0,0,-1.35525271560688e-20,0,0,-0.436105982578752,0.362141300789496,0.768814966909642,0,0,0,0,0,0,0.319697667291487
ETC,0,0,0,0,0.875061939232938,0,0,0,0.0827219348477782,0,-0.0625985079948404,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.465672737679892,0,1.38777878078145e-17,0.0656450915174826,0,-0.228970130917381,0,0,0.445102936266551,0,0,0,0,0,0,0
ZEC,0,0,0,0.0896560207642181,0,0.732055681202355,0,0.151472019322442,0,0,0.00649134572321115,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0.1880148474125,0.0148830957275968,0.205471167593592,0,0,0,0.332944670203107,0,0,0,0,0
XLM,0,0,0,0.208681948716576,0,0,0.125535955147507,0.0751130184193575,0.102116876822144,0.154737032092425,0,0.126534810123838,0,0,0.213475962848429,0,0,0,0,0
BAT,0.548391683867765,0,0.40982084021385,-0.64973407767117,0.264720719505908,0,0,-0.186173290010731,0,0,0.13924296019008,0.0867661149304094,0.160268703717468,0.427493587912889,0,0,0.409697447047587,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,-0.0152573877569486,0.0102479699394794,-0.0040658858149152,0,0,0,0,0,0,0,-0.1002501471027
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0.000800938680717814,0,-0.0100450222516898,-0.0290686732594372,0,0,0.00498896676055754,0,0,0,0.00516710358366,0.00710741204688973,0,0,0,0,0,-0.0144248115118899
SPX.Index,0,-0.0108314970423768,0.00471958525780598,0,0,0,0,-0.0102811765495451,0,0.0084463952207652,0,0,0.00499398708219655,0,0.00199087556271072,0,0,0,0,-0.0470572440047472
VIX.Index,0,0.308829511511794,0.109746861729792,0,0,-0.17568613378515,0,0,0.104586138391558,-0.121616539673376,-0.0493214370867955,0,-0.124047198486574,0,0,0,0,0,0,0
