,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LEO,TAGZ5,XMR,XLM,LINK,INNBCL,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.450707968120386,0.0438139330353051,0,0,0,0.0529606565401796,0,-0.043503273313964,0,0,0.280049690512526,0.00244695125387688,0.0173536437638509,0.00732318166724589,0,0,-0.0246419592799545
ETH,0,0,0,0.061796620813459,0.272805263848092,0,0.142935793680852,0,0.329926621965966,0,0.0325469598151761,0.0998288637700877,0,0,0.00526901993226066,0,0,0,0,0
XRP,0,0.360486899823685,0,8.67361737988404e-19,0.0709442965161661,0,0.0369978583792676,0.214000847795417,0.0424272644859762,0,0,0,0,0,-0.00488692434167605,0,0,0,0,0.00319761860182751
BCH,0,0,0,0,0.402058765503438,0,0.534857269693625,0.097835287992944,-1.73472347597681e-18,0,0.0332211480632304,0,0,0,0.00388538551578318,0,0,0,0,0
BSV,0,0.19790563203483,0,0.780854722981797,0,0,0,0,0,0,-0.0572334182058178,0,0,0.0473906582149373,-0.00745020150143824,0,0,0,0,-0.0256091834115766
LTC,0,0.138443112250038,0,0.0583505437879018,0.143919372397227,0,0.147217059615767,0,0.296325939620112,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.207724488053316,0,0.358951359593947,0,0,0,0,0.000196356915427026,0,0,0.034478368927496,0,0.227183257060615,-0.00426527330455378,0,0,0,0,0
BNB,0,0.0592231702347753,0,0.304601036865295,0.0725940870910433,0,0.254496196872707,0,0.297396116784915,0,-0.0281068350139686,0,0,0,-0.00369992874869351,0,-0.0270501850935864,0,0,0.0219261178021247
XTZ,0,0.463745946944318,0,0,0,0,0,0,0,0,0,0,0,0.562029196056368,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,-0.0855745911618295,0,-0.096706829129819,0,0,0.128288194681992,0.00062264686421468,0,0,0,0,0.0119907207862688
TAGZ5,0,0,0,0.463101742905806,0,0,0,0,0,0,0,0,0,0,0.00681467405839136,0,-0.0134084628930353,0,0,0
XMR,0,0,0,0,0.0728941434855389,0.11718702058145,0.208403189977376,0.459920161138163,0,0,0,0,0,0.0652167467693351,0.00165574452470938,0,-0.0081894883989895,0,0,-0.03906417063216
XLM,0,0,0,0.472784401098162,0,0,0,0,0.2007077537223,0,0.0812934244597297,0,0,0,-0.000688219189366299,0,0,0,0,0.0218976224206415
LINK,0,0,0,0,0.398077825592996,0,0,0,0.616050758272603,0,0,0,0,0,0.00103806534085817,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51303338936569,0,0,0,0,0,3.82026327921478
BV010082.Index,0,0,0,0,0,0,0,0,-0.0319660197994951,0,0,0,0,0,0,0,0,0,0,-0.075717870739601
CVIX.Index,0,0,0,0,-6.93889390390723e-18,0.687514541245139,0,-1.05611459151346,0.421049529646264,0,0.0775534852786295,0,0,0,-0.0178541550255623,0,0,0,0,0.597602232051875
DXY.Curncy,0,-0.127479768088911,0,0,0.092075381181223,0,-0.025607481880224,0,0.135005379815745,0.0419606488389901,0.02688348696195,-0.0203839561371315,0,-0.0812406749033366,0.00198790036328179,0.0409942971364886,0,0,0.0272067477213213,-0.0259169845027347
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000416902556952725,0,-0.00287737452416316,0,0,-0.295920520576017
VIX.Index,0,0,0,0,0,0,0,0,0,0,0.112341189275881,0,0,-0.140065224213141,0.050902582523924,-0.261668620666253,0.0403518616845357,0,-1.95122055522775,0
