,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0422571547063715,0,0.104897155988791,0.0875365242580045,0,0.102923737135244,0,0.155913634201381,0,0,0,0.114319859178071,0,0.0788492834860001,0,0,0,0,0
ETH,0,0,0,0.0400836790591268,0.161128607575063,0,0,0,0,0.316760377230038,0,0.214801166230743,0.0556378932151178,0,0.0342346637702543,0,0,0,0,0
XRP,0,0,0,0,0.189826077745406,0,0,0,0.187721866640092,0.206250696477,0,0,0,0,0,0,0,0,0,0
BCH,0.315932911325447,0,0,0,0.238160512654399,0,0,0.0536414137465551,0.112510575240652,0.2338129306925,0,0,0,-0.0287338060823638,0.000404493425253826,0,0,0,0,-0.0451785268401251
EOS,0,0,0,0.414617924779021,0,0.319061659958011,0.482718127699961,0,0,0,0.122132369427968,0,0,0,0,0,0,0,0,0
LTC,0,0.121401421946167,0,0.0703375375720511,0.180751528954631,0,0.116702104097298,0,0,0.00912953649335481,0.0963926747242673,-4.33680868994202e-19,0.201199998654029,0,0.0525418351270177,0,0,0,0,-0.0175037086507182
XLM,0,0,0,0,0.0825421505365413,0,0,0.544873625546904,0.191612253785943,0,0,0.101509708479351,0,0.0454314185979961,-0.0651328275190683,0,0,0,0,0.0277013389861293
ADA,0,0.429713867865736,0,0,0.204047422066375,0,0.0512851829609021,0,0,0.0555639803679132,0.0705756953568638,0,0,0.0424559180896442,0,0,0,0,0,0
MIOTA,0,0,0.0544721007095581,0,0.203661156568305,0,0.50107926976222,0,0,0,0.363841583884862,0.179686774417478,0,-2.77555756156289e-17,0,0,0,0,0,-0.00249459085200778
TRX,0,0.947303645518955,0,0,0,0,0.104302812999232,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.163990218834316,0,0,0.645122296274951,0,0,0,0,0,-0.0519244659682306,0,0,0,0,0
NEO,0,0.571908443812578,0,0.192281354726491,0,0,0,0,0.035552100132041,-1.73472347597681e-18,-3.46944695195361e-18,0,0.208456951176339,0,-0.0899874452376275,0,-0.0659509548598915,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0.128588202978443,0.411463828934642,0,0,0.121342507427457,0,0,0,0,-0.0179802339958617
BNB,0,-0.527545143608981,0,0,0,-0.00790269841405292,0.0230795458143098,1.77054109407642,0.0888593809322009,0,-0.841076600342383,0,0,0,0.115769892788393,-1.79405235847092,-1.53269320131957,0,0,-0.0977610600438079
ETC,1.13849433714643,0,0,0,0,0.241439064320513,0,0,0,2.77555756156289e-17,0,-0.249705078386682,0.161590585204768,0.241021148656777,0,0,0,0,0,-0.0694631174751795
BV010082.Index,0,0,0,-0.104909421938614,0.120850931839146,0,0,0.195963630801354,-0.0666857325686959,-0.00264170841282129,-0.141691348230765,0,0.0734848853686862,-0.123714857177824,0.0250214684128702,0,-0.438615347806346,0,0,-0.0394684521373557
CVIX.Index,0,0,0.0281482973017739,0.23005331864604,0.0829716163090117,0,0,0,0,0.0179636564761099,-0.280834457086176,-0.018133813269184,0,-0.187058625386247,0,-0.821646722802289,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106409681354431
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166011930715938,0,0.00591971006189316,0,0,0,0,-0.048339487259396
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
