,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,-0.013610894839793,0,0.0681893148339441,-0.00611980578648257,0,0,0,0,0,0
ETH,0,0,-0.0263141428683175,0,0,0.381369165227027,0,0,0,0,0.0902956865126007,-0.0258538617761482,0.0918280187920312,0,0,0,0,0
XRP,0,-0.394092469306852,0,0,0,-0.390560920189097,0,0,0.2885891732253,0,0,0.123037156163166,0.219230398300045,0,0,0,0,0
XEM,0,0,0.435379505894616,0,0,0,0,0.381375034239331,0,0.292887008017043,-0.0354898994941662,-0.165517814165892,0,0,0,0,0,0
LTC,1.05614653343765,-0.113426810307936,-0.161024899478474,-1.38777878078145e-17,0,0,0,0.653282917040777,0.0544899620593626,0.0580292571651985,-0.275564454123392,0,0.281048164247455,0,-0.945580309716954,0,0,0.188834568425739
ETC,0,0.689728877311393,0,0.0872014640578463,0.019625473272837,0,0,0,0,0,0,0,0.004053888744497,0,0,0,0,0.11184626176483
DASH,0.160530274623163,0.203826616287357,0.0146437031400062,-0.0475594287463811,0,0,0,0.622506097177052,0.0174998088031835,-0.0662107295694085,0.258758354453741,-0.0227312686565676,-0.119521575485115,0,0,0,0,0.0450329314612904
XMR,0,-0.0592336150243895,-0.0161756891999141,0.070485762407379,0.233150164654269,0,0.336725250405688,0,0.0492775103234519,0,0,-0.0197077709103104,0,0,0.59665744038147,0,0,-0.044043913085182
XLM,0,0,0.678101588978044,0,0,0,0,0,0,0.162745936315505,0,0,0,0,0,0,0,0
DOGE,0,0,0,0.2739624380007,0.223741267935613,0,0,0,0.0841602997759916,0,0.316045832077194,0.271297572350473,0,0,0,0,0,0
ZEC,0,0.144574943347288,0,2.16840434497101e-19,0,0,0,0,0,0.123345588128004,0,0,0.146710058851838,0,0,0,0,0
DGB,0,0,0.14011192128459,0,-0.138913506192746,0,0,0,0.185975563326134,0.680442633870219,0,0,0,0,0,0,0,-0.592994150676354
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0.0203450737038228,0,-0.00506687540539919,0,0,0.0187436536205406,-0.0970397957638446,-0.0305964983045583,0.0210749169809438,-0.0216343832192185,0.0255685465607605,-0.0045331080511952,0.0425051293289725,0,0,0,0,-0.0678865653936099
CVIX.Index,0,0,1.0842021724855e-19,0.0460758922789643,-0.0390760550618992,2.16840434497101e-19,0.0218278489141027,0.114134538882847,-0.0175905207724727,-0.00352558909934008,0,0.0323476948607625,0,0,0,0,0,0.140569630218517
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,-0.00270050882035308,0,0,0,0,0,0
SPX.Index,0,0,0,-0.0124405835514526,0,-0.00338930464532878,0,0,0.00468861051758299,0,0.00412776741277606,0.00264475594006202,0,0,0,0,0,-0.0253600043530608
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
