,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,DASH,XEM,XMR,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0662223431339733,0.0617223620780614,0,0,0,0.0414307696483057,0,0.0509098619687858,0.0683396079555822,0,0.0967450530014854,0.327307577158626,0,0,0,0,0,0,-0.00950747945203753
ETH,0,0,0,0,0.053098768724617,0,0,0,0,0,0,0.127818091367812,0.227084267992526,0.130509782367834,0.10086640183382,0,0,0,0,0.0155115928240622
XRP,0,0,0,0.0522583329706232,0,0.31247463734355,0.139629975366012,0,0,0,0,0,0,0.188665682162544,0.174105272805327,0,0,0,0,-0.00572143703040968
BCH,0,0,0,0,0.288777426312995,0,0,0,0,0,0,0.0873350074658805,0.124944604410404,0.138095559598575,0,0,0,0,0,0
LTC,0,0,0.155482275470499,-6.93889390390723e-18,0,0.325876081879947,0,0,0,0,0,0.0588505635695553,0.160454497734202,0.026381835693712,0,0,0,0,0,0.0173897800071777
ADA,0,0,0.402440388470157,0,0,0,0.340909516379478,0.0111148545027454,0,0,0,0.0797735114373192,0,-1.73472347597681e-18,0,0,0,0,0,0.0109769249220337
XLM,0,0,0,0,0,0.455527930185394,0,0,0,0,0,0,0,0.160272984754857,0.15552092742384,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0.117980741075627,0.537504939069187,0.255912460719277,3.46944695195361e-18,0,0,0,0,0.0500114876385005
EOS,0,0,0,0,0,0,0.235101615638895,0,0,0,0,0.0564623012726033,0.340189644645602,0.275612247981554,0.0261467865635419,0,0,0,0,0.0420525800026886
MIOTA,0,0,0,0,0.125334141239835,0,0,0.236114376867794,0,0,0,0,0.213538749880809,0,0.254927326337315,0,0,0,0,-0.0492509866354893
DASH,0,0,0.115303358805854,0.133084930074068,0.0834667263738662,0,0.0569601964594569,0,0,0,0,0,0.493984389251175,0.0420420315969495,0,0,0,0,0,0.039308278427711
XEM,0,0,0,0,0.0505409314156587,0.459197411860771,0.0387315456496373,0,0.45167283562364,0.0633345959100766,0,0,0,0,0,0,0,0,0,0.0906089217565954
XMR,0,0,0,0.122433045230176,0.00496583790139323,0,0,0.0647608120025109,0.0958604813927051,0,0.686897325361858,0,0,0,0,0,0,0,0,0
ETC,0,0.287779807580589,0,0.233732359047116,0,0,0,0,0.441135825475071,0,0,0,0,0,0.115904107381545,0,0,0,0,0
TRX,0,0,0.199854093207557,0,0,0,0.139900595449942,0.278683140731817,0,0,0.0112349024010882,0.147839938524119,0.215097950359132,0.0787937173102069,0,0,0,0,0,0
BV010082.Index,0,0,-0.0387158507227433,0,0,0,-0.00919076717931452,0,0,0,0,0.0372631949770228,0.044603563985848,0,0,0,0,0,0,-0.0702726697930419
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369799046302015
DXY.Curncy,0,0,0,0.0312571724718995,-0.0277282516258075,0.0173769335194695,0.0177550670199624,-0.00696574167040213,-0.0393047429452238,0,0.00670808468653429,-0.0098229799305342,0,2.64697796016969e-23,0.00655250955394686,0,0,0,0,0.0120280707070179
SPX.Index,0,0,0,-0.0163412515857744,0,0,0,0.0279023127836054,-0.0137903258407291,0,0,0.0479314165350358,0,0,-0.0482247236171958,0,0,0,0,-0.0615875568962905
VIX.Index,0,0,0,-0.0382572599601508,0.0018955325307002,0,0,0,0,0,0,0.158325974363891,0,-0.0428022328536301,0,-2.01424128096794,0,0,-4.15524765497587,0
