,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.132162129657976,0,0.403299653901186,0.0937834609094663,0,0.39641981648825,0.134140005879674,0,0,-0.31315796860356,0.0894363767950702,-0.023723958876538,0,0,0,0,0.0436136896291197
ETH,0,0,0,0,0.104829542488443,0.0753641844721271,0.226580415967021,0.0541023358983485,0,0,-0.277321704620609,0,0,0,0,0,0,0
XRP,0,0.212407061562545,0,0,-0.0196856489010416,-0.135651732313226,-0.144416524730188,0.123476809052697,0.526927499076623,-0.237869747131309,0.250523331352962,-0.35066479572257,0.154622401780455,-0.00983266550811206,0.125367341420092,0,0,0.428610650860034
LTC,0.222445630040581,0,0,0,0.00607690781434948,0.0776276210594214,0.113858583993721,0.0062605214574856,0,0,0.113688205392723,0,0.0333862626384235,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0.72056617542091,0,0,0,0,0,0,0,0
XMR,0,0.455403034862416,0,0.772278540340651,0.145738514899324,0,0,0,0,-0.313645712514112,0,-0.302754297482666,-0.0249241942034318,0.233908910573459,0.0899297646541904,0,0,0
ETC,0.295440336104636,0.293650158695965,0,0,0,0.0283641233456517,0,-0.110512417057804,0,0.0664950013998694,0.260243143945665,-0.0305525762163596,0,0,0,0,0,0
XEM,1.18402607417487,0,0,0,0,0.397422826831799,-0.848253818697474,0,0,0.312311745934679,0.511070147290668,0,0.405085466197265,0,-0.235167169580308,0,0,-0.0466526271779457
DOGE,0.162849945456286,-0.206130279855461,0.712848530287755,0,0,0,0.0205019334781056,-0.175451373901287,0,0.342643592983073,0,0.0279149277935336,-0.0637723989742195,0,0,0,0,0
ZEC,0,0.340517252964243,-0.304944924150961,0,0.375185826679662,0,0,0.13684846406939,0.705231769245397,0,0.336829669654751,-0.0240750473018544,0,0,0,0,0,0.131151886342387
XLM,0,0,0.394679938193693,0,0,-0.0458658405577664,0.292466736617937,0.038113080852576,-0.212893128388113,0,0,-0.197773221593837,-0.111700102872106,0.41209383645136,-0.302346132578224,0,0,0
NEO,0.388687317685165,0,-0.667551139348435,0,0.0929771890153062,-0.153503349209918,0,0.106531429079527,0,-0.209493147224351,0,0,0,0,0,0,0,0.892028004234542
DGB,0,0,0.657135575983586,0,0.161438062957345,0,0.283715690229741,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.0295519225946971,0.149593460602185,-0.03245443880179,0,0,0,0.115713730515871,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.0187081217667369,0.0091124235920534,0,0,0.0110652726113178,0.00213824425581408,-1.0842021724855e-19,0.00361006695721545,-0.0262337624677833,-0.0126161700957157,0.025983481518416,0.0271944646184755,0.00750362713891959,0.0382536662368091,0.036603911643502,0,0,-0.0431130773003004
SPX.Index,-0.031260106777813,0.0166095611666017,-0.00420640202209242,0,0,0.0158739865223591,0,0.00904999329438066,0,0,0.0213481833969353,0.039711001318522,0,0.0405919056130793,0,0,0,0
VIX.Index,0,0.201156498846277,0,0,-0.100212399925817,0,0,0,0,0,-0.062927184221806,0.516093953332964,0.0991236719228358,0,0,0,0,0
