,BTC,ETH,DASH,XRP,XMR,LTC,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0109904565692777,0,0,1.04898199149963,0.0894201967466776,0.0646021144773738,0.0975181763524104,0.185545034269994,0,0.0869842676022995,0,0,0,0,0,-0.0148107362911009
ETH,0,0,0.174411730231695,0,0.279361517616234,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.350089250076875,0,0,0.201462926829224,0,0.443671404445887,0,0.0300997928010731,0,0,0.637606390166667,0,0,0,0,0,0
XRP,0.309896050945523,0,0,0,-0.132497534077315,0,0,0,-0.0441907679341099,0,0,-0.203673422593309,0.195996855387631,1.25662223241518,0.249108233988644,0,0,-0.348493083173799
XMR,0,0.397868590449261,0.20295187629556,0,0,0,0,0.0734989138569109,0,0,0,0,-0.180504785808208,0,0,0,0,-0.352517297136802
LTC,0.208942925708271,0,0.0357747022381405,0,0,0,-0.0251437626268101,0,-0.045543757169704,0,0,0,-0.0228753019974699,0,0,0,0,0
ETC,0,0,0.196439805665085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0.544389650708811,0.493851008271885,-0.00206733912157785,0,0.0144600005744088,0,0,0,0.2075508914307,-1.06270724797155,0.820108788521323,-0.117263661031037,0,0.799353307244784,0,0,0,0
ZEC,0,0,0.333397115333981,0,0,0,0.251963203097191,0,0,0,0,0,0,0,-0.272703218238673,0,0,0
DOGE,0.262740240939806,0,0.042090906819898,0.174512022833479,0.0344217060464013,0,0,-0.171535371555329,0.106166006537413,0,0,-0.0801304466929524,0.0709501399498288,0,0,0,0,0
XLM,0,0,0.0426818698007867,0.0915984772988949,0,0,0,0.0553327808074149,-0.200472389753824,0,0,0,0.20122792140448,0,0,0,0,-0.162315320913497
NEO,0,0,0.196817866879657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,-0.176115752213603,0.0375152454537102,0.215670696531352,0.574588364333788,-0.236632767328091,0,0,0.0884538709544086,0.202484640600109,0,0.448701517916895,0,0,-1.83083243129802,0.186367456180839,0,0,0
BV010082.Index,-0.114661561346993,0,0.0351716533289644,0.380391233065845,0.0322762930931848,0,0.101362270899829,0,0.0101896619168287,0,0,0,-0.201516585920992,0,0,0,0,0.14352706316402
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.00457888161295054,0.0255607260496664,0.00726146420151646,0.0435331572697164,0,-0.00444749502450986,0,0,-0.00115136907728998,0,-0.000685143171196254,0.0480372198226017,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
