,BTC,ETH,BCH,XRP,LTC,MIOTA,ADA,DASH,XEM,EOS,BTG,XMR,XLM,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0401907630759075,0.103977387795369,0,0,0,-0.119264030433042,-0.155829192021916,0,0,0.24184757055865,0,0,0,0,0,0,0
ETH,0.0493867923032863,0,0.116443847784371,0,0.332278164182308,0,-3.46944695195361e-18,0.177025799514648,0,0.0478784438242481,0,0.196973722190821,-0.166065957137827,0.0389451800389925,0.157972893885088,0,0,0,0,0
BCH,0,0,0,0.185942407031338,0,0.0591931327729785,0,0,0.0458344993296216,0,0.453004438752477,0,0,0.107128937448909,0,0,0,0,0,0
XRP,0,0,0,0,0.102322557624663,0,0,0,0.10576165715475,0.0603649299547652,0,0,0,0,0,0,0,0,0,0
LTC,0,1.34031975502749,-0.197623556833413,-0.0159106063054873,0,-0.0485911972479109,-0.21383847168161,0,0.18839981453734,-0.121512160197834,0,0,0.320575952415604,0,0,0,0,0,0,-0.167505364141943
MIOTA,0,0,0.999023430646036,-0.409355381112898,0.13334635190239,0,-0.302408751488542,0,0.12921245390422,-0.0553556003056846,0,0.825516818588909,0.377883026374018,-0.159935272244928,0,0,0,0,0,0
ADA,0,0,0.16697425416795,0.131779033567356,0,0,0,0,0.0545402080604557,0,0,0,0.367743029002267,0,0,0,0,0,0,0
DASH,0,0.441955757873911,0,0,0.0357572859891764,0,0.161071323819373,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.276644088977255,0,0,0.114353308371182,0.164776760120767,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0.552242674346606,0.657629702039847,0.0403334068962919,0,0,0,0,-0.00991290725164241,0,0,0,0.13338495270933,-0.415531370954247,-0.235343171801061,0,0,0,0,0
BTG,0,0,0.492600567738716,0.0551365652382746,0.0407813940148588,0.0268769061149604,0.0852703256637977,0.0584972231891656,0.00529984613649012,0,0,-0.110776097493828,0,0.013600210116343,0,0,0,0,0,0.260458038885683
XMR,0.0364991290224655,0.30514746915769,0,0,0,0.0537447945895296,0,0,0,0,0,0,0.3134718712056,0.0696015491097813,0,0,0,0,0,0
XLM,0.0748352728611694,-1.26748467843949,-0.0461803803750153,0,0.572938154109598,0.00855613552975648,0.277171637620948,0,-0.0199184404489553,0.232426305193767,0,1.01144872875546,0,0.12996540785284,-0.0339960805248434,0,0,0,0,0.299381652360155
NEO,0,0.324726344771909,0,0.162390652395209,-3.46944695195361e-18,0,0.05948887959589,0,0,0,0,0,0,0,0.160510302782051,0,0,0,0,0
ETC,0.178242630664145,0.560878946233362,0.250293899238023,-0.157547985416551,0.249496852510899,0,0.29368461903023,-0.499882405166291,0.113895334529728,-0.119822296899461,0,0.129482707911569,0,-0.0111694279706458,0,0,0,0,0,0.609454405900324
BV010082.Index,0,0,0,0,0,0,0,0,0,0.00449441917000949,0,0,0.0194251695459123,-0.013763617735323,0,0,0,0,0,0
CVIX.Index,0.0292488992784495,0,-0.011797440423095,0,-0.027422744632887,-0.00361414550789885,0,0,0.0181450634854189,-0.00484385595848057,0,0.027986031018609,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.00908785595760235,-0.00214624811903024,0,0,-0.00456218501241483,0.00755188933423431,0.00197392619364133,0,-0.0060669953382593,0.00233379153512543,0,0,-0.00107043682783801,0,0,0,0,-0.0153972185586464
SPX.Index,-0.00880910712840001,0,0,0,0,0,0,0.0125001640650691,0,0.0038902358319154,0,0,-0.00845270134087613,-0.00332965739155841,0,0,0,0,0,-0.0106419260535536
VIX.Index,0,0,0,0,-0.144344665786162,-0.0746067365425144,-0.142941637948599,0,-0.0489590757516861,0.0515974835491552,0.208480200741565,0,0.187567254625204,0.0475282185581626,0,0,0,0,0,0
