,BTC,ETH,BCH,LTC,XRP,MIOTA,DASH,XEM,XMR,BTG,ADA,ETC,EOS,XLM,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.241038136979137,0.190641254011945,-0.0344755967237243,0.156186392516907,-0.0517986358716132,0.112145293495005,0.320280112194071,-0.0690650962960825,0.0926002654682979,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.217435950842074,-0.00202736007301619,0,0.0541992374559417,0,0.479800959264665,0,0,0.00725190673588438,0,0,0,0,0,0,0
LTC,0,0.287916328624953,0,0,0.319746597445751,0,0,0.17294153676693,0,0,0,0,0,0,0.0530627743237336,0,0,0,0,0
XRP,0,0,0,0.0779020819130555,0,0,0,0.0974337658369089,0,0,0.178712474436051,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.169379693168469,0,0,0.267240606970423,0,0,0.305680747645224,0,0,0,0,0,0
DASH,0,0,0,0.229085705994018,0,0,0,0,0,0,0,0,0,0,0.0374839861396663,0,0,0,0,0
XEM,0,0,0,0.153520954558453,0,0.0909325840569824,0,0,0,0,0.00538834911244197,0.182172363109383,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0.12723354136512,0,0.0280121076671431,0,0,0,0,0,0,0.419488830613172,0,0,0,0,0,0
BTG,0,0.286485191439629,0.714282676903077,0,0,0.0676597853966715,-0.129001761583404,0.0155626324099739,-0.209995615196206,0,-0.0334869146378839,0,0,0,0,0,0,0,0,0.553128390586762
ADA,0,0,0,0,0,0.0109727314223238,0,-0.0373672503656888,0,0,0,0.9287602407613,0,0.157351908765952,0,0,0,0,0,0
ETC,0,0.469200128869668,-0.154986470717146,0,-0.0673602148808248,-0.109447344558675,-0.178812386969545,0.118707510034587,0.263969979962536,0.224212535105133,0.318954402572815,0,-0.136211935496872,0.0932313039502632,0.149761517482402,0,0,0,0,0
EOS,0,0,0,0.226630691621739,0,0,0,0,0,0,0,0,0,0.270460056228568,0,0,0,0,0,0
XLM,0,0,0.0703717894878161,0,-0.127579554521502,0.0173091099709015,-0.0266158115327533,0,0.803670857643958,0,0.264646108391305,0,0.501186821942583,0,0,0,0,0,0,0
NEO,0,0,0,0.189306318598353,0,0.105648127137763,0.149787903190217,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.014646291207334,0,0,0,0,0,-2.16840434497101e-19,-0.0162171241699843,0,0,0.0336874023352313,0,0,0,0,0,0
CVIX.Index,0.0311210304820234,0,0,-0.00940899905211316,-0.0162005088482935,0,0,0.022979333997611,0,-0.0271328300093655,-0.00814963538108387,0,0.00500354372592934,0,0,0,0,0,0,0.0941127136060517
DXY.Curncy,0,0,-0.00601522955089074,0.00489831832317086,0,0.00581169707606393,0,0,0,0,-0.00194407122822054,0,0,0,-0.013376884288791,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
