,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.2973359431214,0,0,0.0442782184750886,0,0.126378083670174,0.105339677615282,0,0.138436731174882,0.0177065585431142,0,0,0,0,0,0,0
ETH,0,0,0,0.0541607004903911,0,0.0424760471364354,0,0,0,0,0,0,0,0,0.624059060210647,0,0,0,0,0.0156357262506356
XRP,0,0,0,0,0,0,0,0.161351464280135,0,0.0809926392051803,0,0,0,0.352409652608681,0.0855791111091679,0,0,0,0,0
BCH,0,0,0,0,0,0.312966806298605,0,0,0.297477756971328,0.0559238045717239,0.139677775737509,0,0,0,0,0,0,0,0,-0.023539020215925
ADA,0,0,0.117930506827525,0,0,0.560932844504751,0.0740462413130973,0.244959220458847,0.073437671723909,0,0,0,0.00992400770032864,0,0,0,0,0,0,-0.0167916905884793
LTC,0,0,0.0626291156593963,0.388765147979185,0.154509294835185,0,0,0,0.0286307461411351,0.0987361217060186,0,0,0,0,0,0,0,0,0,0.0501652417145961
NEO,0.697938381581486,0,-0.0501479830474116,0,0,-0.0783064345616736,0,0.0565290749534884,0,0,0,0,0.0268733302146816,-0.126829630763305,0.600217271742882,0,0,0,0,0.143243525489197
XLM,0,0,0.0409869498791701,0,0.876475507932799,-0.20789746445182,0,0,0.168590299819026,-0.0873281480514223,-0.20536664551923,0,0,0.231636798742117,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.386464452065659,0,0.0387023398372941,0,0,0.202986506349112,0,0.371940592356353,0,0,0,0,0
XEM,0,0,0,0,0.210454291001124,0,0,0,0.305110717933869,0,0.106323810809232,0,0.167994896630274,0,0,0,0,0,0,0.214884477255377
MIOTA,0,0,0,0.413884422495096,0,0,0.0737010090085926,0,0,0.0818865580461664,0,0,0,0.156018512875427,0,0,0,0,0,0
DASH,0,0,0,0.331994831604013,0.0491980249533533,0,0,0,0.0590423956548221,0,0,0,0,0.108390042000595,0.229300130615849,0,0,0,0,0.0724844025879665
XMR,0,0,0,0.144299980007233,0.0469721330485765,0,0.244806096400475,0,0.0178170056015406,0.0253977837725383,0,0.219624708898357,0,0,0.00740804928548333,0,0,0,0,0.0715274386182445
TRX,0,0,0.429276689333037,0,0,0.180223437869434,0.191677032825711,0.102449380843656,0,0.0772590989234396,0.19830727707173,0,0,0,0,0,0,0,0,0.0354861658850324
ETC,0,0.306006706769088,0.311577883778499,0.0993153751609619,-0.183654237564123,0.0424258786956145,0.128133786127511,-2.16840434497101e-19,0.0750941740842507,0.00301798109978146,-3.46944695195361e-18,0,0.351567567640705,0.0338070749325399,0,0,0,0,0,-0.0279583884086218
BV010082.Index,0,0,0.00688653023564228,0,-0.052347977509581,0,-0.0423499853735736,-0.0431689906070071,-0.00625944780808552,0,0,0.144637755263355,-0.0366275722923674,0.0358141069630355,0,0,0,0,0,-0.050428159166692
CVIX.Index,0,0,0,0,0,0,0,0,0,0.0122596186119264,0,0,0,0,0,0,0,0,0,0.0310560666142764
DXY.Curncy,0,0,0,0,0,0.00899728734460702,0,-0.00111627731904252,0,-0.0111172909813029,0,0,0,0,0,0,0,0,0,0.00880800420267164
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544653347632509
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
