,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,TRX,NEO,MIOTA,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.239252556237069,0,0,0.0224187750554108,0.0469067993583335,0,3.46944695195361e-18,0.101026138897591,0,0.158612107299868,0,0,0,0,0,0,0,0,0
ETH,0.516464738934349,0,0.12873517188835,0,0,0.0395733722760506,0,0,0,0,0.0806808080146889,0,0,0,0.207242668762253,0,0,0,0,0
XRP,0,0.251835242346257,0,0,0.0601613427432423,0.0973354347181613,0.0760692996982109,0.233468612343869,0,0,0.101983149454789,0.139497100654005,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.854462993928163,0.0942190565487943,0,0,0,0,0,0,0.150312100583274
EOS,0,0.561689587441145,0.250770265829509,0,0,0,0,6.93889390390723e-18,0,0.614704802388453,-0.934947280496185,0,0,0,0.141031325696441,0,0,0,0,-0.118456410111492
ADA,0,0,0.227457081815451,0,0.034211752108801,0,0,0.245969772979127,0,0,0.284737946744612,0,0,0,0,0,0,0,0,0
LTC,0,0.0587109930949153,0.149871797825742,4.33680868994202e-19,0.0242740724318828,0.0239553548934244,0,0,0.143628819812743,0.0320483163209564,0.0922818089186922,0,0,0.0327079232971919,0.274120720786953,0,0,0,0,0
XLM,0,0,0,0.212751807038576,-0.0444812019236988,0.0631162783943754,0,0,0,0.317100824902335,0,0,0,0.433096296671149,0,0,0,0,0,-0.308043208666956
TRX,0,0,0,0.0525879312346553,0,0,0,0,0,0.361833367277158,0,0.0869720993580205,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.124806909122416,0,0,0.236443971513864,0.154833723064718,0,0.299175761177693,0,0,0.174026896496543,0,0,0,0,0,0
MIOTA,0,0.442218902066672,0.200898708346134,0,-0.0576140157740597,0.120322294760123,0,0,0,0,0,0,0.535339431361025,0,0.0302103967459874,0,0,0,0,0.0956823139723294
XMR,0,0,0.26739334196628,0,0,0,0,0,0,0,0,0,0.662643926620781,0,0,0,0,0,0,0
DASH,0,0,0,0.156760470185415,0,0,0,0.00757413673502364,0.0198778100361142,0.0619554127908087,0.101217749519234,0.623007680609121,0,0,0.0443399182654013,0,0,0,0,0
XEM,0,0,0.121018844526065,0,0,0,0,0.337480253629523,0.106720709409608,0,0.233248958747596,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.136942857784939
ETC,0,0,0.110115942862554,0,0.0345644934370739,0,0,0,0.25159992905353,0,0.186693742110145,0,0.205052949816682,0,0,0,0,0,0,-0.159600330298436
BV010082.Index,0,0,0.0197837742022777,0,0.0185156483483523,-0.0159125759392405,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0710329046950325
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0.00818118376671276,0,0.00763257387068009,0,0,0,0.0130100627905417,-0.0133452458045257,1.0842021724855e-19,0,-0.0022593993249787,0,0,0,0.0770336964288741,0,0,-0.00812639340831143
SPX.Index,-0.0561073469965249,0,0,0,0,-0.0023242251043028,0,0.0170245344920637,-0.0021951897030768,0,0,0,0,0,0.0172293639947643,0,0,0,0,-0.0991707200416201
VIX.Index,0.335692550618105,0.28716179243723,0.19635038306093,0.394591245671501,-0.0376182047392659,0,0,-0.392135019444034,0.124979574927188,0.0603425469852569,0,-0.182653078071164,0,0,-0.925946017019739,0,0,0,0,0
