,BTC,ETH,ETC,XRP,LTC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0145197580502102,0.0091611379303141,0,0.484002359341327,0.0458176605948466,0.0382388781579102,0,0.13666325871182,0,0.0259761879915688,0,0,0,0,0
ETH,0,0,-0.117902240812775,0,0,0.381582687162588,-6.93889390390723e-18,0.185838992992429,0.591043930519707,-0.078618853873869,0.581972333365433,0,0,0,0,0.740049590414073
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.0189345411774695,0,0,0,0,0,0,0.0616557297540132,0.0914285104355761,0,0,0,0,0
LTC,0.40552369059321,0.00793154805416422,-0.00280150940500469,0,0,0,-1.73472347597681e-18,0,0,0.05605175430168,0.0435393355151253,0,0,0,0,0
DASH,0,0.147321911798813,-0.0131733509694312,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0.284738086828579,0.0337436405504174,0,0,0,0,0.833429831622545,0,0.0609115641009953,0,0,0,0,0,-0.477260500175068
DOGE,0,0,0.00694279290457549,0,0,-0.0437802179883019,0.135572092640428,0,0.145085794266814,0.108831419702501,0.0841964753712401,0,0,0,0,-0.0711251382443272
XMR,0.528318478325941,0.216406173758312,0.0213060393435771,0,0,0,1.73472347597681e-18,0.33454658676512,0,0.106343136375915,0,0,-1.00190423940523,0,0,0
XLM,0,0,-0.0607136126066436,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.260206486356923,0.618184577107149,0.0766661282224408,0,0.406707432648755,0,0.0600419122617266,0,0,0,0,0,0,0,0,-0.607593903071546
BV010082.Index,0,-0.0369773453842737,0.00990954198697706,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.000828904390717907,0,0,0,0.00543438942682869,0,-0.0145004981804384,0,-0.00825477560230184,0,0.0355380995205291,0,0,-0.00246279899894238
SPX.Index,0,0,-0.00110623752802673,0,0,0,0,0,0,0.00576773005485596,0,0,0,0,0,-0.0123786911003724
VIX.Index,0,0,0.047958272221833,0,0,0,-0.0957404303917619,0,0,0,-0.128226906175338,0,0,0,0,0
