,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,XMR,DASH,BSV,ATOM,MIOTA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0974845583909983,0.0183704543113316,0.0276208600569921,0,0,0,0,0,0.249952077880134,0,0,0.0227374539138832,0,0.214292395263213,0,0,0,0
ETH,0,0,0,3.46944695195361e-18,0.393535289091158,0.0691759967487361,0,0,0.0521238098607453,0,0.0572067286801498,0,0,-0.0162796091016546,0,0,0,0,0,0
XRP,0,0.0246618914060444,0,0,0.40102244333167,0,0,0,0.0469375238090815,0,0,0,0,0,0.0653818763397113,0,0,0,0,0
BCH,0.676745550699163,-0.359354708559254,0,0,0,0.675469539445779,-0.0880925336720133,0.188015492617185,0.20954871189868,0,0,0,0,0,-0.349648881614914,0,-0.349063059888271,0,0,-0.0726500223372094
EOS,0.0522495072601708,0.128318457156708,0,0.131160243758922,0,0.156449628988078,1.73472347597681e-18,0.221041987624648,0.0540119378012302,0.256077875803091,0,0,0,0.0706598807394168,0.0388416311699438,0,0,0,0,0.0277628429562825
LTC,0,0,0,0.0619936462815791,0.157377379527346,0,0.128483008264369,0,0,0,0.0178615207313642,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0,-1.58907980527703,0.581529364451776,0,0,0,0,0,0.0249999734858065,1.29305635920928,0.205194546022127,0,1.09006059586278,-0.332572634707764,0,0,0.432411900191372
XLM,0,0,0,0.0503096933923247,0.270889052235818,-0.020338911487639,-0.00563027715549259,0,0.132402307072615,0,0.198475035469941,0.120977595797807,0,0,0.0713673187316353,-0.515289657725757,-0.0279668216555167,0,0,0.0813229474850595
ADA,0,0.324989968628964,0.416306569483187,0.350733634061733,-8.67361737988404e-19,0,0,0,0,0.0493779912076958,0,0,0,-0.0625359880607803,-0.180420356298032,0,0,0,0,0.0496781889888206
TRX,-0.133829807871962,0.153316340335051,0.13714261078268,0,0.316514387652527,0,0,0,0.22212038614331,0,-0.0108901357923934,0,0,0.0167506916898954,0,0,0.200154550952658,0,0,0.0363561635320149
XMR,0.523228417279809,0.0883548589440184,0,0,0,0,-0.0379655047297661,0,-0.0680845568173221,0,0,0.722912457500089,0,-0.0166772181643428,0,-0.3329701270012,0.0705704044467083,0,0,-0.0525675267172709
DASH,0,0.263240593505036,0,0.128816548175267,0,0,0,0,0.0197981930021312,0,0.0987533498075387,0,4.33680868994202e-19,0.0572687594482807,0.0298467883461706,0,0,0,0,-0.0118241256104485
BSV,0,0,0,0.0948181004983668,0.315442758331516,0,0.0703120641714984,0,0,0,0,0,0,0,0.0382380409025174,0,0,0,0,-0.0215062443298136
ATOM,0,-0.712918332131317,0,0,2.52407755242905,-0.300497593509835,0.7355008494111,0,-1.63168011096126,0,0,1.92496482810476,0,0,-0.826930147186849,0,-0.099184926596402,0,0,-0.261654083532886
MIOTA,0.350000376204274,0,0,-0.296328431282096,0,0,0.0609140810865614,0.592505626147954,0,0,0,0,0,0.00100809774120287,0,0,-0.138841114433962,0,0,-0.151720285037775
BV010082.Index,0,0,0.119610486149784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,-0.511179549289646,0,-0.125101295782103,0,0,-8.67361737988404e-19,0,-0.203477618733519,0.648554337960816,0.190197199899003,0,0,-0.0486850574656744,-0.15805233099714,0,0,0,0,0.0497766496335957
DXY.Curncy,0,0,0,-0.0161907303099045,0,0.0250434787929254,0.014078512653327,0,0.011392766062413,0,-0.0378417177279047,0,-0.0276061319036665,-0.00235572123211146,-0.00579001763035212,0,0.0137251868238251,0,0,0.00444807876088938
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0324247875677354
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
