,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.120741786855343,0,0,0,0,0.207212765543197,0,0,0,0,0,0.0133290719469729,0.0452445196051868,0,0,0,0,0
ETH,0,0,0.056037020143038,0,0.333035798425637,0.0930125348536298,0.0463778615196253,0.0228379788185877,0,0,0,8.67361737988404e-19,0,0.120113660685438,0,0,0,0,0,0
XRP,0,0,0,0,0.22087446937897,0,0,0,0,0.154267165404731,0,0,0,0.106452133333639,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.202578666856162,0,0,0,0,0.0807804792104255,0,0,0,0,0,0,0
LTC,0.309924759285454,0,0.239999559358802,0,0,0,0,0.205575639877941,0,0,0.123113230063981,-0.0360715296429423,0,0.0187941985022302,0,0,0,0,0,0
DASH,-0.236083776007159,0.336585556205707,0.103112391952199,0,0,0,0,0.0946435664368283,0,0,-0.114238900906865,0.0766688845116302,0.0891330494246307,0,0,0,0,0,0,0
XEM,0,0,0,0.00181066925071242,0,0,0,0.267462369979418,0.136671563800276,0,0.141926727242809,-0.0182865136282247,0,0,0,0,0,0,0,0
NEO,0,0,0,0.108271481851339,0.983291236664502,0,0.16318967509838,0,0,0,0,0.258232574292071,0.328177093109789,0.224506312726666,-0.189053738174573,0,0,0,0,0
MIOTA,0,0.41366659796908,-0.213459458794731,0,0,0.0446989973025765,0.358264896126099,0.126361268695836,0,0,0,0,-0.343873884974461,0.121911364354456,0.486139739001173,0,0,0,0,0
XMR,0,0.3179182358547,0.0383349486870359,0.0809396398922876,0.192360811973383,0,0,0,0.00565342281496415,0,0.133568386046132,0.0369284800276445,0.139235023192188,0.0334428898270057,-0.0603966396487296,0,0,0,0,0
ETC,0,0,0,0.0902840129658613,0.300510746379015,0,0,0,0,0,0,-0.0777555806620822,0.0667196424615033,0.0798395746073681,0.0777404152384016,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0,0.243799186041269,0,0,0,0,0,0,0.373924662714392,0,0,0,0,0
XLM,0,0.628457541158185,0,0,0,0,0.0488558813047011,0.180589194935602,0,0,0.350644527935424,0,0.0988919509307717,0,-8.67361737988404e-19,0,0,0,0,0
EOS,0,0,0.109191174752345,0,0.269162765165744,0,0,0.0102149495518416,0.0824429946747244,0,0.252520402351809,0,0.199648338761268,0.0303860211547398,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122404853523751,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.0071099908291468,0,-0.0146953371220394,0,0,0,0,0.00197721808510832,-0.0166372855282662,0,0,-0.0205336555644388,0,0,0.0163280737229259,0,-0.0132125325862153,0,0,0
SPX.Index,0.00655104254706084,0,-0.0114110589585088,0,0,0.00152277156869987,-0.0127761996814769,0,0.00863742009748443,0,0,-0.0144446797794345,-0.0114985704877064,0.00747031612741236,0.00867382072781691,0,0,0,0,-0.0322841533275989
VIX.Index,0,0,0.0665603306539866,0,0,0,0,0,0,0,0,0.0567868708583873,0,0.0302693420772166,-0.0912905978606521,0,0,0,0,0
