,BTC,ETH,XRP,BCH,ADA,XLM,LTC,NEO,XEM,EOS,MIOTA,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0668970427485435,0.444276427390525,0.106426814565889,0,0,0.0228944927837311,0.251908231207624,-0.127237184619585,-0.227414082541886,0,0,0.0880400347121769,0.113824716013523,0,0,0,0,-0.231181546283359
ETH,0,0,-0.0444018390427661,0,0,0,0.0317923822499361,0.464807130354579,0.228046437728194,0.00820200966493514,0,0,0,0.0517628186601162,0.0506476553428569,0,0,0,0,-0.267368313736623
XRP,-0.0664571037233744,0,0,0,-0.181798599267685,0.526959858999697,0,-0.155722020840087,0.499269691910668,-0.0644997380149136,0,0,0,0.266716100475284,0.0943607734765251,0,0,0,0,0
BCH,0,0,0.0509891762766919,0,0,0,0.121312890662063,0.174656650346869,0.0837334862203024,0.064597149300716,0.16062970648063,0.102067813835198,0.22340110188636,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0.413786193830255,0,-3.46944695195361e-18,0,0.117911935395978,0,0,0.0983958238573104,0.129078813292835,-0.00090323020822629,0,0,0,0,-0.364639468361429
XLM,0,0,0.220512342371192,0,0.685925287195193,0,0,0,0,0,0,0,0,-0.142673291102445,0,0,0,0,0,0
LTC,0.378520976950141,0,0.066979206291987,0.0739358364316789,0,0.0245729029143232,0,0,0,0,0.0305923052571649,0,0,-0.014833696562613,0.209624420296575,0,0,0,0,0
NEO,0,0.457172204141622,-0.112491195120143,0,0.17740281023225,0.253568218809389,0,0,0,0,0,0,0.0555675402549425,-0.0122002142915893,0.186077168479955,0,0,0,0,0
XEM,0.337198383646907,0.1078668322279,0.200505234188477,0,0.0785745827812017,0.124856901137661,0,0,0,0,0.287899638327391,0,0,-0.0809918152333297,0.0557289415487503,0,0,0,0,0
EOS,0,0,0,0,0.504316272546728,0,0,0,0,0,0,0,0,0,0.406363905811171,0,0,0,0,0
MIOTA,0,0,0,0.393683152008811,0.144780489743153,0,0,0,0.224711561894507,0,0,0,0,0.031585369372018,0,0,0,0,0,0
DASH,0,0.0270719604041484,0.194188903851577,0.0149125997085486,0,0,0.359954331116825,0.0163332874472265,0,0.0387213090410633,0,0,0.181450256860278,0.0740369342492065,0,0,0,0,0,0
XMR,0,0,0,0.104803845102383,0.13438494512253,0,0,0.17592004287371,0.19604267442468,-1.73472347597681e-18,0,0.220551543198959,0,0.0138413839657822,0.0872906680660403,0,0,0,0,0
TRX,0.713769608595993,0,0.540145877536309,0.131916854692976,0,0,0,-0.248254155848723,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0.10549355862543,0,0.185842821832134,0.173913683871078,0,0,0,0,0,0.0512803292684518,0,0,0.535960130795354,0.0543188449093094,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0.00786208024387812,0,0,0,0.0023569843144397,0,0,0,0,0,0
CVIX.Index,0,0,0.0595293517267615,-0.12434887873106,0.0545484109008866,-0.0580900926456324,-0.116582743611206,0,0,0.0685848210704186,0,0,-0.0105953516727525,-0.081691353011736,0.0899614790505361,0,0,0,0,0
DXY.Curncy,0,0.00485829240030874,0,0.00732789159638255,-0.0126125994927356,-0.0113201430370944,0,-5.42101086242752e-20,0,0.00751468297419443,0,0,0.0239253472041782,0.00308665744139409,-0.0242256126701709,0,-0.0243170970818335,0,0,0
SPX.Index,0,0,0,0,0.014406966403077,-0.0129092298095039,0.011532720471601,0,0,0,0,0,0,0,0.00543768290192921,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
