,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0308424410135425,0,0.13946782544221,0.06113807037831,0,0,0.0260326569499692,0.0236130909867213,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.227009255624612,-0.051551904875111,0,0,0,0,0,0
LTC,0.425744226894524,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0560177325169103,0.00783261490062471,-0.0536780314274859,0,0,0,0,-0.0650868130125217
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,4.33680868994202e-19,0,-0.113029872295546,0,0,0.229682446937987,0,0.052344503478424,-0.0845994968395595,-0.0875008464340419,0,0,0,0,0.293716178084487
DASH,0,0,0,0,0,0,0,0.0595901655979988,0,0,-0.0387147030393492,0,0,0,0,0,0
XEM,0,0,0.0481289267769576,0,0,0,0,0,0,0,0.0439899558239984,-0.127345910933229,0,-0.893460560691045,0,0,0
DOGE,0,0.0180153792797388,0.0980646356011306,0.322630094587511,0.00936142494260678,0,0,0.0568767448502911,0,0.0380673983149719,0.0133101931733001,0.0424242112008071,-0.361649364958021,0.374126068353787,0,0,-0.128591694391935
XLM,0,0.21104673756931,0.767877898023655,-1.18827104101148,0.401693792886892,0.269528277565274,0.182742621167404,0.279853424144176,0,0,0.0791022923295213,0.671401376377311,-1.65028888217486,1.29259347609517,0,0,-0.117761198046383
NEO,0,0,0,0,-0.447125089688675,-0.69792615907034,-0.53712050799361,0.270005524779196,0,0,0,-0.579904971791701,0,0,0,0,0
DGB,0.805166899541307,-0.729422273899474,-0.177603050010872,0.240758891640285,-0.431594550865201,-0.209723493469083,-0.261705934269446,0,0,0.516092760429984,-0.0835797128737075,0,2.48844329358272,-0.549953837440784,0,0,0.258842958458313
BV010082.Index,0,0,-0.0468855319654145,0,0.00421327676410476,0.0112097721857297,0,0,0,0,0.0082102363245232,0.0269697396360577,0,0.156951424746256,0,0,0
CVIX.Index,0,0,0,0,0,-0.0221947420070599,0,-0.151893783295889,0,0.0613871699389004,0.00994321971966683,-0.0174723804148978,0,0,0,0,0.217241205416501
DXY.Curncy,0,0,-0.0192310507469792,0,0,0,0,0,0,0,-0.0012237559241229,0.023542426566502,0,0.057790763543781,0,0,0
SPX.Index,0,-0.0579514054369761,0,0,0,-0.00307323268371781,0,0.0188253663347302,0,0,0,0,0,0,0,0,-0.0520450172962596
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
