,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,DOGE,ZEC,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.0938059659440544,0.081307994447937,0.176563027179823,0,0,0,0,0.0306054567991588,0,0.0914527024981553,0,0,0,0,0
ETH,0,0,0,0,0.32600484032203,-0.0618224522953725,0.229972005288596,0,0.0138860491679555,0,0.290862225562845,0.0697827965009014,0.154098346937219,-0.151420826215978,0,0,0,0,0
XRP,0,-0.0509759023180254,0,0,-0.413092182455429,0,0,-0.173202085132524,0,0.993802863459461,-0.242860176059726,0.250976515903012,-0.0233612518628394,0.174017103458888,0,0,0,0,0.103311361982174
XEM,0,0,-1.73472347597681e-18,0,-0.0864294601339306,0.385736692582014,0.0274983564970707,0,-0.0461630870407408,1.73472347597681e-18,0.250689110634623,0.0578217874800752,0,0,0,0,0,0,0.822818164218499
ETC,0,0.317429624021638,-0.314728510147696,0,0,0,0,0,0,0,0,0,0.0879076239288931,0.353565219180953,0,0,0,0,0.187995970367952
LTC,0,-0.16057888454099,0,0.0843725554722014,0,0,0,0.443505185940917,-0.0529968807889933,0,0,0,0.0213240238507032,0.220892761146731,0,0,0,0,0
DASH,0.943671620392814,0.256199243156338,0,0,-0.0468179146384963,-0.458360058197464,0,0.382383424335095,-0.0373727221058091,0,-0.00284952222038742,0.104926272590904,-0.00616594934589908,0.203201463100045,0,0,0,0,0.143748007522552
XMR,0,0.0856747821045247,0,0.0629812885447924,0,0.413571838532482,0.564775720247386,0,0,0.170641470854928,0,3.46944695195361e-18,0.00265138370556898,-0.233348749410772,0,0,0,0,0
DGB,0,0,0,-0.0855393389406507,0,0,0,0,0,0.187836239143964,0.540509423351162,0,0,-0.221577902232273,0,0,0,0,-0.664770669379897
XLM,0,0.288391616644114,0.734093680701658,0,0,0,0,0.25075091014443,8.67361737988404e-19,0,0.120278721630088,-0.297896714565922,0.0299570522156608,0.0648230750061877,0,0,0,0,-0.075218379673742
DOGE,0,0,0,0.392314592694751,0,0,0,0,0.237736862879058,0,0,0.290800121473764,0,0.147935334284704,0,0,0,0,0
ZEC,0,0.236261977065259,0,0,0,0,0,0.0828868364452835,0,0,0.0747347683253614,0,0,0,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,-0.0332144362886739,0.404946860031414,0.294736782272621,0.998978524031714,0.839030493592654,0.39951167651128,-0.791239102617674,-0.021026818629944,-0.0668377596589563,0,0,-0.165480841396278,0,0,0,0,0,-0.794858081628141
BV010082.Index,0,0,0,-0.0167398915022983,0,0,0,0,0.00509475879222738,0,-0.000388220558558577,-0.000773974013707254,0,0.0302091341334408,0,0,0,0,-0.0219978583845862
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118933024615587,0,0,0,0,0
DXY.Curncy,0,0.00505900360852115,0,-0.00375564153523707,0.00959145841918921,-0.00563474297406523,0,-0.00161612450937788,-0.00265583400274513,0,-0.00292042056282467,-2.71050543121376e-20,0,0,0,0,0,0,0
SPX.Index,0,-0.00241195402427236,0,-0.016022212728977,0,0,0,0,0.0015866904310976,0,0,0,-0.00220770295143313,0,0,0,0,0,-0.0262745619869093
VIX.Index,0,0,0.0812755722972134,0.432431673681654,0,-0.0721980076780129,0,-0.166650511557578,0,0,-0.0579616448714299,0,0.0157125555668245,-0.0349504060069159,0,0,0,0,0
