,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,XMR,ETC,MIOTA,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.11140665820354,0.117125448351431,0.614103673572518,-0.301951693757126,0.013640988079718,0.0143605030845981,0,0,0,0.0690963652904377,0,0,0.0251123580098382,0,0,0,0,-0.151236363633234
ETH,0,0,0.111894526289857,0,0.154678021786502,0,0,0.0664727223219325,0,0,0,0,0,0.153232042689241,0,0,0,0,0,-0.11397186978362
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.172188172762957,0,0,0,0,0.095913357787949,0,0,0,0,0,0,0
LTC,0.299138182406654,4.33680868994202e-19,0.209863047609152,0,0,0.156620839344699,0,0.179859259736382,0,0.150052869828035,0,-0.0286620865547775,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.134821414455978,0,0,0,0,0,0.0417862778817467,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.273865340576956,0,0,0.0868120041067861,0,0,0.0249715500847966,0,0,0,0,0,0
NEO,0,0,0,0.461081396980609,0,0,0,0,0,0,0.347115703363043,0.127210935148942,0.221540074834659,0.264889344682748,0,0,0,0,0,0
XMR,0,0,0.0529981682708537,0,0.146119624267394,0,0,0.0773983202506884,0,0.0569989469967156,0.0455874597320744,0,0.156981428617702,0.0206096085456116,0,0,0,0,0,0
ETC,0,0,-0.0292211820788625,0.0875019531391705,0.38566421113704,0,0,0,0,0,0,-0.0833909229830717,0.0444121910044785,0.0614030755204995,0.0925829710032935,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0.269348975577952,0,0,0,0,0,0,0.222431201027086,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0.136299767120086,0,0,0,0.270774156682343,0.163222936418483,0,0,-0.0885604508327087,0,0,0.420963432970837,0,0,0,0,0
XLM,0,0,0.112591630383507,0,0,0,0.80713468608923,0.331565854443112,0,0,0,-0.0798609359841797,0.125205994296777,0,0,0,0,0,0,0
EOS,0,0,0.168266816101754,0,0.116936135255178,0,0,0,0,0.220811053190052,0.0889623681297369,0,0.39854553221938,8.67361737988404e-19,0,0,0,0,0,-0.0478527465419817
BV010082.Index,0,0,-0.0219176937170065,0,0,0,-0.0275687156246531,0,0,0,0,0,0,0.0148149464113633,0.0407743416567635,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,-0.00857115233833532,0,-0.00948608895088873,0,0,-5.42101086242752e-20,0,0,-0.00609444817113826,-0.0185548322473644,0.00394529580931223,0,0.00947559740587841,0,-0.0444634687578629,0,0,0
SPX.Index,0,0,-0.00794775906344181,0,0.00720396096578996,0,-0.00610536838719035,0,0,0,0,-0.00906237087880322,-0.0141914110037594,0.00786285901458729,0.0107171026122818,0,0,0,0,-0.0360382160145688
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
