,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0109951601790794,0,0,0.0754661533175908,0,0,0.00646288561186995,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.0702496287822511,0,0.308198775717478,-0.0337587853938625,-0.199687438861954,0,0,0,0,-0.0996713078414353
LTC,0.464973237491049,0,0,0,0,-4.19224434410359e-05,0,0,0,-0.0625948909560433,0.00619128467438227,-0.0507126493914967,0,0.0283366983393103,0,0,-0.0758888337109342
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,-0.012542043126994,0,0,0.368463693113298,-0.548093672374949,0,-0.107866675470058,-0.169560743632887,0,0.4583395538902,0,0,0.158802918876359
DASH,0,0,0.207034350436281,0,0,0,0,0.0467208332406675,0,0,-0.0378223496808756,0,0,0,0,0,0
XEM,0,0,0.0738148220581519,0,0.0778163788071047,0,0,0,0,0,0.0502138291529061,0,0,-1.1685287745786,0,0,-0.0134321750099108
DOGE,0,0,0.0964093369268752,0,0.0060095291311505,0,0,0.0140197724807938,0,0.0821079783075222,0.0241759882929718,0,0,0,0,0,-0.0684611748509818
XLM,0,0.117413652419198,0.558140177973831,-1.4818006964195,0.155461713373873,0,0.0925904037377934,0.270546832186205,0.446057563737892,0,0.082245063389957,0.292355869168315,0,0.517220432307694,0,0,-0.0902818913621927
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0.420271579860892,-0.485378047919539,-0.284957095557682,0.688167006260851,-0.463429985014194,-0.25287239588813,0,0.169401782975406,0,0.320546719646742,-0.0956974054774385,0,1.75269446241629,0,0,0,0.221805799200543
BV010082.Index,0.0882234292557546,0,-0.00922475920034866,0,8.67361737988404e-19,0.0555034610751394,0,1.73472347597681e-18,-0.155747568020045,-0.0317102375097118,0.0099379334999856,0.0411274303885006,0,0.248572442636727,0,0,-0.096584512056678
CVIX.Index,0,0,0,0,0.018159478092473,0,0,-0.148572338990487,0,0.0434312269505903,0.0125365228013635,0,0,0,0,0,0.139087882910389
DXY.Curncy,0,0,-0.0185341191456085,0,0,-0.00661343431403117,0,0,0,0,0,0.0208306345326018,0,0.0735615181557729,0,0,0
SPX.Index,0,-0.0559731355914185,0,0,0,-0.00293532455444528,0,0.0182461344886838,0,0,0,0,0,0,0,0,-0.0691542155382211
VIX.Index,0,0,0,0,0,0,0,0,0,0,0.0852156325650129,0,0,0,0,0,0
