,BTC,XRP,ETH,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,-0.665177409232051,0,0,-0.279737624217686,0,0.364485684569074,0,0,0,0.101035428246304,0.229993787793527,0,0,0,0,0
ETH,0,-0.0799741792624821,0,0,0,0,0,0,0,0,0,-0.0185512750916471,0.312834681333112,0,0,0,0,0
XEM,0,0.393244112969695,0,0,0,0,0,6.93889390390723e-18,0,0.0574008896521342,0,-0.172821365407689,0.164856770117309,0,0,0,0,0
LTC,0.952603441824098,-0.220056242309035,-0.531694923306077,8.67361737988404e-19,0,0,0.35811229470412,0.032995402096385,0.503154755311523,0.146967731575072,0,0.0116630745483981,0.136747826788795,0,0,0,0,0
ETC,0,0,0.378677739501229,0,0,0,0,0,0,-0.118158006488634,0,8.67361737988404e-19,0.228162547795989,0,0,0,0,0.224531688817067
DASH,0,0,0,-0.0436556020073165,0,0.0284483341545675,0,0.00827852003580301,0.734399170337572,-0.0758335576268307,0.654910799513857,-0.0154731438710479,-0.120103322482124,0,0,0,0,0
XLM,0,0.491497230148535,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0
XMR,0,-0.0731690850659414,0,0.0815531772022769,0.141832582286622,0,0.368284512896197,0.0620805646941772,0,0,-0.160925545273714,-0.00607332951975645,0.175512735750363,0,0.39657238220556,0,0,0
DOGE,0,0,0,0.181937979729431,0.360490557870036,0,0,0.0589511314821825,0,0,0,0,0.0577839164465948,0,0,0,0,0
ZEC,0,0,0,0.0201329867425222,0,0,0,0.00554484966068551,0,0.132467989253851,0,0,0.138520186734792,0,0,0,0,0
DGB,0,0,0,-0.279769998266404,-0.195426133720504,-0.0502492923431333,0,0.0729353632763657,0,0.747186257074972,0,0,0,0,0,0,0,-0.195703608874711
NEO,0,0.0613429440750942,0.345371285271276,1.73472347597681e-18,0,0,0,4.33680868994202e-19,0,0,0.681957021382865,0.0135990418064263,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0200147030745552,0,0,0,0.00329674777597892,0,0,0,0,0.0151262139006513,0,0,0,0,-0.0669810264056425
CVIX.Index,0,-0.0169016691726756,0,0.0521126589138039,-0.0435590799844512,0,0,-0.0226466120001978,0.150071847333683,-1.73472347597681e-18,0,0.0345586082856095,-0.0143541344959467,0,0,0,0,0.113482322289831
DXY.Curncy,0,0,0,0,-0.00119727953534039,1.0842021724855e-19,0,-0.000460549627528675,0,0,0,-0.0030424905994806,0,0,0,0,0,-0.0133818502165331
SPX.Index,0,0,0,-0.00490864023812553,0,0,0,0.00268804619273164,0,0.00246415667373468,0,0.00386957640552575,0,0,0,0,0,-0.0387069649913448
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
