,BTC,ETH,BCH,XRP,DASH,BTG,LTC,MIOTA,XMR,ETC,ADA,NEO,XEM,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.143308457684005,0,-0.128278177642602,0,0.11281327240723,0,0,0,0,0.0379921681804624,0,0,0.0868286995780959,0,0,0,0,0
ETH,0,0,0.0120930150429337,0,0,0.00247387776813493,0,0,0.1455600818513,0.0249065687700852,-0.0756248504094013,0,0.291945841514911,0.181619207040663,0,0,0,0,0,0
BCH,-0.539879774102267,0,0,0,0,0.194986811876091,-0.420432662504435,0,0,0.245810936641327,0,0.547766317336414,0,0,-0.202111358650226,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0.0548274656682316,0.125964397390791,0,0,0,0.124336441083539,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0.436226105868239,0,-0.245991248959587,0,0,0,0,0.653508559745266,-0.311680067471853,-0.272497172165235,0,0,0,0,0,0,0,0
LTC,0,0.130448183177352,-0.0971006045188848,0.260054854377646,0,0,0,0.0311741544255746,0.0765500566990046,0.15367100756744,-0.094879553049295,0,0.240346114571213,0,0,0,0,0,0,0
MIOTA,0,0,-0.0214974019009442,0,0.163639155961082,0.0980414847022546,0,0,0.297743526577474,0.131923285460208,0.335008722168048,0,0,0.141907228756479,0,0,0,0,0,0.423137403708481
XMR,0,0,0,0.404553197831746,0.302289919714773,0.0357353889761971,0,0.0352622217242968,0,0,0.107626191316472,0.179546460027922,0.219347795696705,0,0,0,0,0,0,-0.116589217556151
ETC,-0.671010676575564,0,0.269634856145662,0,-0.520539779542202,0.0389582242224887,0.869140117189909,0.202886730791528,0.489746835507355,0,0.201829506179121,-0.104788859057779,-0.489277137322914,0.258275428914701,1.38777878078145e-17,0,0,0,0,0
ADA,0,0,0,0,0,-0.0348617873853861,0,0.263255722694767,0,0.0307047863961111,0,0,0,-0.365150865630111,1.09851093802084,0,0,0,0,0
NEO,0.115937343265952,0,0.0716506810267021,0,-0.00505307861270595,-0.0342856581481172,0.533683220510093,0,0.097831356099525,0,-0.0371666729781962,0,-1.38777878078145e-17,0.265847178247422,0,0,0,0,0,-0.319006766226466
XEM,0,0.179676977426245,-0.00879966217447392,0,0,0,0.382030364942863,0.0420672236406799,0,0,0.096454252008135,0.0778693062437929,0,0,0.00968449075542487,0,0,0,0,0
EOS,0,0,0,-0.470416020060123,0,0.0244443096122198,0,0,0,0,-0.327112170236395,0.127529878449247,0,0,0.958134277038231,0,0,0,0,0
XLM,0,0,-0.0266364484432383,0,0,0,0,0,0,0,0.361839660425234,0,0.308185720338397,0.421228843845499,0,0,0,0,0,0
BV010082.Index,-0.0729182505262597,-0.0558474546664778,-0.0270888805106796,-0.00270258140534206,0,0.00528277578204748,0,0.0278997313189804,0,0.0173133960570983,-0.0435012315706685,0.0517724029236214,0,0,0.0495964604068213,0,0,0,0,-0.00450892624736854
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.00101410003580911,0,-0.01422676088378,0,0,0.00131837454903761,-0.0409569374294557,0,0.00218367541481515,0.00696403326524903,0,0.00502115151818929,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.00095416349638788,0,0,0,0.00342451311041868,0,0,0.00840020552183472,0,0.00054002305182924,0,0,0,0,0,-0.0208272724724298
VIX.Index,0,0,0,0,-0.0139282313555066,0,0,0,0,0,0,-0.101886835663124,0,0,0,0,0,0,0,0
