,BTC,ETH,XRP,BCH,LTC,ADA,EOS,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.330685621940296,0,0,-0.00660652860966189,0.217883367311671,0,1.73472347597681e-18,0,0.0530076342600226,0.0630145911973363,0.0160428716612998,0,0,0,0,0,0.0538990255323703
ETH,0,0,0,0.532705100884735,0.200885661551223,0,0,0,0.0867631254196309,0.0521471639320853,0,0,0,0,0,0,0,0,0,-0.0248151957280077
XRP,0,0.12424702562376,0,0.137746034155229,0,0.0568871254374373,0.139016704895917,0.121704713138363,0.122481889629739,0.128803279308764,0.126495743726804,0,0,-0.0351873841225951,0,0,0,0,0,0
BCH,0,0,0.230729074859261,0,0,0.0964470847569524,0,0,0,0,0.124243162271495,0,0.21126271974754,0.0413035599912268,0,0,0,0,0,0
LTC,0,0.349160493248885,0,0,0,0.0945109160114412,0.0609749764108709,0,-0.0805334143683857,0.04168373655259,0.330306619952584,0,0,0.0722715416521941,0,0,0,0,0,0.14316723235195
ADA,0,-1.38777878078145e-17,0.383712151187225,0,0,0,0,0.274860153468903,0.192717818531546,0,0,0,0,-0.0832870240299062,0,0,0,0,0,0.138981458580666
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361401158467417,0,0,0,0,0,0
XLM,0.341674473623544,0,0.0923315514509766,0,0,0.0597585110308292,0,0,0,0,0.556214336895676,0,0,-0.0378277730715208,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0681539359810334,0.0473036345514788,0,0,0.21246782151736,0.480669500098988,0,0,0.0332669501065048,0,0,0,0,0,0
NEO,0,0,0.145888371679857,0,0,0.0443424678754483,0.199455357659836,0.0624623779882671,0.309215038155382,0,0.223512129432582,0,0,-0.029124125385473,0,0,0,0,0,0.0867976728125945
XEM,0,0.0370387716075215,0,0.171461270485348,0,0,-0.0557181532568291,0.320435652414041,0.501034499869759,0.100587758839678,0,0,0,0.0556072476364738,0,0,0,0,0,0
XMR,0.568861859046089,0,0.0345312955195944,0.0243612605483869,0.215884582304395,0,0,0.0612572249403311,0.000243646765931405,0,0,0,-6.93889390390723e-18,0.091832184448918,0,0,0,0,0,0.0338615290198188
DASH,0.467337801973356,0,0.232401882250373,0,0.032932513735708,0,0.0113081209351406,-1.38777878078145e-17,0.106606035283832,0,0.0722396187949205,0,0,0.0786943365640599,0.047727159137017,0,0,0,0,0.110671234548384
TRX,0,0,0,0,0,0,0,0,0.327660478781188,0,0.203658456731617,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0.0747675090695188,0,0.110608524313895,0.190982757145643,0.148951359255028,0.0256169256326927,0.244835060904315,0,0,0,0,0,0,0
BV010082.Index,0,0,0.141697123940001,0,0,-0.0391615140884096,0.0295577468107055,-0.042738154134869,0.0557432163766088,-0.0846611752143548,0,-0.0610937945558805,0.0255404659928491,-0.0302052372991377,-0.0247001552761542,0,0.26735318331439,0,0,-0.0736087354373899
CVIX.Index,0,-0.0370456514458696,0,0,-0.085989504133487,0.0214647985041412,-0.0183691926411078,0,0,0,0,0,0.162847942086226,-0.0398828030748732,-0.0424795599860946,0,0,0,0,0.0160380375277693
DXY.Curncy,0,0,0.0238117136497579,-0.0623393304508292,0,0.00378560608845211,-0.0077558889409538,-0.027258283911821,0.0084850564323288,-0.00839845173977397,0.0253544436432898,0,0.0136275629314049,0.000707894839575283,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0.0300484232776026,0,-0.0247971876188679,0,0,0,0,0,0,0,0,0,0,-0.128685698244936
VIX.Index,0,-0.220720297068881,0,0,0,0.202612282081708,0.0342378915274443,0,-0.729805896870689,0.293314456848796,0,0,0.604056163339229,0.0245940537806866,0,0,0,0,-4.4159213443664,0
