,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,TRX,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.257135331971182,0,0,0.00621166585378509,0,0.0425361795508246,0,0.0805109096191762,0,0,0,0.0680573470043858,0.0735620469991796,0,0,0,0,0,0
ETH,0.440020144147172,0,0.146521037126878,0,8.67361737988404e-19,0,0,0,0.110038492593822,0.0318606443259535,0.0327263669367922,0,0.149771024522339,0,0,0,0,0,0,0.0165208154839253
XRP,0,0,0,0,0.126996476366408,0,0.0680906816848026,0.201299866235315,0.247808081221186,0.184379759578831,0,0.0132150020981586,0,0,0,0,0,0,0,0
BCH,0,0,0.124051157840432,0,-0.0071535359435039,0,0,0,-6.93889390390723e-18,0,0,0.736366578301163,0,0,0,0,0,0,0,0.0421048261294695
EOS,0,0,0.13333169894182,0,0,0,0,0,0,0,0.386985037436835,0,0,0,0,0,0,0,0,0
LTC,0,0.0118778536534981,0.160360660386481,1.73472347597681e-18,0,0,0.0613823197701109,0.0873925270311819,0,0.000721255349377822,0.0885492070925908,0,0,0,0.39830642068362,0,0,0,0,0.0534430069639683
ADA,0.515578581745927,0,0.332239588853034,0,0,0,0,0,0,0.139554585495404,-0.0325044522441672,0,0,0.185242257460352,0,0,0,0,0,0
XLM,0,0,0.190801815653525,0,0,0,0.102802054221437,0,0,0,-0.0361895289303876,0,0,0.767485306967073,0,0,0,0,0,0
MIOTA,0,0,0,0.190585657039853,0,0,0.185331186252377,0,0,0,0,0.349546369785302,0.0232193774398576,0.217245980981368,0,0,0,0,0,0.0666913180130349
NEO,0,0,-0.0165359001522026,-0.185952603084189,0.13596472067143,0,0,0,0.161302295421454,0,-0.079457296138784,0,0.570212947040222,0.211367618424718,0.201116770094143,0,0,0,0,0
TRX,0,0,-0.2677866513751,0.501201833988267,0.0481506914007358,0.596400513161651,0,6.93889390390723e-18,0,0,0,0,-6.93889390390723e-18,0.298158405081869,0,0,0,0,0,-0.0813035038877816
XMR,0,0,0,0.322751088847581,0,0,0.0464792386394853,0,0,0,0.0701190819055084,0,0.639756229664745,-0.0557180452661701,0,0,0,0,0,0
DASH,0,0,0,0.218682091051163,0,0,0,0.168671148824617,0,0,0.0179502345913496,0.443137463945503,0,0.0168824089507602,0.157453226107082,0,0,0,0,0
XEM,0,0,3.46944695195361e-18,0,0,0,0,0.507339023157204,0.181349928541087,0,0.0112557701657384,0,0,0,0,0,0,0,0,0
ETC,0,0,0.128471732258747,0,0.0364138572095152,0,0,0.0351404804254021,0,0.310090042975932,0.0246181976098908,0,0.261078742808542,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0253547884846172,0,0,0.0113058679746524,0,0,-0.00919709274108084,0,0,0,0,0,0,0,0,-0.0720844691784646
CVIX.Index,0,0,0,0,-0.0241034786419307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,-0.0736111209080089,0,0,0,0.00499878157701546,0,-0.00475976690605118,0.0228009842741494,0,0,0.0117582038384456,0,0,0,0,0,0,0,0,-0.103647301407632
VIX.Index,-0.658724204521822,0.719134341711653,0,0.268583826258204,0,0.156638729661081,0.145154368892535,0,0,4.33680868994202e-19,-0.00379711639462092,-0.0824189448473878,0,0,-0.451517451330913,-0.417046783345187,0,0,-2.00097749027591,0
