,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,XMR,MIOTA,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.121921631506841,0,0.076268787078175,0,0.299399263246526,0,0,0,0.137527419814624,0.0966681440019234,0,0,1.73472347597681e-18,0,0,0,0,-0.0332822626385396
ETH,0,0,0.0560683714921479,0,0.135835897625971,0,0.206453901932629,0,0,0.0839418558402047,0.0719241025673761,0,0,0.0506203312510358,0.144753655118113,0,0,0,0,0
XRP,0,0,0,0,0.0830869427115547,0.138456133630881,0,0.25700803470099,0.493917272924824,0,0,0,0,0.0075830609208091,0,0,0,0,0,-0.0361372006083352
BCH,0,0,0.0776156261484861,0,0.189978750884618,0,0.563520236338687,0,0,0,0,0,0,0,0,0,0,0,0,-0.0818146966486219
LTC,0,0.267549589179913,0,0.161696607125685,0,0,0,0,0,0,-0.214863715697604,0.540801344994344,0,0.0893962439960524,0,0,0,0,0,0.0564616584181355
ADA,0,0,0.375012428115466,-0.0257547819198803,0,0,0,0.184378854366075,0,0,0.0559066333548566,0,0.231341121317367,0,0,0,0,0,0,0
NEO,0.146682399221728,0,-0.292738401576863,0.131918706632351,0,0,0,0,0,0.540894557341505,0,0,0.328925928515659,0.169081096659069,-6.93889390390723e-18,0,0,0,0,0.0650590755022405
XLM,0,0,0.148228256389395,0.0118859769977583,0,0.329587197613286,0,0,0,0,0.0950710867562406,0,0.0598318743453991,0,0.188950569175059,0,0,0,0,0
EOS,0,0,0,0,0.128983425738446,0,0,0,0,0,0.22647895194735,0,0.226685661489674,0.315999784208756,0,0,0,0,0,0.0281435531044335
DASH,0,0,0,0,0,0,0.272478524030407,0,0,0,0.434410284315181,0.103184506816813,0,0,0.0441787557491827,0,0,0,0,0
XMR,0.287986262766915,0,0,0.0735007312792636,0,-0.0987317691192292,0,0,0.364029145417721,0.778777693340823,0,0,0,-0.214079909724778,-0.0370387191357801,0,-0.277045398184515,0,0,-0.00762169634863057
MIOTA,0.352149995768861,0,0.180836507530838,0,0.0683477637527055,0.133757063241832,0,0,0.288867598252836,0.12779755178761,0,0,0,0,0,0,0,0,0,-0.0448009302274036
XEM,0,0,0,0,0,0.341778157299734,0.428434195132869,0,0,0,0.0407473119950328,0,0,0,0.0722013669520461,0,0,0,0,0.10160677856015
ETC,0,0.390972501656686,0,0.0812097053308733,0,0,0,0,0.949439344057562,0,0,0,-0.195769000213552,0,0,0,0,0,0,0
TRX,0,0.614675918000925,0.0890885940960272,0.0909762975314642,-0.202433941233953,0.577559630214007,0,0,0,0,0,0,0.0389889708272969,0.0998195383170333,0,0,0,0,0,0.0254022739202598
BV010082.Index,-0.0959370291788375,0,-0.105579757644524,0.0175970836149232,0,0,0,0,0.0362578215173099,0,0.116397809117004,0,0,0,0.0419270196317183,0,0,0,0,-0.0700333285984489
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036999599435716
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522853510737579
SPX.Index,0,0,0,-0.0177817374147155,0,0,0.0394143991937515,0.00880947536273549,0,0,-0.0513072508217467,-0.0328851758447803,0.0592887758604576,0,0,0,0,0,0,-0.0735336167972379
VIX.Index,-0.426545635722941,0,0,0,0.0241999070745773,0.287194279270407,0,0,0,0,0,-0.595493200901586,0.848571151944732,0,0.00659648302611593,-1.59299243614328,0,0,-3.13923054769742,0
