,BTC,ETH,XRP,BCH,ADA,NEO,XLM,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.375970940004678,0.0525261315812316,0.0552551327622686,0.127616396485075,0,0.111967333118924,0.10608270900659,-0.0355513397715493,0,0.107561765507218,-0.0619013052832006,-0.131043428852649,0,0,0,0,-0.0414682351870273
ETH,0,0,0,0.143303177900215,0.213809813071241,-0.0745665088626361,0,0.0652989283140666,0.103390420543545,0,0,0,-0.236793537511694,-0.14843050059965,0.573974557507722,0,0,0,0,0
XRP,0,0,0,0,0,0,0.120360964809206,0,0,0.0546313445241248,0,0,0,0.346702041661917,0.199278262664227,0,0,0,0,0
BCH,0,0.143471593968214,0,0,0.101087422290837,0,0,0,0.00332417233246879,0.0499408665841071,0.272605960385432,0,0.123882990983346,0,0.197693289387142,0,0,0,0,0
ADA,0.52823076670263,0,0.161595857650364,0,0,0,0.230540224757544,0,0.085791830744871,0.00404572512190302,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722568139131009,0,0,0,0,0
XLM,0,0,0.0335805635240054,0,0.84108966230826,0,0,0,-0.158611075150863,-0.207621846914858,0,0,0.0324984540436646,0.185259816064606,0.298145607290685,0,0,0,0,-0.0588331588050186
LTC,0,0,0.0531004443224423,0.364848643111071,0.192409588530116,0,0,0,0.0450376450867193,0.0938179595853998,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0.318249335599952,0,0,0,0,0,0,0,0.374259492647933,0,0,0,0,0
XEM,0,0,0.141351497844142,0,0,0.142493166806882,0.0698761590772954,0,0.245392512863496,0,0.104410577377297,0,0.290374263846954,0,0,0,0,0,0,0
MIOTA,0,0,0,0.281608739734857,0,0,0,0,0.0514469847964267,0.0780367304328398,0,0,0,0.130995957669902,0.358959314217531,0,0,0,0,0
DASH,0,0,0.177390099721706,0,0,0,0.0781892508451112,0,0.224821948830106,0,0,0,0,0.0716458349048926,0.121923409529462,0,0,0,0,0
XMR,0,0,-0.115116869591389,0,0.0253123087900365,0,0.180201354612265,0.239461529788408,0,0,0.090912491723613,0,0,0,0.325455669988256,0,0,0,0,0
TRX,0,0,0.400003262323428,0,0,-0.246713994981609,0.449081374390175,0,-1.38777878078145e-17,0.273898946757732,0,0,0,0,0,0,-0.0885866063916046,0,0,0
ETC,0,0.402421786726076,0.360430713702169,0,-0.213797167267142,0.146775332003891,0,0,0.108469183749421,0.00458308127337765,0,0,0.367043698590548,0.0190339451752622,0,0,0,0,0,0
BV010082.Index,0,0,0.0126601222190099,0,-0.0957955925293876,-0.0103886277451394,-0.0631272409206429,0,0,0.0514243016838265,0,0.10059123811584,0,0.0221210953604809,0.00234370431106449,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0.00110117476756163,0.00962994534315826,0,0,0,0,0,0,0,0,0,-0.0258646919944832
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
