,BTC,ETH,XRP,BCH,ADA,LTC,XEM,NEO,XLM,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.239503626050062,0,0.145018611365232,0,0.0841033414916231,-0.00459663899493697,0,1.0842021724855e-19,0,0.184133288628707,0.0801052297353894,0,0,0,0,0,0
ETH,0,0,-0.0399921161323528,0.0433687774221389,0,0.119597387534702,0.154384281120494,0.131557445868546,0,0,0,0,0,0.0479487590142163,0.129146213027379,0,0,0,0,0
XRP,0,0,0,0,0.125388624096705,0,0.252099965953783,0,0.111998632477723,0,0,0,0,0.106841366146628,0,0,0,0,0,0
BCH,0.399265522476668,0,0,0,0,0.439195403273198,0,0.200173997129693,0,0,0,0.145560181338759,0,0,0,0,0,0,0,0
ADA,0,0,0.17715939730025,0,0,0,0,0,0.502506971265932,0,0,0,0,0,0,0,0,0,0,0
LTC,0.326606991734692,0,-0.0283385644483091,0.100607074232989,0,0,0,0,0,0,0,0.130609788873345,0.0878400608773549,0,0.193383668984833,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0.468363496183432,0,0,0,0,0.029549107407265,0.164893383651467,0,0,0,0,0
NEO,0,0.791526544847091,0.0470581324724912,0,0.0823291003050126,0,0.083817388487262,0,0.0351336921272151,0,0,0,0,-0.112137648376662,0.0491579370607141,0,0,0,0,0
XLM,0,0,0.257755488082295,0,0.411237452634649,0,0.670521671960228,0,0,0,0,0,0,-0.203617956685464,-0.113466951933226,0,0,0,0,0
MIOTA,0,0,0,0.254232272896813,0,0,0.0767745141828147,0,0,0,0.0956987816737773,0,0,0,0.0939247212823474,0,0,0,0,0
EOS,-0.0814529003494388,0,0.0266996947909566,0,0.125632581900728,0,0,-0.21616076163471,0,0,0,0,0.608396811041514,0.102404645838902,0.42889965462447,0,0,0,0,0
DASH,0,0.369243514972475,0.0848535737289109,0,-0.0332624535763427,0.58981303338575,-0.104841746045467,0,0,0.0215835269185429,0.0266743285904223,0,0,0.0639131772436791,0,0,0,0,0,0
XMR,0,0,0,0,0,0.320401944816714,0.0937854561109757,0.223263563463266,0,0.281667567831047,0.147607998391407,0.082411119735247,0,0,0,0,0,0,0,0
TRX,0,0,0,0,0.0803948344838253,0,0.582726980638991,-0.897040743623027,0,0,0,0,0,0,0,0,0,0,0,0
BTG,0,0,0.0529593970893601,0,0,0.0846895684841922,0,0,0,0,0.215679882324504,0,0.401642787329148,0.0332107321103621,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0.0088891179860249,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,-0.0141997778295615,0,-0.00126941460156854,0.0163436145965084,-0.011148087842324,0,-0.00313635575073622,0,0,0,0,0,0.0299452141621733,0.00454315561015497,-0.0241306950714499,0,0,0,0,0
SPX.Index,0,0,-0.00640361816223155,0.00748597672437189,0.00655784066389903,0,0,0.00125495903750882,-0.00700203074601609,0,0.00632297769020844,0,0,-0.00364147503367942,0.011770969799876,0,0,0,0,-0.0729524634606641
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
