,BTC,ETH,XRP,BCH,ADA,XLM,LTC,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.206590778063651,0.0522509217304152,0,0.138927331394919,0.0244290170507713,0,0.0684280439973725,0.0545589106139105,0,0.130800122870591,0,0,0,0,0,0,-0.120017699116113
ETH,0,0,0,0,0,0,0,0.46165754172399,0,0.155518925366131,0,0,0,-0.0468387698511951,0.160837544848496,0,0,0,0,0
XRP,0,0,0,0,0,0.214412139772677,0,0,0,0.110685429162295,0,0,0,0.357055658768787,0.268990722502308,0,0,0,0,0
BCH,0.431079909174812,0,0,0,0,-0.035106196965883,0,0,0.0582067882677575,0,0.276498349483767,0,0,0,0.360405840498833,0,0,0,0,0
ADA,0.713568940075924,0,0.0538745646406069,0,0,0.451569614609858,0,0,0,0.00364845067285793,0,0,0,0,-0.111643795239657,0,0,0,0,-0.0254794343751477
XLM,0,0,0.00921674356947767,0,0.673330644112278,0,0,0.0782925844559386,-0.0491279832530654,0,0,0,0,0.189049273044337,0,0,0,0,0,0
LTC,0.424604492019308,0,0.0928448724266825,0.0169050792337006,0,-0.0405651925392369,0,0,0.0577278409136058,0.053597338455347,0.0907803134518641,0.0505790875441831,0,0,0.10175518081756,0,0,0,0,0
NEO,0,0.665145953016314,-0.162803178582282,0.0322540520248461,0.154403522730213,0,0,0,-0.0527293456266074,0,0,0,0,0,0.424398489393347,0,0,0,0,0
EOS,0,0,0,0.426962614303337,0,0.347630776067561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0.13534777832799,0,0,0,0,0.1572670464381,0.0106022650895662,0,0.103717377371921,0,0.315947104131529,0,0.261665805355177,0,-1.73472347597681e-18,0,0,0,0,-0.0996935442734699
MIOTA,0,0,0,0.423347554807703,-1.38777878078145e-17,0,0,0,0,0.12335669993356,0,0,0,0.0785516736123385,0.113006109468059,0,0,0,0,0
DASH,0,0.167590963508083,0.154495381110845,0,0,0,0,0,0.11924543842285,0,0,0,0.137980163004654,0.134013273879179,0.121546077089472,0,0,0,0,0
XMR,0,0,0,0.0928925478127664,0.191037875192006,0,0,0.0454199478636659,0,0,0.0545591693201544,0,0,-1.73472347597681e-18,0.420983643233744,0,0,0,0,0
TRX,1.06559575816738,-0.248565154462548,0.251813641584798,0.0532341017064877,0,0.0992396385924991,0,-0.31675814191956,0,0.228881776134486,0,0.426586194970986,-0.262096565966143,0,3.46944695195361e-18,0,-0.335109160925732,0,0,0.573455725525695
ETC,0,0.414784716251831,0.253889580045418,0,-0.148652220837196,0,0,0.364140674036245,0.0566876081608131,0,0,0,0.319371158080495,0.0597740165197729,0,0,0,0,0,0
BV010082.Index,0,0,-0.0180292903661779,-0.0109801917233806,-0.00987343797941909,-0.0226012106588933,0,0.00651228026094089,0,0.0532030106614881,0,0.0458332396625534,-0.0297907261239699,0.0268857994998233,0,0,0.0975719290145757,0,0,0.0244485024064789
CVIX.Index,0,0,0.0227139722594102,-0.0888085956153903,0,0,0,-0.0386347708677126,0.0421545216471258,0.0884695543906458,0,0,0,-0.0890358050033327,0,0,0,0,0,0
DXY.Curncy,0,0,0,0.0133499963178409,0,-0.0104652964941018,0,0,0,0,0,0,0,-0.00587274826053316,0,0,0,0,0,0
SPX.Index,0,0.00621182834298838,0,0,0,0,0,0,0.00257863279727927,0.00666842393207079,0,0,0,0,0,0,0,0,0,0
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
