,BTC,XRP,ETH,XEM,LTC,DASH,ETC,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.382967127752843,0,0,0,0.122552517452292,0.169062730404039,0,0,0,0,0
ETH,0,-0.034927853438346,0,0,0,0,0,0,0,0,0,-0.0272067717788066,0.279435041690979,0,0,0,0,0
XEM,0,0.440877488190901,0.21365833781174,0,0.274218698981283,-0.877163654784901,0,0,0,0.00282411005268236,0,-0.206243073794782,0.0200159546580326,0,0,0,0,1.56011528326716
LTC,0.861212134612808,-0.168024987813124,0,0.0511660830552212,0,0.624022505550919,0,0.0863972696023089,0,0.0273555435677859,0,0,0.0010727326208523,0,0,0,0,0
DASH,0,0.120830485100209,-0.0671968788716287,-0.131510897403671,0.0741457886973813,0,0,0.0742164624578705,0.233119100258152,-0.105226468967607,0.26381789035788,-0.0751771438355424,0,0,0,0,0,0.371682490806761
ETC,0,-0.0417755579277941,0,0,0,0,0,0,0,-0.0825854496513919,0,0,0.334163501241071,0,0,0,0,0.378653837974061
XLM,0,0.494972160553724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.119091977954606,0.240113476523571,0.222116778995675,0.0393870366053594,0.0818187036812045,0,0,-0.401344819510867,-0.0220316520466994,0.126847013696848,0,0.260523077884388,0,0,0
DOGE,0,0,0,0.173949291329049,0.353762786809428,0,0,0.0838070629908548,0,0,0.255941591543012,0,0.0896325068363417,0,0,0,0,0
ZEC,0,0,0,0.0174970969571943,0,0,0,0,0,0.145557207886341,0,0,0.123941756638982,0,0,0,0,0
DGB,0,0.134549760105904,0,0,0,0,0,0,0,0.319240508484853,0,0,0,0,0,0,0,0
NEO,0,0.123307093200795,0.530507968931711,-0.199738036076412,0,0,0.66399224054869,-0.0145475916287966,0,0,0.646543660827732,-0.00575435848843879,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0400314585996795,0,0,0,0,0,0,0,0,0.0232500962022212,0,0,0,0,-0.0335960179138145
CVIX.Index,0,0,0,0.0452272722635546,-0.00581020688461467,0,0,0,0,-0.0385231250985511,0,0.0212926560687558,0,0,0,0,0,0.173532441559619
DXY.Curncy,0,0,0,0,0,0,0,-0.000461120364670314,0,0,0,-0.00291490255224664,0,0,0,0,0,0
SPX.Index,0,0,0,-0.00682078078685381,0,-0.00255116640137929,0,0.00367429683147901,0,0.00287917997573502,0,0.00360691273860767,-0.00134047300015455,0,0,0,0,-0.0312216323002951
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
