,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.124910702864575,-0.0885434939640564,0,0.407769789407037,0,-0.20942056948765,0,0,0.240331795330771,0.191331382016019,0.120490171385139,0,0,0,0,0,0,5.60053808645797e-05
ETH,0,0,0,0.0898303234149941,0.138468483254956,0,0,0,0,0.259656403299186,0,1.73472347597681e-18,0,0,0.139827609437839,0,0,0,0,0.00915675750050205
XRP,0,0,0,0.127348428963567,0.262505697078763,0,0,0,0,0,0,0,0,0.0560212932198664,0.363072411431322,0,0,0,0,0
BCH,0,0,0,0,0.260350064093967,0.313309208538016,0,0,0,0,0,0,0,0.0490427776327754,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.450645349256063,0,0,0,0.20988568857275,0.0364258270764824,0,0,0,0,0
NEO,0.510277584774325,0,-0.280150189016106,0.0990658196429936,0,0,0,0.0810873576237637,0,0.376548779288405,0,0,0.146019323735424,0.0356004306286728,0,0,0,0,0,0
ADA,0,0,0.367468551174835,-0.0944112863039353,0.0287281245725263,0,0,0.1133418850581,0,-3.46944695195361e-18,0,0.116389429283863,0,0,0.140036114052254,0,0,0,0,-0.0495046268839702
XLM,0,0,0.154781099104936,0,0,0.136590706517518,0.267479074474998,0,0,0,0,0.0503146456997746,0.387924219423493,0.0349605753201356,0,0,0,0,0,0
EOS,0.064446364810262,0,0,0,0.134939783060574,0,0,0,0,0.170016315731919,0,0,0,0.184852251619091,0.249622591868805,0,0,0,0,0
MIOTA,0,0,0,0,0.077236667398734,0.47565457312302,0.127043358039112,0,0.440429999835501,0,0,0,0.0505421490964407,0,0,0,0,0,0,-0.0166763270733803
DASH,0.112901552049745,0,0.163983544043759,0.187780490409472,0,0,0,0.140063075186824,0,0,0,0.350539677885515,0.057251406146425,0,0,0,0,0,0,0.00613437005579274
XMR,0,0,0,0,0.162224771471065,0,0,0,0,0.0493471042755307,0.843833551182394,0,0,0,0,0,0,0,0,0
XEM,0.0902032017094241,0,0.102423541153667,0,0,1.73472347597681e-18,0,0.353314442431841,0,3.46944695195361e-18,0.0693660857920126,0,0,-0.0716957945202498,0.253735507961962,0,0,0,0,0.0467234704421576
ETC,6.93889390390723e-18,0,0,0.143161663869604,0,0,-1.38777878078145e-17,0.596135873703734,1.46908186905612,0.199669845602919,-0.672032389933881,-0.00633696085356154,-0.833957648898439,0,0,0,0,0,0,-0.0447584312540375
TRX,0,0,0.145822806575224,0.213461164538264,-0.0978256702190484,0,0,0,0,0.213997093490835,0,0,0.656580511200196,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.0391752390677527,0.106354403373301,0,-0.101183117709297,0,0,0,-0.0227998580735152,0,0.12088584650112,0,-0.0114082780233458,0,0,0,0,0,-0.00627613009994119
CVIX.Index,0,0,0,0,0.088517570981117,0.0299523869544641,0,0,-0.136929043949824,-0.0453827684419865,0.0651405554787907,-0.127589827571392,0,-2.16840434497101e-19,0.116715073064137,0,0,0,0,0.0623779422456332
DXY.Curncy,0,0,0.0268056641310071,0,-0.0372809722385207,-0.0141096545310237,0,0,0,0,0.0104930799203098,0.0184531356824058,0.0043603112882262,0,-0.0247225707393264,0,0,0,0,0.0252803628619345
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078642836783002
VIX.Index,0,0,-0.677191543871138,-0.0282489837631352,0,0,0,-0.471290697640415,0,-0.123932002670167,0,0.102973422119511,1.21892873193202,1.73472347597681e-18,0.0165694943510156,0,1.01838596203772,0,-5.35433258723142,0
