,BTC,ETH,XRP,LTC,DASH,DOGE,XEM,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0138150440126496,0.0960962131438339,0,0,-0.0453781578980181,0.0120882677954285,-1.0842021724855e-19,-0.0471016585147152,-0.00577612066524686,0.125893372382275,-0.0824865289230782,0,0,0
ETH,0,0,0,0,0,0,0,0.334369167706922,0.0748488645121462,0,0,0,0,0,0.269847280786546
XRP,1.47309054610215,0,0,0,0.347321551905102,0.276661874457635,0.109014509619189,0.124856041415015,0.326658318217435,-0.0730571303537558,-0.351233058646977,-0.150715617788811,0,0,-0.0726391779129144
LTC,0.489365756521002,0,0.0792547048014944,0,0,0,-0.00258631684066099,-0.00824801188812317,-0.0398946560772921,0.00217059050958766,0.0537658920330915,-0.0278976200235018,0,0,-0.0217551742943205
DASH,0,0,0,0,0,0,0,0.0312386248049075,0,0,0,0,0,0,0.158134277872698
DOGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,-0.192821719147016,0.141538210655102,0,0,0,0,0,0.0631361979795913
XMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.257627729386216,0,0,0.0566585627057523,0,0,-0.0710919085473798,0,-0.0386841177717123,0.466092399540706,0,0,0,0
DGB,0,-0.266010424162094,0,0,0,0.327565214132468,1.46550514189162,0.38143559465409,0,0,0,-1.81514726073381,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0.0487605771979277,0,0,0,0,-0.039918951416832
CVIX.Index,0,0,0,0,0.129671495649125,0.00875620367611067,0,0.0966079393190461,0,-0.021498125660524,0.190091444274786,0,0,0,0.226689616886687
DXY.Curncy,0,0.000548396878012208,5.42101086242752e-20,0,-0.00395128814981103,0,0,0.00577703704680868,0,0.00402286275003658,0.0774500154400878,0.00557529172468118,0,0,0.0296601016758837
SPX.Index,0,0,0,0,0,0,0.00277474974779409,0,0,-0.00522917919761245,0,0,0,0,-0.0877035186767439
VIX.Index,0,0,0,0,0.0883258784208702,0.218124591636724,0.0967547932701934,0,0,-0.0877620690702816,-0.0196318855774434,0,0,-8.10953168686644,0
