,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.405118155147608,0.063159028832234,0.0922844841495163,0,0,0.0512118096459483,0.0603979981411567,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.512894986469231,0,0,0,0.0705080373817529,0,0.142131724292376,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.140389884447841,0,0,0.178024134088651,0.121775961219676,0.0625217395703368,0.0224280265634653,0,0.0416350259581258,0,0,0,0,0
BCH,0,0.175673224167475,0,0,0.304320752862023,0,0.402777231142869,0.237938152808618,0,0,0.125614734090553,-0.225273843072438,0,-0.133967377015783,-0.174530914148795,0,0,0,0,0
LTC,0,0,0,0.0155822007853833,0,0.0603422932237547,0.142489680496019,0.0509917617385576,0,0,0.611772447562579,0,0,0,0.118304689215744,0,0,0,0,0
DASH,0,0,0,0,0,0,0.578227497011249,-0.055651897537339,0,-1.73472347597681e-18,0,0,-0.162688674104448,0,0.193846117001187,0,0,0,0,-0.0739446943463231
XEM,0.268310798347798,0.219931164961698,0,0.0366746136132813,0,0,0,0,0.0902886788942453,0.17268048440095,0,0,0.106542169219082,0,0,0,0,0,0,0
NEO,0,0,0,0.710000097882696,0,0,-0.17975032799009,0,-0.511561001840018,-0.332689973045253,-0.352816150912118,0.73074594683913,0.501655646920561,0,0.561940509890149,0,0,0,0,-0.351449581553068
MIOTA,0.515826536717688,0,-1.25459043436571,0.17883037641501,0.626179639377091,-0.210623722135349,0,-0.250786315514768,0,-0.296461491674562,0,0,0.500230839351861,0.382846492512976,0.212226594957675,0,0,0,0,0
XMR,0,0,0,0.0413649168104161,0,0,0.569397509153815,0.0516606521599918,0,0,0.152026541531824,0,0,0.000696081940763777,0,0,0,0,0,0
ETC,0,0,0,0,0.657710135844678,0,0,0,0.259331964840881,0,0,0.0249837890992477,0.0209578135986662,0,0,0,0,0,0,0
ZEC,0,0,0,0,0,0,0.351226099086426,0.0754877492937007,0,0,0.138212755668799,0,0.0610016369969849,0,0,0,0,0,0,0
XLM,0,0.243731324082796,0.177978913576637,0,0,0,0,0.0843226471382636,0,0,0.397254534150016,0,0,0.142414729344913,0,0,0,0,0,0.310122072149403
EOS,0,0,0,0,0,0.0128744904681675,0,0,0.166912751000945,0,0,0.592055327867872,0,0,0.1392550197196,0,0,0,0,-0.602791802664397
BAT,0,0,0,-0.623140987680633,0.102593683814261,0.655732354936176,0,0.586152678385953,0.52372118224998,0.133574309881498,0,-0.34294811984347,0,0,0,0,0,0,0,0.480130880704921
BV010082.Index,0,0,0,0,0,0,0,-0.00958836598921383,0,0,0,0,-0.010544010945833,0,0.014271921589679,0,0,0,0,-0.199359450572909
CVIX.Index,0,0.129375418926943,0,0,-0.104386251487578,0,-3.46944695195361e-18,0.083320132057776,0.0728276044912192,0,-0.0444661161970407,-0.173902445639994,0,0,-0.0328900091025363,0,0,0,0,0.137242335739818
DXY.Curncy,0,0,0,0,0,-0.0184126338824669,0,0,0.00598091393938708,-0.00495458732158653,0,0,-0.00932917297119194,0.0227721644981045,-0.0107107859276054,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0.00117541731406632,0.00104874894069896,-0.00371253626955124,0,0,0,0,0,0,0,0,0,-0.0292505294991056
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
