,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,XEM,DASH,XMR,BTG,EOS,XLM,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0451769004302196,0.133439650261465,0,0,-0.0882306835749219,0,0,0,0,0.376315237843454,0,0,0,0,0,0,0
ETH,0,0,0,0.103919242905124,0.298114208798415,-0.00314492233080344,0,0,0.122656455061912,0,0,0.191466559917851,0,0.0750213990569853,0,0,0,0,0,0
BCH,0,0,0,0,0,-0.0125338964242454,0,0,0,0,1.1745147420898,0,-0.048041492280909,-0.0577578651882732,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.124514528392567,0,0,0,0,0,0,0,0,0,0,0,0
LTC,-4.33680868994202e-19,1.14868521979355,0,-0.121520383159791,0,-0.150429028253798,0,0.197952495962661,0,-0.389556201831495,0,-0.16113918808652,0.434927007150426,0,0,0,0,0,0,0
ADA,0,0,0,0.079905070161844,0.208608000252656,0,0,0.065861781963085,0,0,0,0.120626693894507,0,0,0,0,0,0,0,0
MIOTA,0.105395300649947,0,0,0,0.242191844838027,-0.231146390327632,0,0.178811434444925,0,0.0581634540728334,0,0,0.43641701858162,0,0,0,0,0,0,0
XEM,0,0,0,0.100501104206866,0,0.183170508215986,0.2272986627005,0,0,0,0,0,0,0,0.137981053526688,0,0,0,0,0
DASH,0,0,0.0932096981918864,0,0.184778407980784,0.0346646668040464,0,0,0,0.118748851055677,0.22853227588423,0,0,0.0867124694613337,0,0,0,0,0,0
XMR,0.18678024616756,0,0.228663505956913,-0.036431805835678,-0.0972465080342338,-0.0976708744365912,0,-0.0134855059483395,0.538089455569192,0,0,1.38777878078145e-17,0.224775257453933,0.0426194733133173,0,0,0,0,0,0
BTG,0,0,0.573008209592917,0.0638067022029902,0,0.043194966191229,0,0,0.0143990797062769,0,0,0,0,0.0559888656219613,0,0,0,0,0,0
EOS,0,0.434474919161005,-6.93889390390723e-18,0.0562491746259374,0,0.0764761956965042,0.212731952166236,0,0,0,0.387816690233537,0,0.0698381989880716,0,0,0,0,0,0,0
XLM,0.272250556282859,0,-0.325169851840543,0,0.050178101324675,0.17266779610025,0.218718267014978,0,0,0.529734695927108,0,0,0,0,0,0,0,0,0,0
NEO,0,0.393231038677752,0,0,-0.0574344572975122,0.145669008761623,0,-0.0219003127951826,0,0,0.205699302090391,0.114014683319981,-0.11540570855989,0,0.289450396424777,0,0,0,0,0
ETC,0.015164623156229,0.200743201754872,0.0716647317749498,0,0,0.0687025239739623,0,0.10206760922102,0.261572435776335,0.117593686447888,0,0,0,0,0,0,0,0,0,0
BV010082.Index,-0.0377519172967569,0,-0.0213680721000023,0.00732959377320666,-0.0197707612684285,0,0,0.0031217307986529,0.110506559359169,0.0542305554561749,-0.116165054235514,0.037692082167955,0.00940279390556289,-0.0431658393724279,0,0,0,0,0,0
CVIX.Index,0.0173394790637678,0,0,0.0103812579954562,-0.0208560465835111,0.00684925936919068,0.0177215645364117,0.0121343681453837,0,0,-0.00850029021063682,-0.0525506138847739,0.00937628291419514,-0.016603685185957,0,0,0,0,0,0
DXY.Curncy,0.00371846627014448,0,-0.00403667022981753,-0.00499967803621852,0.00308509020335387,0,0,0.0012970006553935,0,0.0102705885350701,-0.00902589074844823,0,-0.00096784772345669,-0.00127441014008498,0.00382127699070905,0,0,0,0,-0.0192879816972088
SPX.Index,-0.00151084595080223,0,0,0,0.00705438899481742,0.0116694495814371,0.00181303147249352,0,0,0,-0.0067400138083023,0.0053401802951823,-0.0118007155269157,-0.00502550153101822,0,0,0,0,0,0
VIX.Index,0,0,0,0,-0.0579975822805221,0,0,0,0,0,0.0795614169037434,0,0,0,0,0,0,0,0,0
