,BTC,ETH,XRP,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0742635250468988,0,0.11909465001772,0,-0.0466924441634201,0,0,0,0.15667119728283,0.182323458540012,0.0160927251083702,0.172823685157479,0,0,0,0,-0.0323246843531029
ETH,0,0,0.564071871326611,0,0.281755455671234,0,0.11040810419067,0,0,0,0,0.11315407616733,0,0.0934296047077725,0,-0.117154772152974,0,0,0,0
XRP,0,0.129800644785578,0,0.0264072332457275,0,0.378054692908568,0.0807621595771238,0,0,0,0,0.0323088461551728,0,0,0.181679731006306,0,0,0,0,0
BCH,0,0,0,0,0,0,0,-1.38777878078145e-17,1.3708787873317,0,0.102144523577508,0,-0.116519637374743,0,0,0,0.481910954021012,0,0,0.178030421079294
EOS,0,0.361125874860347,0,0,0,0,0.151913630272294,-0.088929921192719,0,0.358947273307885,0,0,0.207956052613598,0,0,0,0,0,0,0
XLM,0.254504383048232,0.147540838021132,0.0876277646361801,-0.0375745797694584,0,0,0.0155975077342,0.0372757544386667,0,0,0,0.3676648288664,0.0436694399654023,0,0,0,0,0,0,0
LTC,0.36026798678762,0.415474952166518,0,-0.0167089290177852,0,0,0,0,0,0.212668978031171,0,0,0.103827815043152,0,0,0,0,0,0,-0.105501442200632
TRX,0,0,0,0.151834357061334,0,0,0.00759238477483427,0,0,0,0,0,0,0,0.337316270055657,0,0,0,0,0
BSV,0,0,0,0.450875383079558,0,0,0,0.171052513519849,0,0,0,0,0,0.228817014166528,0,0,0,0,0,-0.112860381743924
ADA,0,1.38777878078145e-17,0,-3.46944695195361e-18,0.184239462808751,0.0195648625323008,0.259590491211539,0.230946263937316,0,0,0,0.36393242088745,0,0,0,0,0,0,0,0
MIOTA,0,0.302038433878231,0,0.397079723896795,0,0,0,-0.230619452597688,0,0,0,0,0.464569992317115,0.0379208021296524,-0.101577085713483,0,0.190584307285719,0,0,0.00467731791900056
XMR,0.294405238051991,0,0.0932205751812213,0,0,0,0,0,0,0.361879262320706,0.182973403072528,0,0,0.205511268323423,0,-0.105140180104768,0,0,0,0
BNB,1.11448672705328,0.0947705519850664,0,-0.152422277454889,0.241491468151332,0,6.93889390390723e-18,0.243552974709389,0,0,0.153487965726423,-0.350768626378969,0,0,0,0,-0.147188567417698,0,0,0.0268902235689528
DASH,0,0,0,0.123338069187459,0,0.0572204415459344,0,0,0,0,0,0.505139914332105,0.192587702558174,0,0,0,0,0,0,-0.030248967375462
XEM,0.168172378674759,6.93889390390723e-18,0.389701063364958,0.0532564922150854,0,0,0,0.242116570067552,0,0,-0.093066917791189,0.0709399019017216,0,0.0943075582907122,0,0,0,0,0,-0.00174382401530884
BV010082.Index,0,0,0,-0.00268792887325861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125775932144896
CVIX.Index,0,0,0,0.0216372824918076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,-0.00381129503904027,0,0,0,0,0,-0.028708236013497,-0.0134544167122431,0,0,0,0,0.0212065566523931,0,0,0.0583934737402406,0,0,-0.013191054532054
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152185620999732
VIX.Index,0,0,0.147047527187116,0.238518954180236,0,0,0,0,-0.237437219651487,0,0,0.0844692776609508,0.129423580857054,-0.419311507673704,0,-0.0608071725256604,0,0,-3.39655023437969,0
