,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XMR,XEM,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.0139401051465012,0,0.111878223152991,0.10833261680423,0,0,0,0.205680726962283,0,0,0,0,0,0,0.111475884914565
ETH,0,0,0.464299169876342,0,0,0,0,-0.0641795120064397,0.333527460564863,0,-3.46944695195361e-18,-0.104850162301167,0,0.0258211499970212,0,0,0,0,0,0.0661750026095862
XRP,0,0.17174669082172,0,0.0399080403112357,0,0.148147999451264,0.107217338195034,0.15177646797204,0.171233728660877,0.123961973065959,0,0.0203357385516714,0,0,0,0,0,0,0,0
BCH,0,0,0.290023100228923,0,0,0,0.0370389110129302,0,0,0,0,0.089515696947922,0.284824654734847,0.0203412677524943,0,0,0,0,0,0
LTC,0,0,0.286835333057029,0,0,0,0,0,0.131464947650656,0,0,0,0.10828018389943,0.0428205486307165,0,0,0,0,0,0
EOS,0,0,0.288260539451965,0,0,0,0,0,0,0,0,0,0,0.269696187143018,0,0,0,0,0,0
ADA,0.771881630594205,0.163991557633651,0,0,0.0197527079507259,0.00501856879679816,0,0.0416850804970704,0.285657368525485,0.0620485785389411,0.0447166868113248,0,0,-0.156415739423178,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0,0,0,0.348175538753845,0,0.527994879267158,0,0,0,0,0,0,-0.0919729307559356
MIOTA,0,0.690207688762554,0,0,0,0.000297337967528232,0.227637705201719,0,0,0.0944401814501942,0,0.308063616233456,0,0.0383149675350165,0,0,0,0,0,-0.190204075748477
NEO,0,0,0,-0.176724337064771,-0.00733613888610891,0.202588356384627,-0.0133315386819995,0,0.209236448281281,0,0,0.180555113618146,0.685427431561029,-0.096542286429425,0,0,0,0,0,0.0141229477642235
XMR,0,0,0,0.312879702420164,0.150250444879022,0,0,0.0604280949515102,0,0,0,0,0.303905859022818,0.0758563673835297,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.15708986240834,0.477296895737564,0,0,0,0.204704597071934,0,0,0,0,0,0,0
DASH,0,0,0,0.280202228819255,0,0,0,0.11546652734775,0,0,0.350052742629772,0.177997563876674,0,0.0309493358953697,0.11981587409869,0,0,0,0,0
TRX,0,0,0,0.314579834987859,0,0,0,0.209865915713839,0,0,0,0.115468456988767,0.278913695055536,0,0,0,0,0,0,0
ETC,0,0.0482858286606033,0.095389217192152,0,0,0.104720203523656,0,0.0403307703418937,0.0591111872621999,0,0.114834501387766,0.156240407395218,0.252922830664774,0,0,0,0,0,0,0
BV010082.Index,0,0,0.204133700261595,0.0472845459190321,0,0.00573681882078435,-0.0138654498346408,0,-0.0698667189027534,-0.036319905094943,-0.0490124405559092,0,0,0,-0.0380695420463995,0,0.0342544167912447,0,0,-0.0939362740439241
CVIX.Index,0,0,0,0,0,-0.0185502858886361,0.0279972031631786,0,0,0,0,0,0,-0.0185986485834184,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,-0.00875636741229719,-1.6940658945086e-21,0,0,0,0,0,0,0,0,0,0,0,0,-0.00824227631061571
SPX.Index,0,0,0,0,-0.00850977402921768,0.0326777731466367,0,0,-0.0211564812607882,0,0,0,0,0.00724984902322799,0,0,0,0,0,-0.105278481073128
VIX.Index,0,0.530280370631992,0.0895773510424182,0,0.160109509886704,0.1244970924706,0.159172376312028,0,-0.680131574849451,0.034886006171037,-0.0987634812205457,0,0,0.0551816088100584,0,0,0,0,-5.97846850598218,0
