,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.172555354353638,0.0309989007903189,0,0.150023660317617,0,0.00233037732607252,0.163727196203786,0.204714362503407,0.108065758494875,0.332637050694363,0.0237964532300076,0,0,0,0,0,0,0.0894376164407807
ETH,0,0,0,0,0,0.102739381087637,0.0342333145257297,0.165588927081421,0,0,0.213946429940876,0.0929771769910716,0.0443268266124568,0,0.125928050826776,0,0,0,0,0
XRP,0,0,0,-3.46944695195361e-18,0,0.0226794512075375,0.236318192382664,0.0554068485293661,0,0,0.173219401781351,0,0.0229449734273814,0.0745404840733794,0.18890508269498,0,0,0,0,0
BCH,0,0,0,0,0.130363378287891,0,0,0,0,0,0,0.639602661532607,-0.0636076008257788,0.229453738233859,8.67361737988404e-19,0,0,0,0,0
LTC,0,0,0,0.274840401341108,0,0,0,0,0,0,0.181333273178878,0.0368742932333572,0,1.73472347597681e-18,0.131113957523434,0,0,0,0,0
NEO,0,0,0,0,0,0,0.116588234506234,0,0,0,0.398413998283334,0,0.0998587518574105,0,0.131505195238495,0,0,0,0,-0.00105921506324869
XLM,0.34823556651813,0,0.4501983325379,0.074926569727295,-0.055151696186505,0,0,0,0,0,0.202178732068792,0,0.229707294256955,-0.211170808616444,0,0,0.128722192085757,0,0,-0.115315111761819
ADA,0,0,0.139719162164962,0,0,0,0.155789144463925,0,0,0,0.206455569753211,0,0.176999847702395,0,0,0,0,0,0,-0.138729278869464
EOS,0.265591086089784,0,0,0.221938842671413,0,0,0,0.11969853185971,0,0,0,0.119063719792012,0.0700858654929821,0,0,0,0,0,0,0.0497727646842154
MIOTA,0.0166083410517386,0,0,0,0,-1.73472347597681e-18,0,0,0.583646973628993,0,0.247974303769089,0,0,0.130617697940864,0.10371058790095,0,0,0,0,-0.044040603305485
XMR,0.0365739115574563,0,0,0,0.449822043393894,0,0.653470210302693,0.153506579012479,0,0.00373408361370852,0,0,-0.325511096856995,0.487565190816399,-0.154716196086618,0,0,0,0,0.198214424148999
DASH,0,0,0,0.536424348978449,0,0,0.25668740624009,0,0,0.0976942811272815,0,0,0.0466581170194439,0.0539256170094476,0,0,0,0,0,0
XEM,0,0,0,-0.176891163478611,0,0,0.652666658176536,0,0.166302307998054,0,-0.799041012326738,0,0,0.96790316199802,0,0,0,0,0,-0.0202541272392879
TRX,0,0,0,0.33601157519782,0,0,-0.479557401359508,0,0,0.289104263128472,0.360052283206703,0.238635820341736,0.300035091114136,0,0,0,0,0,0,0.0247414361690673
ETC,0,0,0.557146997723665,0,0.174234747716904,0.238930253589703,0,0,0,0.213544027304556,-0.472143129715533,0.233836192274239,0.0212410609318528,0.0542617490708669,0,0,0.0105039558227802,0,0,0
BV010082.Index,0,0,0,0,0,-0.00950405534592882,0,0,0,0,-0.0180370849749141,0,-0.0185428575931563,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0.00142126705651157,0.00177228317717936,0,0,0,0,0,0.00371639309838221,0,0,0,-0.0601870201979592,0,0,-0.077065699200162
VIX.Index,0,0,0.243123666747317,0,0,3.46944695195361e-18,-0.665727622691218,0,0,-0.280977961504899,0.517024465489629,-0.162053807846363,0.212568580493949,0.106974717155247,0,0,0,0,-3.28112738224956,0
