,BTC,ETH,XRP,BCH,ADA,XLM,NEO,LTC,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.071562838848762,0.479580553692303,0,0,0.0114684110106208,0,0.0486665716725272,0.063475229742401,0,0.101522735308073,0.0323125871025259,0,0,0,0,0,0,-0.10286977222272
ETH,0,0,0,0.191745497433282,0.111641708185677,0,0,0.24927196715909,0.0577733551674447,0,0,0,0,-0.11137614909818,0.305562109967795,0,0,0,0,0
XRP,0,0,0,0,0,0.22558526232439,0,0,0,0,0,0,0,0.311838397969976,0.1917884975073,0,0,0,0,0
BCH,0,0.24179889712269,0,0,0,0,0,0.0872732156668625,0,0.012951156872887,0.157655753001124,0.103947526842465,0.107830719108183,0,0.211406696310918,0,0,0,0,0
ADA,0.716991144591761,0,0.0375418767227563,0,0,0.347454621439911,0,0,0,0,0,0.145979438278454,0,6.93889390390723e-18,-0.133940399944751,0,0,0,0,0
XLM,0,0,0.0152967667507444,0,0.688841522165331,0,0,0,0,0,0,0,0,0.190550300277137,0,0,0,0,0,0
NEO,0,0,0,0,0.329137645342643,0,0,0,0,0,0,0,0,0,0.513643476071292,0,0,0,0,0
LTC,0,0.0681675150652912,0.0787667241496621,0.437477867652319,0,0,0,0,0.0510239869244259,0.073186076514022,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0.334563036819936,0,0,0,0,0,0,0,0,0.362242936941984,0,0,0,0,0
XEM,0,0,0.157090842393889,0.0682666571307414,0,0.0700919316883191,0.124239139850379,0,0.233889835296453,0,0.0574396665110992,0,0.281046526836395,0,0,0,0,0,0,0
MIOTA,0,0,0,0.265185808342383,0,0,0,0,0.0602935577166599,0.0778487839310028,0,0,0,0.129351385455813,0.347049855247911,0,0,0,0,0
DASH,0,0,0.0944200334099878,0.186200276375367,0,0.042046432434948,0,0.210266771578091,0.0819263629314362,0,0,0,0.0911259732206976,0.11457030137105,0.0657474651497008,0,0,0,0,0
XMR,0,0,0,0,0.292564253253857,0,0.0204585728600696,0,0,0.0147068688847463,0.129721794119219,0,0,0.0111714762440355,0.290147066464667,0,0,0,0,0
TRX,0,0,0.509837462426268,0,0,0.246141597789095,0,0,0.121943111465341,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0.39709726798664,0.087884908701422,0.027351638742333,0,0,0.164221939443429,0,0.0719043280679214,0.0212282732320043,0,0,0.235830358422814,0.121697954785317,0,0,0,0,0,0
BV010082.Index,0,0,-0.00962538279821886,0,0,-0.0338576401852039,0,0,0.00235785330622949,0.0499502358557165,0.0344682310775123,0.0149439455982295,-0.0508155202283634,0.0243270614203912,0,0,0.117823532714124,0,0,0.0357693051575085
CVIX.Index,0,0,0,-0.10405955172032,0,0,0,0,0.094362975505806,0,0,0,0,-0.0670891322355977,0,0,0,0,0,-0.00795443379453086
DXY.Curncy,0,0,0,0,0,-0.00693632112171094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0.0115006450508888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272264543469919
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
